dataset,method,K,recall,Original_min_grid_K,Original_grid_recall,scope
wands,Original,20,0.3610458935456568,20.0,0.3610458935456568,discrete recall match; not exact cost match
wands,Original,50,0.5145930051592701,50.0,0.5145930051592701,discrete recall match; not exact cost match
wands,Original,100,0.6317092063148237,100.0,0.6317092063148237,discrete recall match; not exact cost match
wands,Original,200,0.7500195456044453,200.0,0.7500195456044453,discrete recall match; not exact cost match
wands,Original,500,0.8558287694026598,500.0,0.8558287694026598,discrete recall match; not exact cost match
wands,Original,1000,0.923243329962242,1000.0,0.923243329962242,discrete recall match; not exact cost match
wands,hybrid,20,0.3807086931327278,50.0,0.5145930051592701,discrete recall match; not exact cost match
wands,hybrid,50,0.5464930585762166,100.0,0.6317092063148237,discrete recall match; not exact cost match
wands,hybrid,100,0.6806395890382446,200.0,0.7500195456044453,discrete recall match; not exact cost match
wands,hybrid,200,0.7919540885840838,500.0,0.8558287694026598,discrete recall match; not exact cost match
wands,hybrid,500,0.8815628394640471,1000.0,0.923243329962242,discrete recall match; not exact cost match
wands,hybrid,1000,0.9381074846423064,,,discrete recall match; not exact cost match
wands,rule_appearance,20,0.3609226074996488,20.0,0.3610458935456568,discrete recall match; not exact cost match
wands,rule_appearance,50,0.5105632660715279,50.0,0.5145930051592701,discrete recall match; not exact cost match
wands,rule_appearance,100,0.6312271030624346,100.0,0.6317092063148237,discrete recall match; not exact cost match
wands,rule_appearance,200,0.7508947171867801,500.0,0.8558287694026598,discrete recall match; not exact cost match
wands,rule_appearance,500,0.8569611615755138,1000.0,0.923243329962242,discrete recall match; not exact cost match
wands,rule_appearance,1000,0.9199179874420867,1000.0,0.923243329962242,discrete recall match; not exact cost match
esci,Original,20,0.7410465636379933,20.0,0.7410465636379933,discrete recall match; not exact cost match
esci,Original,50,0.8634492628768362,50.0,0.8634492628768362,discrete recall match; not exact cost match
esci,Original,100,0.9097759035682006,100.0,0.9097759035682006,discrete recall match; not exact cost match
esci,Original,200,0.932836787251947,200.0,0.932836787251947,discrete recall match; not exact cost match
esci,Original,500,0.9572947895692068,500.0,0.9572947895692068,discrete recall match; not exact cost match
esci,Original,1000,0.9714106062051954,1000.0,0.9714106062051954,discrete recall match; not exact cost match
esci,hybrid,20,0.7465355891871799,50.0,0.8634492628768362,discrete recall match; not exact cost match
esci,hybrid,50,0.8734095443292066,100.0,0.9097759035682006,discrete recall match; not exact cost match
esci,hybrid,100,0.915063106662016,200.0,0.932836787251947,discrete recall match; not exact cost match
esci,hybrid,200,0.9376531077024168,500.0,0.9572947895692068,discrete recall match; not exact cost match
esci,hybrid,500,0.9586880724076168,1000.0,0.9714106062051954,discrete recall match; not exact cost match
esci,hybrid,1000,0.967650421467925,1000.0,0.9714106062051954,discrete recall match; not exact cost match
esci,rule_appearance,20,0.7385208834840088,20.0,0.7410465636379933,discrete recall match; not exact cost match
esci,rule_appearance,50,0.8663099326175896,100.0,0.9097759035682006,discrete recall match; not exact cost match
esci,rule_appearance,100,0.91054583898959,200.0,0.932836787251947,discrete recall match; not exact cost match
esci,rule_appearance,200,0.933922241543814,500.0,0.9572947895692068,discrete recall match; not exact cost match
esci,rule_appearance,500,0.957924467728945,1000.0,0.9714106062051954,discrete recall match; not exact cost match
esci,rule_appearance,1000,0.971381977519252,1000.0,0.9714106062051954,discrete recall match; not exact cost match
