dataset,method,queries,cNDCG@10,delta_vs_Original,ci_low,ci_high,gains
wands,Original,383,0.8246828875288349,0.0,0.0,0.0,study_3_1_0
wands,canonical,383,0.8030023689534211,-0.021680518575413935,-0.0333101721192248,-0.010518602108152083,study_3_1_0
wands,factual,383,0.8178193691087234,-0.006863518420111584,-0.013867530741364997,-3.668946871993759e-05,study_3_1_0
wands,set_mean,383,0.8151136959090464,-0.009569191619788572,-0.019393145306992023,0.00027388951914392217,study_3_1_0
wands,late_mean,383,0.8057926603054664,-0.018890227223368555,-0.02934573854025942,-0.008336366811132092,study_3_1_0
wands,late_max,383,0.8093438132898365,-0.015339074238998465,-0.026569929865065078,-0.004500750980296112,study_3_1_0
wands,late_top3,383,0.8105740020703882,-0.014108885458446681,-0.02426715886141472,-0.00384394294686458,study_3_1_0
wands,DIRECT set_mean minus canonical,383,,0.012111326955625366,-0.001524976464180159,0.02589003862132842,study_3_1_0
esci,Original,500,0.7364416359237728,0.0,0.0,0.0,benchmark_standard
esci,canonical,500,0.7422525349317586,0.0058108990079856785,-0.0011586822272596988,0.013065201565065642,benchmark_standard
esci,factual,500,0.7305208114882888,-0.005920824435484055,-0.012748862367081018,0.0007045371867980993,benchmark_standard
esci,set_mean,500,0.7326127851762679,-0.0038288507475048375,-0.014702488910290438,0.007145757620603809,benchmark_standard
esci,late_mean,500,0.7290050026488499,-0.0074366332749229895,-0.01805362427391712,0.003051578291596322,benchmark_standard
esci,late_max,500,0.7296937351010493,-0.006747900822723683,-0.017997459856689647,0.004644583628192568,benchmark_standard
esci,late_top3,500,0.7290050026488499,-0.0074366332749229895,-0.01805362427391712,0.003051578291596322,benchmark_standard
esci,DIRECT set_mean minus canonical,500,,-0.009639749755490517,-0.021044215092686766,0.001998703178339311,benchmark_standard
