dataset,method,metric,mean,delta_vs_Original,ci_low,ci_high,selection
wands,centroid_2,Recall@100,0.6395577008477498,0.007848494532926112,-0.001069567502605067,0.01787355983700551,fixed saturation; cannot replace selected strategy
wands,centroid_2,cNDCG@10,0.8261226234486234,0.001439735919788418,-0.0023360085328359395,0.005276818878920444,fixed saturation; cannot replace selected strategy
wands,max_2,Recall@100,0.6400023385806206,0.008293132265796877,0.0001899064125227687,0.01798937533568722,fixed saturation; cannot replace selected strategy
wands,max_2,cNDCG@10,0.8258296880116796,0.0011468004828446487,-0.002752481843520179,0.004993317752016842,fixed saturation; cannot replace selected strategy
wands,centroid_4,Recall@100,0.6439382157905591,0.012229009475735382,0.0033527260843008717,0.022911066199467995,fixed saturation; cannot replace selected strategy
wands,centroid_4,cNDCG@10,0.8273199841883123,0.002637096659477282,-0.0009455216441054858,0.006302628488051547,fixed saturation; cannot replace selected strategy
wands,max_4,Recall@100,0.6386098388670182,0.006900632552194473,-0.003002525893805772,0.018037136645766835,fixed saturation; cannot replace selected strategy
wands,max_4,cNDCG@10,0.8287285178890194,0.004045630360184436,-1.7180528601397756e-05,0.008116840604823174,fixed saturation; cannot replace selected strategy
wands,centroid_7,Recall@100,0.6415598865501497,0.009850680235326028,0.0001695349561126138,0.02073750021835091,fixed saturation; cannot replace selected strategy
wands,centroid_7,cNDCG@10,0.8279061863452273,0.003223298816392328,-0.00033862370393926444,0.006846684753031408,fixed saturation; cannot replace selected strategy
wands,max_7,Recall@100,0.6415024736405207,0.009793267325696957,-0.001078533342281118,0.022301640225823097,fixed saturation; cannot replace selected strategy
wands,max_7,cNDCG@10,0.8296460800869089,0.004963192558073887,0.000881977376593013,0.00904116350757367,fixed saturation; cannot replace selected strategy
esci,centroid_2,Recall@100,0.910661008922026,0.0008851053538254028,-0.0007810219831817368,0.0025120631349665502,fixed saturation; cannot replace selected strategy
esci,centroid_2,cNDCG@10,0.7363588967814785,-8.273914229432888e-05,-0.003559905595067558,0.003422935888643611,fixed saturation; cannot replace selected strategy
esci,max_2,Recall@100,0.9108538549315053,0.0010779513633046786,-0.0006673463032784933,0.002814519600632589,fixed saturation; cannot replace selected strategy
esci,max_2,cNDCG@10,0.737538348382596,0.0010967124588231552,-0.0027087827265930026,0.004895796884272847,fixed saturation; cannot replace selected strategy
esci,centroid_4,Recall@100,0.9101438309875134,0.0003679274193127989,-0.0012108490285768752,0.0018903731575270297,fixed saturation; cannot replace selected strategy
esci,centroid_4,cNDCG@10,0.7374235522608551,0.0009819163370822317,-0.002471440536738132,0.004421621352840594,fixed saturation; cannot replace selected strategy
esci,max_4,Recall@100,0.9105041976304452,0.0007282940622445721,-0.0010725665111610914,0.0024995209435965953,fixed saturation; cannot replace selected strategy
esci,max_4,cNDCG@10,0.738094562821183,0.0016529268974101814,-0.0021954277330734646,0.005502247607898568,fixed saturation; cannot replace selected strategy
esci,centroid_7,Recall@100,0.9101283960772889,0.00035249250908830915,-0.0011664458907994896,0.0018225199557565365,fixed saturation; cannot replace selected strategy
esci,centroid_7,cNDCG@10,0.7384823638105229,0.0020407278867500284,-0.001355766623295028,0.0053732549960791446,fixed saturation; cannot replace selected strategy
esci,max_7,Recall@100,0.9104991008568114,0.000723197288610724,-0.0010987299491481766,0.0025313700544733263,fixed saturation; cannot replace selected strategy
esci,max_7,cNDCG@10,0.7385709285484933,0.002129292624720459,-0.0016644249092971808,0.0059159422838976575,fixed saturation; cannot replace selected strategy
