dataset,encoder,method,metric,queries,mean,ci_low,ci_high
wands,bge_base,Original,cNDCG@10,383,0.8246828875288351,0.8031293689009263,0.8454539836179822
wands,bge_base,Original,Recall@20,308,0.3610458935456568,0.3224042778545128,0.40009970767588193
wands,bge_base,Original,Recall@50,308,0.5145930051592701,0.47510726675585824,0.5543060827456286
wands,bge_base,Original,Recall@100,308,0.6317092063148237,0.5936348006850364,0.6690002731004138
wands,bge_base,Original,Recall@200,308,0.7500195456044453,0.7150679287418414,0.7833525327574588
wands,bge_base,Original,Recall@500,308,0.8558287694026598,0.8291914707011488,0.8807990232373574
wands,bge_base,Original,Recall@1000,308,0.9232433299622419,0.9034412042532548,0.9411006890667964
wands,bge_base,hybrid,cNDCG@10,383,0.8270872740877668,0.8047333216641231,0.8487033038577854
wands,bge_base,hybrid,Recall@20,308,0.38070869313272787,0.3423218466515673,0.42017598502202674
wands,bge_base,hybrid,Recall@50,308,0.5464930585762166,0.5068299272045313,0.5868129137870853
wands,bge_base,hybrid,Recall@100,308,0.6806395890382446,0.6429827920544466,0.7172753214649148
wands,bge_base,hybrid,Recall@200,308,0.7919540885840838,0.7597059096692392,0.8231174730647324
wands,bge_base,hybrid,Recall@500,308,0.8815628394640471,0.8555150262466068,0.9056835816714326
wands,bge_base,hybrid,Recall@1000,308,0.9381074846423065,0.9195653863941052,0.9550122145923234
wands,bge_base,canonical,cNDCG@10,383,0.8030023689534211,0.7796569357777263,0.8259875998790409
wands,bge_base,canonical,Recall@20,308,0.3631745249737438,0.3238447222616092,0.4036567528454125
wands,bge_base,canonical,Recall@50,308,0.5123337529383375,0.47169068304794637,0.5531304783177288
wands,bge_base,canonical,Recall@100,308,0.6333094584811026,0.5936857103937606,0.6723668735423987
wands,bge_base,canonical,Recall@200,308,0.7338251182313098,0.6970946736805549,0.7688835491102467
wands,bge_base,canonical,Recall@500,308,0.8411704141389073,0.8121256204009076,0.8684706366679662
wands,bge_base,canonical,Recall@1000,308,0.9086960438910336,0.8857246129266052,0.9294744922789498
wands,bge_base,canonical_raw,cNDCG@10,383,0.8230788308805284,0.8012423687041411,0.8440693575219194
wands,bge_base,canonical_raw,Recall@20,308,0.3607242381021353,0.32186559969137457,0.39979685179927343
wands,bge_base,canonical_raw,Recall@50,308,0.5086297078010191,0.46955844205895586,0.548116720379002
wands,bge_base,canonical_raw,Recall@100,308,0.6323688141357366,0.5944115019689459,0.669598480949114
wands,bge_base,canonical_raw,Recall@200,308,0.743413370059504,0.7087365916216847,0.7768195836110733
wands,bge_base,canonical_raw,Recall@500,308,0.8542571220056633,0.827748278978967,0.8793783900061353
wands,bge_base,canonical_raw,Recall@1000,308,0.9210236287507751,0.9010957150641723,0.9391863510045796
wands,bge_base,set_mean,cNDCG@10,383,0.814984982365363,0.7934029381276416,0.836165060121159
wands,bge_base,set_mean,Recall@20,308,0.3530097183020647,0.31492511423083264,0.39142001283178063
wands,bge_base,set_mean,Recall@50,308,0.5092071323532881,0.46952187384971045,0.5487023207867208
wands,bge_base,set_mean,Recall@100,308,0.6182003875366853,0.5792516779073006,0.6554334082713942
wands,bge_base,set_mean,Recall@200,308,0.7487029297862712,0.7146701907784583,0.7814601658647561
wands,bge_base,set_mean,Recall@500,308,0.8535617800558514,0.8261575178775867,0.8788431424685933
wands,bge_base,set_mean,Recall@1000,308,0.9189527736606052,0.8972846973260895,0.9381389564144342
wands,bge_base,rule_appearance,cNDCG@10,383,0.82279442963377,0.8013824729049781,0.8438626991262197
wands,bge_base,rule_appearance,Recall@20,308,0.36092260749964883,0.32248794239898826,0.39988033238143833
wands,bge_base,rule_appearance,Recall@50,308,0.5105632660715279,0.4713579375790034,0.5499120258588349
wands,bge_base,rule_appearance,Recall@100,308,0.6312271030624346,0.5932364167020817,0.667804927284428
wands,bge_base,rule_appearance,Recall@200,308,0.7508947171867801,0.7165439266009316,0.783608821983264
wands,bge_base,rule_appearance,Recall@500,308,0.8569611615755138,0.8298609101499227,0.8818837279589408
wands,bge_base,rule_appearance,Recall@1000,308,0.9199179874420867,0.8996080806133206,0.9382661221823125
wands,bge_base,BM25,cNDCG@10,383,0.7865260114180598,0.761219824300706,0.8116232007974185
wands,bge_base,BM25,Recall@20,308,0.3471985488252357,0.3082671409707786,0.3880519152689504
wands,bge_base,BM25,Recall@50,308,0.5092832558931517,0.4682534609926445,0.5510678736526303
wands,bge_base,BM25,Recall@100,308,0.6323252253791084,0.5918289665970693,0.6716463503576569
wands,bge_base,BM25,Recall@200,308,0.7374122953883209,0.7002253902346042,0.7727585904891799
wands,bge_base,BM25,Recall@500,308,0.8401763575070068,0.8090365675271091,0.8689653916755585
wands,bge_base,BM25,Recall@1000,308,0.8957348906100934,0.8701463144846063,0.9199978848477082
