dataset,encoder,method,query_id,K,n_highest,rescued,newly_missed,net,rescued_fraction,missed_fraction,net_fraction
wands,bge_base,Original,0,20,39,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,1,20,8,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,2,20,151,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,3,20,55,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,4,20,23,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,5,20,179,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,6,20,43,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,7,20,23,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,9,20,74,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,10,20,21,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,11,20,65,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,13,20,46,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,14,20,20,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,16,20,4,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,17,20,21,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,20,20,12,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,22,20,22,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,26,20,876,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,27,20,100,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,28,20,175,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,31,20,1,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,35,20,51,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,36,20,37,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,37,20,110,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,38,20,1,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,39,20,31,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,40,20,40,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,41,20,19,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,42,20,3,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,44,20,33,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,45,20,20,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,46,20,5,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,48,20,1,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,50,20,28,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,51,20,1,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,54,20,5,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,55,20,1,0,0,0,0.0,0.0,0.0
wands,bge_base,Original,59,20,43,0,0,0,0.0,0.0,0.0
