dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
wands,Original,50,0,39,0.38461538461538464,0.9368077570869662,50
wands,Original,50,1,8,0.125,0.5255664792793981,50
wands,Original,50,2,151,0.12582781456953643,0.9432379215722527,50
wands,Original,50,3,55,0.23636363636363636,0.8796171333733009,50
wands,Original,50,4,23,0.08695652173913043,0.37574719213263447,50
wands,Original,50,5,179,0.10614525139664804,1.0,50
wands,Original,50,6,43,0.13953488372093023,0.727329844310522,50
wands,Original,50,7,23,0.34782608695652173,0.894393898287665,50
wands,Original,50,8,25,0.56,1.0,50
wands,Original,50,9,74,0.2702702702702703,1.0,50
wands,Original,50,10,21,0.42857142857142855,0.9575861412006988,50
wands,Original,50,11,65,0.3076923076923077,1.0,50
wands,Original,50,12,27,0.4074074074074074,0.9575861412006988,50
wands,Original,50,13,46,0.391304347826087,1.0,50
wands,Original,50,14,20,0.25,0.6489315753318466,50
wands,Original,50,15,2,1.0,0.8383354523103075,50
wands,Original,50,16,4,0.0,0.470018260101859,50
wands,Original,50,17,21,0.14285714285714285,0.6358283830274571,50
wands,Original,50,18,34,0.5,1.0,50
wands,Original,50,19,0,,0.5637884576902257,50
wands,Original,50,20,12,0.0,0.3072005770071082,50
wands,Original,50,21,1,0.0,0.6943559465628248,50
wands,Original,50,22,22,0.18181818181818182,0.562464460928097,50
wands,Original,50,23,0,,1.0,50
wands,Original,50,24,84,0.10714285714285714,0.6711891340580584,50
wands,Original,50,25,227,0.0881057268722467,1.0,50
wands,Original,50,26,876,0.019406392694063926,0.8257045171699666,50
wands,Original,50,27,100,0.18,0.8532721558012799,50
wands,Original,50,28,175,0.11428571428571428,1.0,50
wands,Original,50,29,138,0.007246376811594203,0.0,50
wands,Original,50,30,88,0.19318181818181818,0.8043628744017065,50
wands,Original,50,31,1,0.0,0.6943559465628248,50
wands,Original,50,32,3,0.6666666666666666,0.6755452776787434,50
wands,Original,50,33,125,0.0,0.1196514033905449,50
wands,Original,50,34,374,0.040106951871657755,0.6954005414364948,50
wands,Original,50,35,51,0.0392156862745098,0.3333333333333333,50
wands,Original,50,36,37,0.3783783783783784,1.0,50
wands,Original,50,37,110,0.07272727272727272,0.6110446309615652,50
wands,Original,50,38,1,1.0,1.0,50
wands,Original,50,39,31,0.12903225806451613,0.692287543504968,50
wands,Original,50,40,40,0.25,0.5652745409093872,50
wands,Original,50,41,19,0.631578947368421,0.911298659909514,50
wands,Original,50,42,3,1.0,0.6593007041766438,50
wands,Original,50,43,22,0.5909090909090909,0.9095430364058891,50
wands,Original,50,44,33,0.21212121212121213,0.7622690409355825,50
wands,Original,50,45,20,0.05,0.2593480430586897,50
wands,Original,50,46,5,0.6,0.6733101312372763,50
wands,Original,50,47,0,,1.0,50
wands,Original,50,48,1,1.0,1.0,50
wands,Original,50,49,0,,1.0,50
wands,Original,50,50,28,0.17857142857142858,0.5581387053121921,50
wands,Original,50,51,1,1.0,1.0,50
wands,Original,50,52,0,,1.0,50
wands,Original,50,53,0,,1.0,50
wands,Original,50,54,5,0.6,0.8301125976677205,50
wands,Original,50,55,1,1.0,1.0,50
wands,Original,50,56,0,,0.9216017310213247,50
