dataset,query_id,repeat,single_query_encode_ms
wands,0,1,12.19789998140186
wands,1,1,14.466900029219687
wands,2,1,12.599000008776784
wands,3,1,12.492500012740493
wands,4,1,12.195500079542398
wands,5,1,12.910699937492609
wands,6,1,11.874399962835014
wands,7,1,12.012400082312524
wands,8,1,12.21880002412945
wands,9,1,11.712700012139976
wands,10,1,10.730600100941956
wands,11,1,10.448800050653517
wands,12,1,10.74159995187074
wands,13,1,12.013799976557493
wands,14,1,13.721199939027429
wands,15,1,12.31060002464801
wands,16,1,12.875499902293086
wands,17,1,14.135300065390766
wands,18,1,13.447900069877505
wands,19,1,13.76249990426004
wands,20,1,13.925699982792139
wands,21,1,13.846099958755076
wands,22,1,12.463100021705031
wands,23,1,14.255600050091743
wands,24,1,11.46599999628961
wands,25,1,14.087600051425397
wands,26,1,13.713399996049702
wands,27,1,13.78629996906966
wands,28,1,12.708900030702353
wands,29,1,12.172300019301474
wands,30,1,11.779899941757321
wands,31,1,12.212199973873794
wands,32,1,12.222199933603406
wands,33,1,11.849500006064773
wands,34,1,11.833800002932549
wands,35,1,11.710399994626641
wands,36,1,11.737900087609887
wands,37,1,12.88410008419305
wands,38,1,12.501199962571263
wands,39,1,12.856799992732704
wands,40,1,13.85579991620034
wands,41,1,11.913800030015409
wands,42,1,12.167099979706109
wands,43,1,12.098000035621226
wands,44,1,11.637199902907014
wands,45,1,11.92389999050647
wands,46,1,12.445100001059473
wands,47,1,12.636900064535439
wands,48,1,11.802199995145202
wands,49,1,12.318699969910085
wands,0,2,12.623700080439448
wands,1,2,11.145800002850592
wands,2,2,12.072499957866967
wands,3,2,12.893899925984442
wands,4,2,12.806699960492551
wands,5,2,11.65859994944185
wands,6,2,11.424700031057
wands,7,2,11.494699981994927
wands,8,2,11.389799998141825
wands,9,2,11.234099976718426
wands,10,2,11.475800070911646
wands,11,2,11.74470002297312
wands,12,2,12.26909994147718
wands,13,2,11.709999991580844
wands,14,2,11.044999933801591
wands,15,2,11.751400073990226
wands,16,2,12.391399941407144
wands,17,2,13.204799965023994
wands,18,2,13.776600011624396
wands,19,2,12.901399983093143
wands,20,2,13.256700010970235
wands,21,2,11.690199957229197
wands,22,2,13.309000059962273
wands,23,2,12.682099943049252
wands,24,2,12.467100052163005
wands,25,2,12.908799923025072
wands,26,2,13.28280009329319
wands,27,2,13.849000097252429
wands,28,2,12.923400034196675
wands,29,2,13.404299970716238
wands,30,2,13.768599950708449
wands,31,2,14.414799981750548
wands,32,2,12.86350004374981
wands,33,2,13.477800064720213
wands,34,2,13.085600105114281
wands,35,2,13.246699934825301
wands,36,2,11.282599996775389
wands,37,2,12.271899962797761
wands,38,2,12.583800009451807
wands,39,2,12.986699934117496
wands,40,2,12.834399938583374
wands,41,2,13.863100088201463
wands,42,2,12.366199982352555
wands,43,2,12.80989998485893
wands,44,2,12.860800023190677
wands,45,2,13.814300065860152
wands,46,2,12.954500038176775
wands,47,2,12.484699953347445
wands,48,2,13.362999889068305
wands,49,2,12.637100066058338
wands,0,3,11.823199922218919
wands,1,3,12.255099951289594
wands,2,3,12.352399993687868
wands,3,3,12.73449999280274
wands,4,3,11.759800021536648
wands,5,3,13.321700040251017
wands,6,3,12.224899954162538
wands,7,3,13.775400002487004
wands,8,3,14.147000038065016
wands,9,3,12.898899964056909
wands,10,3,12.720400001853704
wands,11,3,11.5962999407202
wands,12,3,11.568899964913726
wands,13,3,11.879199999384582
wands,14,3,12.204999919049442
wands,15,3,11.859200079925358
wands,16,3,11.849600006826222
wands,17,3,12.717599980533123
wands,18,3,11.441800044849515
wands,19,3,10.479900054633617
wands,20,3,10.228200000710785
wands,21,3,11.86610001605004
wands,22,3,13.755999971181154
wands,23,3,11.383499950170517
wands,24,3,11.555599980056286
wands,25,3,11.258299928158522
wands,26,3,11.42480003181845
wands,27,3,10.886200005188584
wands,28,3,11.905199964530766
wands,29,3,11.381500051356852
wands,30,3,11.51199999731034
wands,31,3,11.201599962078035
wands,32,3,12.172200018540025
wands,33,3,13.949100044555962
wands,34,3,14.385500107891858
wands,35,3,14.29569988977164
wands,36,3,16.650900011882186
wands,37,3,16.628700075671077
wands,38,3,18.548300024122
wands,39,3,19.592899945564568
wands,40,3,16.377300024032593
wands,41,3,16.537400078959763
wands,42,3,15.920900041237473
wands,43,3,16.433500102721155
wands,44,3,16.89879992045462
wands,45,3,17.485200078226626
wands,46,3,17.00870005879551
wands,47,3,15.760499984025955
wands,48,3,16.62240002769977
wands,49,3,16.010799910873175
wands,0,4,15.426199999637902
wands,1,4,14.93459998164326
wands,2,4,14.2394999274984
wands,3,4,15.694400062784553
wands,4,4,13.349500019103289
wands,5,4,14.216899988241494
wands,6,4,13.994100037962198
wands,7,4,15.416499925777316
wands,8,4,14.562500058673322
wands,9,4,14.617200009524822
wands,10,4,14.526600018143654
wands,11,4,14.484700048342347
wands,12,4,13.932400033809245
wands,13,4,14.019900001585484
wands,14,4,14.321899972856045
wands,15,4,15.49749996047467
wands,16,4,15.458100009709597
wands,17,4,15.863900072872639
wands,18,4,13.920600060373545
wands,19,4,13.761500013060868
wands,20,4,12.899299967102706
wands,21,4,12.241299962624907
wands,22,4,12.683199951425195
wands,23,4,12.157200020737946
wands,24,4,11.810600059106946
wands,25,4,11.915600043721497
wands,26,4,12.524700025096536
wands,27,4,13.699200004339218
wands,28,4,13.283199979923666
wands,29,4,12.400700012221932
wands,30,4,11.743800016120076
wands,31,4,12.548600090667605
wands,32,4,13.022700091823936
wands,33,4,12.306499993428588
wands,34,4,11.522300075739622
wands,35,4,11.72539999242872
wands,36,4,11.079099960625172
wands,37,4,10.974699980579317
wands,38,4,10.804299963638186
wands,39,4,11.238500010222197
wands,40,4,11.164400028064847
wands,41,4,10.896199964918196
wands,42,4,10.521299904212356
wands,43,4,12.184399995021522
wands,44,4,11.386999976821244
wands,45,4,11.437000008299947
wands,46,4,11.8959000101313
wands,47,4,11.093999957665801
wands,48,4,12.062399997375906
wands,49,4,13.673399924300611
wands,0,5,12.527399929240346
wands,1,5,12.004200019873679
wands,2,5,11.80560002103448
wands,3,5,12.09880004171282
wands,4,5,12.570900027640164
wands,5,5,13.61000002361834
wands,6,5,11.419799993745983
