dataset,K,state,pairs,macro,ci_low,ci_high
wands,20,always,2158,0.30620963722082445,0.2710217770670556,0.34282240788445545
wands,20,sometimes,2396,0.1205155301548153,0.10581439992578329,0.13624823996921953
wands,20,never,20916,0.5732748326243603,0.53804214387787,0.6074963494868509
wands,50,always,4997,0.4527828220127833,0.415604877056112,0.490538861723402
wands,50,sometimes,3414,0.12769806651193755,0.11341308316360742,0.14259018554225694
wands,50,never,17059,0.41951911147527915,0.38511122654465735,0.45380710526337964
wands,100,always,8384,0.5757691159578767,0.5387620664740026,0.6117352224476685
wands,100,sometimes,3856,0.1252134032905701,0.10907031030681004,0.1421780392613932
wands,100,never,13230,0.29901748075155316,0.26800761998364653,0.33055273713743544
wands,200,always,12683,0.699891663212102,0.6657786930848569,0.7324921258859327
wands,200,sometimes,3604,0.09742400841291755,0.08322711084493833,0.11277829123079067
wands,200,never,9183,0.2026843283749803,0.1757173220320485,0.2315234673608622
wands,500,always,17661,0.8238550881590965,0.7962826634303448,0.8496170341105882
wands,500,sometimes,3246,0.07494378325377304,0.06145171908693524,0.09011092970301132
wands,500,never,4563,0.10120112858713054,0.08300774455679732,0.12112285359065422
wands,1000,always,21562,0.9015405377837112,0.8815578187648783,0.9200362827598849
wands,1000,sometimes,1992,0.04413405683772504,0.035537817777445704,0.05345443215161927
wands,1000,never,1916,0.05432540537856378,0.04084575143483886,0.06935934327107127
