dataset,model,method,K,common_pairs,queries,macro_inclusion
wands,bge_base,Raw,20,11,3,0.19444444444444442
wands,bge_base,Raw,100,11,3,0.27777777777777773
wands,bge_base,Canonical,20,11,3,0.19444444444444442
wands,bge_base,Canonical,100,11,3,0.27777777777777773
wands,bge_base,G1,20,11,3,0.06746031746031746
wands,bge_base,G1,100,11,3,0.24206349206349206
wands,bge_base,CG1,20,11,3,0.1111111111111111
wands,bge_base,CG1,100,11,3,0.19444444444444442
wands,bge_base,G2,20,11,3,0.19444444444444442
wands,bge_base,G2,100,11,3,0.2698412698412698
wands,bge_base,CG2,20,11,3,0.19444444444444442
wands,bge_base,CG2,100,11,3,0.27777777777777773
wands,minilm,Raw,20,0,0,
wands,minilm,Raw,100,0,0,
wands,minilm,Canonical,20,0,0,
wands,minilm,Canonical,100,0,0,
wands,minilm,G1,20,0,0,
wands,minilm,G1,100,0,0,
wands,minilm,CG1,20,0,0,
wands,minilm,CG1,100,0,0,
wands,minilm,G2,20,0,0,
wands,minilm,G2,100,0,0,
wands,minilm,CG2,20,0,0,
wands,minilm,CG2,100,0,0,
esci,bge_base,Raw,20,51,8,0.6354166666666667
esci,bge_base,Raw,100,51,8,0.8519345238095238
esci,bge_base,Canonical,20,51,8,0.6510416666666667
esci,bge_base,Canonical,100,51,8,0.8541666666666667
esci,bge_base,G1,20,51,8,0.5669642857142857
esci,bge_base,G1,100,51,8,0.7574404761904762
esci,bge_base,CG1,20,51,8,0.5729166666666667
esci,bge_base,CG1,100,51,8,0.734375
esci,bge_base,G2,20,51,8,0.5766369047619048
esci,bge_base,G2,100,51,8,0.8333333333333334
esci,bge_base,CG2,20,51,8,0.546875
esci,bge_base,CG2,100,51,8,0.8125
esci,minilm,Raw,20,9,6,0.8055555555555557
esci,minilm,Raw,100,9,6,0.888888888888889
esci,minilm,Canonical,20,9,6,0.8055555555555557
esci,minilm,Canonical,100,9,6,0.888888888888889
esci,minilm,G1,20,9,6,0.7341269841269842
esci,minilm,G1,100,9,6,0.888888888888889
esci,minilm,CG1,20,9,6,0.6388888888888888
esci,minilm,CG1,100,9,6,0.888888888888889
esci,minilm,G2,20,9,6,0.8055555555555557
esci,minilm,G2,100,9,6,0.888888888888889
esci,minilm,CG2,20,9,6,0.8055555555555557
esci,minilm,CG2,100,9,6,0.888888888888889
