dataset,method,replicate,input_kind,outputs,fact_pass_rate,truncation_rate
esci,G1,noise1,canonical,2,0.0,0.0
esci,G1,noise1,raw,14,0.0,0.0
esci,G1,noise2,canonical,2,0.0,0.0
esci,G1,noise2,raw,14,0.0,0.07142857142857142
esci,G1,noise3,canonical,2,0.0,0.0
esci,G1,noise3,raw,14,0.0,0.0
esci,G2,noise1,canonical,2,0.0,0.5
esci,G2,noise1,raw,14,0.0,0.6428571428571429
esci,G2,noise2,canonical,2,0.0,1.0
esci,G2,noise2,raw,14,0.0,0.5
esci,G2,noise3,canonical,2,0.0,1.0
esci,G2,noise3,raw,14,0.0,0.5714285714285714
wands,G1,noise1,canonical,6,0.0,0.16666666666666666
wands,G1,noise1,raw,42,0.0,0.047619047619047616
wands,G1,noise2,canonical,6,0.0,0.0
wands,G1,noise2,raw,42,0.0,0.09523809523809523
wands,G1,noise3,canonical,6,0.0,0.0
wands,G1,noise3,raw,42,0.0,0.09523809523809523
wands,G2,noise1,canonical,6,0.0,0.8333333333333334
wands,G2,noise1,raw,42,0.0,0.5
wands,G2,noise2,canonical,6,0.0,0.8333333333333334
wands,G2,noise2,raw,42,0.0,0.5714285714285714
wands,G2,noise3,canonical,6,0.0,0.8333333333333334
wands,G2,noise3,raw,42,0.0,0.7380952380952381
