dataset,model,method,stem,K,pair_micro,query_macro
wands,bge_base,Raw,C0,20,0.08387096774193549,0.20379030404517995
wands,bge_base,Raw,C1,20,0.07419354838709677,0.16070460067578862
wands,bge_base,Raw,C2s1,20,0.07419354838709677,0.20001436498555294
wands,bge_base,Raw,C2s2,20,0.07741935483870968,0.2015175767724527
wands,bge_base,Raw,C2s3,20,0.07096774193548387,0.19969169382954843
wands,bge_base,Raw,C2s4,20,0.08064516129032258,0.20226709321345845
wands,bge_base,Raw,C2s5,20,0.07741935483870968,0.20111073053227307
wands,bge_base,Raw,C0,100,0.25806451612903225,0.3489180740621343
wands,bge_base,Raw,C1,100,0.2032258064516129,0.3032210401891253
wands,bge_base,Raw,C2s1,100,0.20967741935483872,0.2922949202426153
wands,bge_base,Raw,C2s2,100,0.22903225806451613,0.335516027592712
wands,bge_base,Raw,C2s3,100,0.22580645161290322,0.29900385354729325
wands,bge_base,Raw,C2s4,100,0.2161290322580645,0.3313574202426153
wands,bge_base,Raw,C2s5,100,0.22580645161290322,0.335153358347064
wands,bge_base,Canonical,C0,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C2s1,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C2s2,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C2s3,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C2s4,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C2s5,20,0.0935483870967742,0.2023440671490317
wands,bge_base,Canonical,C0,100,0.24838709677419354,0.3164424609570886
wands,bge_base,Canonical,C1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,Canonical,C2s1,100,0.24838709677419354,0.3164424609570886
wands,bge_base,Canonical,C2s2,100,0.24838709677419354,0.3164424609570886
wands,bge_base,Canonical,C2s3,100,0.24838709677419354,0.3164424609570886
wands,bge_base,Canonical,C2s4,100,0.24838709677419354,0.3164424609570886
