dataset,model,method_a,method_b,K,delta,ci_low,ci_high,p_raw,queries,p_holm
wands,bge_base,G1,Raw,100,0.0024692850490722965,-0.0982142857142857,0.1442291455589328,1.0,8,1.0
wands,bge_base,CG1,G1,100,0.04506297567024517,-0.01696854990294707,0.12513602761829712,0.43155684431556846,8,1.0
wands,bge_base,CG1,Canonical,100,0.05187047036559449,-0.04045273210831721,0.16127139729893472,0.5026497350264973,8,1.0
wands,bge_base,G2,Raw,100,-0.00472882531836432,-0.03246753246753245,0.021939144057938384,0.8102189781021898,8,1.0
wands,bge_base,CG2,G2,100,-0.0008355197960694463,-0.02856140772807441,0.028182337346787698,1.0,8,1.0
wands,bge_base,CG2,Canonical,100,-0.0012261354681567423,-0.033702270936313485,0.04005681818181819,1.0,8,1.0
wands,minilm,G1,Raw,100,-0.03774155029695809,-0.14361702127659573,0.06281330593165702,0.5209479052094791,8,1.0
wands,minilm,CG1,G1,100,0.09420236645413951,0.011443078198397339,0.18860229276895943,0.1516848315168483,8,0.9101089891010898
wands,minilm,CG1,Canonical,100,0.042830528989660194,-0.001446759259259264,0.09837261503928171,0.24537546245375463,8,1.0
wands,minilm,G2,Raw,100,0.016247411637482563,-0.026758423478281626,0.06372254288920955,0.623037696230377,8,1.0
wands,minilm,CG2,G2,100,0.002858472217958036,-0.005580950797872337,0.013900162337662343,0.748025197480252,8,1.0
wands,minilm,CG2,Canonical,100,0.00547559668791938,-0.011065143157341742,0.02550400577882847,0.6257374262573743,8,1.0
esci,bge_base,G1,Raw,100,-0.12738095238095237,-0.2348901098901099,-0.044505494505494486,0.061493850614938506,8,0.30746925307469253
esci,bge_base,CG1,G1,100,-0.008176892551892558,-0.047985347985347995,0.0427541208791209,0.7370262973702629,8,1.0
esci,bge_base,CG1,Canonical,100,-0.13270566239316237,-0.2459645432692307,-0.040624999999999994,0.06369363063693631,8,0.30746925307469253
esci,bge_base,G2,Raw,100,-0.048857219169719204,-0.09426129426129433,-0.014468864468864473,0.0326967303269673,8,0.19618038196180382
esci,bge_base,CG2,G2,100,-0.004529151404151381,-0.062202380952380926,0.04372710622710625,0.8719128087191281,8,1.0
esci,bge_base,CG2,Canonical,100,-0.05053418803418802,-0.10608974358974355,-0.009615384615384623,0.1262873712628737,8,0.3788621137886211
esci,minilm,G1,Raw,100,0.007228708791208779,-0.03784340659340668,0.057238009386446825,0.7809219078092191,8,1.0
esci,minilm,CG1,G1,100,0.00423534798534797,-0.013392857142857179,0.019001831501831504,0.7516248375162484,8,1.0
esci,minilm,CG1,Canonical,100,0.002764423076923067,-0.06217948717948718,0.0703125,1.0,8,1.0
esci,minilm,G2,Raw,100,-0.00890376984126983,-0.04303075396825395,0.024851190476190485,0.7534246575342466,8,1.0
esci,minilm,CG2,G2,100,0.017135989010989,-0.01485805860805861,0.053571428571428575,0.40075992400759924,8,1.0
esci,minilm,CG2,Canonical,100,-0.0004674145299145144,-0.04086538461538455,0.036458333333333315,1.0,8,1.0
