dataset,model,method,K,order_target_trials,pairs,queries,rescued,newly_missed,macro_net
wands,bge_base,Canonical,20,2170,310,8,66,30,0.006758872284138241
wands,bge_base,Canonical,100,2170,310,8,109,56,-0.004338209646277024
wands,bge_base,G1,20,2170,310,8,357,79,0.006855637385335966
wands,bge_base,G1,100,2170,310,8,346,176,0.002469285049072279
wands,bge_base,CG1,20,2170,310,8,337,56,0.07497718126042595
wands,bge_base,CG1,100,2170,310,8,331,166,0.04753226071931745
wands,bge_base,G2,20,2170,310,8,67,60,0.019238542764695245
wands,bge_base,G2,100,2170,310,8,116,134,-0.004728825318364325
wands,bge_base,CG2,20,2170,310,8,62,54,0.013978303594881608
wands,bge_base,CG2,100,2170,310,8,104,121,-0.005564345114433766
wands,bge_base,GuardG1,20,2170,310,8,66,30,0.006758872284138241
wands,bge_base,GuardG1,100,2170,310,8,109,56,-0.004338209646277024
wands,bge_base,GuardCG1,20,2170,310,8,66,30,0.006758872284138241
wands,bge_base,GuardCG1,100,2170,310,8,109,56,-0.004338209646277024
wands,bge_base,GuardG2,20,2170,310,8,66,30,0.006758872284138241
wands,bge_base,GuardG2,100,2170,310,8,109,56,-0.004338209646277024
wands,bge_base,GuardCG2,20,2170,310,8,66,30,0.006758872284138241
wands,bge_base,GuardCG2,100,2170,310,8,109,56,-0.004338209646277024
wands,minilm,Canonical,20,2170,310,8,23,22,-0.011384402962417146
wands,minilm,Canonical,100,2170,310,8,69,101,0.01363028716752121
wands,minilm,G1,20,2170,310,8,172,31,0.08561335769890735
wands,minilm,G1,100,2170,310,8,291,136,-0.037741550296958096
wands,minilm,CG1,20,2170,310,8,149,29,0.056514182478278226
wands,minilm,CG1,100,2170,310,8,322,137,0.056460816157181404
wands,minilm,G2,20,2170,310,8,42,28,0.00935583780220305
wands,minilm,G2,100,2170,310,8,96,128,0.01624741163748256
wands,minilm,CG2,20,2170,310,8,30,29,-0.011791249202596719
wands,minilm,CG2,100,2170,310,8,100,132,0.01910588385544059
wands,minilm,GuardG1,20,2170,310,8,23,22,-0.011384402962417146
wands,minilm,GuardG1,100,2170,310,8,69,101,0.01363028716752121
wands,minilm,GuardCG1,20,2170,310,8,23,22,-0.011384402962417146
wands,minilm,GuardCG1,100,2170,310,8,69,101,0.01363028716752121
wands,minilm,GuardG2,20,2170,310,8,23,22,-0.011384402962417146
wands,minilm,GuardG2,100,2170,310,8,69,101,0.01363028716752121
wands,minilm,GuardCG2,20,2170,310,8,23,22,-0.011384402962417146
wands,minilm,GuardCG2,100,2170,310,8,69,101,0.01363028716752121
esci,bge_base,Canonical,20,777,111,8,13,7,-0.029733287545787544
esci,bge_base,Canonical,100,777,111,8,3,4,-0.0028521825396825395
esci,bge_base,G1,20,777,111,8,31,106,-0.11097565628815628
esci,bge_base,G1,100,777,111,8,5,95,-0.12738095238095237
esci,bge_base,CG1,20,777,111,8,31,116,-0.11554980966745672
esci,bge_base,CG1,100,777,111,8,0,106,-0.13555784493284495
esci,bge_base,G2,20,777,111,8,19,60,-0.08801522211448681
esci,bge_base,G2,100,777,111,8,1,36,-0.04885721916971917
esci,bge_base,CG2,20,777,111,8,20,63,-0.09166139212095095
esci,bge_base,CG2,100,777,111,8,3,39,-0.05338637057387057
esci,bge_base,GuardG1,20,777,111,8,13,12,-0.035685668498168496
esci,bge_base,GuardG1,100,777,111,8,3,11,-0.012467567155067156
esci,bge_base,GuardCG1,20,777,111,8,13,7,-0.029733287545787544
esci,bge_base,GuardCG1,100,777,111,8,3,11,-0.012467567155067156
esci,bge_base,GuardG2,20,777,111,8,13,7,-0.029733287545787544
esci,bge_base,GuardG2,100,777,111,8,3,4,-0.0028521825396825395
esci,bge_base,GuardCG2,20,777,111,8,13,7,-0.029733287545787544
esci,bge_base,GuardCG2,100,777,111,8,3,4,-0.0028521825396825395
esci,minilm,Canonical,20,777,111,8,8,5,0.006107250592544709
esci,minilm,Canonical,100,777,111,8,9,0,0.0086996336996337
esci,minilm,G1,20,777,111,8,98,34,0.06742530345471523
esci,minilm,G1,100,777,111,8,37,39,0.007228708791208788
esci,minilm,CG1,20,777,111,8,82,44,0.04194341198017668
esci,minilm,CG1,100,777,111,8,40,38,0.011464056776556776
esci,minilm,G2,20,777,111,8,44,37,-0.02800121651224592
esci,minilm,G2,100,777,111,8,22,18,-0.00890376984126984
esci,minilm,CG2,20,777,111,8,45,35,-0.025251943726208433
esci,minilm,CG2,100,777,111,8,30,21,0.00823221916971917
esci,minilm,GuardG1,20,777,111,8,16,8,0.009655785391079507
esci,minilm,GuardG1,100,777,111,8,9,2,0.005723443223443224
esci,minilm,GuardCG1,20,777,111,8,8,5,0.006107250592544709
esci,minilm,GuardCG1,100,777,111,8,9,0,0.0086996336996337
esci,minilm,GuardG2,20,777,111,8,8,5,0.006107250592544709
esci,minilm,GuardG2,100,777,111,8,9,0,0.0086996336996337
esci,minilm,GuardCG2,20,777,111,8,8,5,0.006107250592544709
esci,minilm,GuardCG2,100,777,111,8,9,0,0.0086996336996337
