dataset,model,method,K,state,pairs
wands,bge_base,Raw,20,always,13
wands,bge_base,Raw,20,sometimes,27
wands,bge_base,Raw,20,never,270
wands,bge_base,Raw,100,always,44
wands,bge_base,Raw,100,sometimes,55
wands,bge_base,Raw,100,never,211
wands,bge_base,Canonical,20,always,29
wands,bge_base,Canonical,20,sometimes,0
wands,bge_base,Canonical,20,never,281
wands,bge_base,Canonical,100,always,77
wands,bge_base,Canonical,100,sometimes,0
wands,bge_base,Canonical,100,never,233
wands,bge_base,G1,20,always,23
wands,bge_base,G1,20,sometimes,87
wands,bge_base,G1,20,never,200
wands,bge_base,G1,100,always,41
wands,bge_base,G1,100,sometimes,118
wands,bge_base,G1,100,never,151
wands,bge_base,CG1,20,always,64
wands,bge_base,CG1,20,sometimes,0
wands,bge_base,CG1,20,never,246
wands,bge_base,CG1,100,always,93
wands,bge_base,CG1,100,sometimes,0
wands,bge_base,CG1,100,never,217
wands,bge_base,GuardG1,20,always,29
wands,bge_base,GuardG1,20,sometimes,0
wands,bge_base,GuardG1,20,never,281
wands,bge_base,GuardG1,100,always,77
wands,bge_base,GuardG1,100,sometimes,0
wands,bge_base,GuardG1,100,never,233
wands,bge_base,GuardCG1,20,always,29
wands,bge_base,GuardCG1,20,sometimes,0
wands,bge_base,GuardCG1,20,never,281
wands,bge_base,GuardCG1,100,always,77
wands,bge_base,GuardCG1,100,sometimes,0
wands,bge_base,GuardCG1,100,never,233
wands,bge_base,G2,20,always,7
wands,bge_base,G2,20,sometimes,39
wands,bge_base,G2,20,never,264
wands,bge_base,G2,100,always,24
wands,bge_base,G2,100,sometimes,71
wands,bge_base,G2,100,never,215
wands,bge_base,CG2,20,always,25
wands,bge_base,CG2,20,sometimes,0
wands,bge_base,CG2,20,never,285
wands,bge_base,CG2,100,always,67
wands,bge_base,CG2,100,sometimes,0
wands,bge_base,CG2,100,never,243
wands,bge_base,GuardG2,20,always,29
wands,bge_base,GuardG2,20,sometimes,0
wands,bge_base,GuardG2,20,never,281
wands,bge_base,GuardG2,100,always,77
wands,bge_base,GuardG2,100,sometimes,0
wands,bge_base,GuardG2,100,never,233
wands,bge_base,GuardCG2,20,always,29
wands,bge_base,GuardCG2,20,sometimes,0
wands,bge_base,GuardCG2,20,never,281
wands,bge_base,GuardCG2,100,always,77
wands,bge_base,GuardCG2,100,sometimes,0
wands,bge_base,GuardCG2,100,never,233
wands,minilm,Raw,20,always,2
wands,minilm,Raw,20,sometimes,18
wands,minilm,Raw,20,never,290
wands,minilm,Raw,100,always,10
wands,minilm,Raw,100,sometimes,66
wands,minilm,Raw,100,never,234
wands,minilm,Canonical,20,always,7
wands,minilm,Canonical,20,sometimes,0
wands,minilm,Canonical,20,never,303
wands,minilm,Canonical,100,always,33
wands,minilm,Canonical,100,sometimes,0
wands,minilm,Canonical,100,never,277
wands,minilm,G1,20,always,2
wands,minilm,G1,20,sometimes,80
wands,minilm,G1,20,never,228
wands,minilm,G1,100,always,8
wands,minilm,G1,100,sometimes,126
wands,minilm,G1,100,never,176
wands,minilm,CG1,20,always,24
wands,minilm,CG1,20,sometimes,0
wands,minilm,CG1,20,never,286
wands,minilm,CG1,100,always,64
wands,minilm,CG1,100,sometimes,0
wands,minilm,CG1,100,never,246
wands,minilm,GuardG1,20,always,7
wands,minilm,GuardG1,20,sometimes,0
wands,minilm,GuardG1,20,never,303
wands,minilm,GuardG1,100,always,33
wands,minilm,GuardG1,100,sometimes,0
wands,minilm,GuardG1,100,never,277
wands,minilm,GuardCG1,20,always,7
wands,minilm,GuardCG1,20,sometimes,0
wands,minilm,GuardCG1,20,never,303
wands,minilm,GuardCG1,100,always,33
wands,minilm,GuardCG1,100,sometimes,0
wands,minilm,GuardCG1,100,never,277
wands,minilm,G2,20,always,2
wands,minilm,G2,20,sometimes,21
wands,minilm,G2,20,never,287
wands,minilm,G2,100,always,12
wands,minilm,G2,100,sometimes,48
wands,minilm,G2,100,never,250
wands,minilm,CG2,20,always,7
wands,minilm,CG2,20,sometimes,0
wands,minilm,CG2,20,never,303
wands,minilm,CG2,100,always,33
wands,minilm,CG2,100,sometimes,0
wands,minilm,CG2,100,never,277
wands,minilm,GuardG2,20,always,7
wands,minilm,GuardG2,20,sometimes,0
wands,minilm,GuardG2,20,never,303
wands,minilm,GuardG2,100,always,33
wands,minilm,GuardG2,100,sometimes,0
wands,minilm,GuardG2,100,never,277
wands,minilm,GuardCG2,20,always,7
wands,minilm,GuardCG2,20,sometimes,0
wands,minilm,GuardCG2,20,never,303
wands,minilm,GuardCG2,100,always,33
wands,minilm,GuardCG2,100,sometimes,0
wands,minilm,GuardCG2,100,never,277
esci,bge_base,Raw,20,always,66
esci,bge_base,Raw,20,sometimes,3
esci,bge_base,Raw,20,never,42
esci,bge_base,Raw,100,always,95
esci,bge_base,Raw,100,sometimes,3
esci,bge_base,Raw,100,never,13
esci,bge_base,Canonical,20,always,68
esci,bge_base,Canonical,20,sometimes,0
esci,bge_base,Canonical,20,never,43
esci,bge_base,Canonical,100,always,96
esci,bge_base,Canonical,100,sometimes,0
esci,bge_base,Canonical,100,never,15
esci,bge_base,G1,20,always,45
esci,bge_base,G1,20,sometimes,23
esci,bge_base,G1,20,never,43
esci,bge_base,G1,100,always,76
esci,bge_base,G1,100,sometimes,15
esci,bge_base,G1,100,never,20
esci,bge_base,CG1,20,always,55
esci,bge_base,CG1,20,sometimes,0
esci,bge_base,CG1,20,never,56
esci,bge_base,CG1,100,always,81
esci,bge_base,CG1,100,sometimes,0
esci,bge_base,CG1,100,never,30
esci,bge_base,GuardG1,20,always,67
esci,bge_base,GuardG1,20,sometimes,1
esci,bge_base,GuardG1,20,never,43
esci,bge_base,GuardG1,100,always,95
esci,bge_base,GuardG1,100,sometimes,0
esci,bge_base,GuardG1,100,never,16
esci,bge_base,GuardCG1,20,always,68
esci,bge_base,GuardCG1,20,sometimes,0
esci,bge_base,GuardCG1,20,never,43
esci,bge_base,GuardCG1,100,always,95
esci,bge_base,GuardCG1,100,sometimes,0
esci,bge_base,GuardCG1,100,never,16
esci,bge_base,G2,20,always,51
esci,bge_base,G2,20,sometimes,19
esci,bge_base,G2,20,never,41
esci,bge_base,G2,100,always,85
esci,bge_base,G2,100,sometimes,11
esci,bge_base,G2,100,never,15
esci,bge_base,CG2,20,always,61
esci,bge_base,CG2,20,sometimes,0
esci,bge_base,CG2,20,never,50
esci,bge_base,CG2,100,always,91
esci,bge_base,CG2,100,sometimes,0
esci,bge_base,CG2,100,never,20
esci,bge_base,GuardG2,20,always,68
esci,bge_base,GuardG2,20,sometimes,0
esci,bge_base,GuardG2,20,never,43
esci,bge_base,GuardG2,100,always,96
esci,bge_base,GuardG2,100,sometimes,0
esci,bge_base,GuardG2,100,never,15
esci,bge_base,GuardCG2,20,always,68
esci,bge_base,GuardCG2,20,sometimes,0
esci,bge_base,GuardCG2,20,never,43
esci,bge_base,GuardCG2,100,always,96
esci,bge_base,GuardCG2,100,sometimes,0
esci,bge_base,GuardCG2,100,never,15
esci,minilm,Raw,20,always,44
esci,minilm,Raw,20,sometimes,4
esci,minilm,Raw,20,never,63
esci,minilm,Raw,100,always,81
esci,minilm,Raw,100,sometimes,2
esci,minilm,Raw,100,never,28
esci,minilm,Canonical,20,always,47
esci,minilm,Canonical,20,sometimes,0
esci,minilm,Canonical,20,never,64
esci,minilm,Canonical,100,always,83
esci,minilm,Canonical,100,sometimes,0
esci,minilm,Canonical,100,never,28
esci,minilm,G1,20,always,38
esci,minilm,G1,20,sometimes,32
esci,minilm,G1,20,never,41
esci,minilm,G1,100,always,72
esci,minilm,G1,100,sometimes,17
esci,minilm,G1,100,never,22
esci,minilm,CG1,20,always,52
esci,minilm,CG1,20,sometimes,0
esci,minilm,CG1,20,never,59
esci,minilm,CG1,100,always,82
esci,minilm,CG1,100,sometimes,0
esci,minilm,CG1,100,never,29
esci,minilm,GuardG1,20,always,46
esci,minilm,GuardG1,20,sometimes,4
esci,minilm,GuardG1,20,never,61
esci,minilm,GuardG1,100,always,82
esci,minilm,GuardG1,100,sometimes,1
esci,minilm,GuardG1,100,never,28
esci,minilm,GuardCG1,20,always,47
esci,minilm,GuardCG1,20,sometimes,0
esci,minilm,GuardCG1,20,never,64
esci,minilm,GuardCG1,100,always,83
esci,minilm,GuardCG1,100,sometimes,0
esci,minilm,GuardCG1,100,never,28
esci,minilm,G2,20,always,37
esci,minilm,G2,20,sometimes,24
