method,mode,queries,pairs,Recall@20,VI@20,Robust@20,Never@20,C0_Recall@20,C1_Recall@20,C2s1_Recall@20,C2s2_Recall@20,C2s3_Recall@20,C2s4_Recall@20,C2s5_Recall@20,Recall@100,VI@100,Robust@100,Never@100,C0_Recall@100,C1_Recall@100,C2s1_Recall@100,C2s2_Recall@100,C2s3_Recall@100,C2s4_Recall@100,C2s5_Recall@100,rank_range,worst_schedule@20,schedule_spread@20,worst_schedule@100,schedule_spread@100
Original,catalog,239,6797,0.2465511962557684,0.0838461901045228,0.2119740808266966,0.7041797290687806,0.24722307589324088,0.2557029976048333,0.243430550637447,0.24651645829187496,0.2451418903157249,0.24387311569660253,0.24397028535065513,0.5651602987194306,0.1121575065915725,0.5051095477047355,0.382732945703692,0.5449472001781215,0.5758095054695096,0.5661375585283468,0.5715851059073542,0.5594885255838266,0.5679602589953614,0.5701939363734942,270.8439347018943,0.22951233932686627,0.04379129275509341,0.5233832415117742,0.0770156554381761
Canonical,catalog,239,6797,0.24833297749811575,0.0,0.24833297749811575,0.7516670225018842,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.5639453194358232,0.0,0.5639453194358232,0.43605468056417696,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.0,0.24833297749811575,0.0,0.5639453194358232,0.0
Set-Mean,catalog,239,6797,0.3005747696779471,0.0,0.3005747696779471,0.6994252303220528,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.5975709096627618,0.0,0.5975709096627618,0.4024290903372381,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.0,0.3005747696779471,0.0,0.5975709096627618,0.0
Perm-FT-cons0.05_s42,catalog,239,6797,0.2969404347183058,0.1307593406353841,0.2326130639508795,0.6366275954137364,0.27841394808085274,0.3046778022818768,0.2932495286646484,0.2988450932520964,0.2907308527634091,0.30774513506752194,0.30492068291773494,0.6057918844560916,0.09718767843702045,0.5546167513954783,0.3481955701675013,0.5901960876501324,0.6140064999690231,0.610233634550384,0.603733336266912,0.607652327288923,0.6045280007987537,0.6101933046685133,170.26941489114046,0.252746801557822,0.08764506194938855,0.5693389378032842,0.06835765145825315
Perm-FT_s42,catalog,239,6797,0.29988649135882356,0.11159682922689963,0.24626422570061002,0.6421389450724904,0.29025104692074877,0.30260484498848755,0.3018161341590313,0.29611206564814935,0.2946093913719826,0.3037816147517507,0.3100303416716143,0.6059035720001732,0.08180299308709929,0.5648713155569165,0.35332569135598424,0.6006271154235144,0.6032018056946208,0.6055477235246476,0.6036025114617979,0.6116443174587868,0.606537984524507,0.6101635459133377,150.5029274908206,0.26484462364437394,0.06951424016146096,0.5781950874158155,0.056061075864894366
Original,target,239,6797,0.2435209086824832,0.07160400288974102,0.21332588997639365,0.7150701071338653,0.24722307589324088,0.2473807651892296,0.2398435756662444,0.24373901605586537,0.242431064804863,0.24182439812567996,0.24220446504225918,0.5574451331849614,0.10882648151908228,0.50176695326735,0.38940656521356765,0.5449472001781215,0.5625101124239841,0.5585402220219567,0.5582198874216872,0.5530835592927168,0.5596550873218544,0.5651598636344092,265.91994531585925,0.2239172062991019,0.0436855389714452,0.5175734820153338,0.07793025306753638
Canonical,target,239,6797,0.24833297749811575,0.0,0.24833297749811575,0.7516670225018842,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.24833297749811575,0.5639453194358232,0.0,0.5639453194358232,0.43605468056417696,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.5639453194358232,0.0,0.24833297749811575,0.0,0.5639453194358232,0.0
Set-Mean,target,239,6797,0.3005747696779471,0.0,0.3005747696779471,0.6994252303220528,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.3005747696779471,0.5975709096627618,0.0,0.5975709096627618,0.4024290903372381,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.5975709096627618,0.0,0.3005747696779471,0.0,0.5975709096627618,0.0
Perm-FT-cons0.05_s42,target,239,6797,0.2837805267989369,0.09970417440572542,0.23550138896477202,0.6647944366295025,0.27841394808085274,0.28327697869469204,0.2809674818166184,0.29027446133037327,0.28070276824335866,0.2864063500046492,0.28642169942201356,0.5931206588406253,0.08750492731299993,0.5487011633934422,0.3637939092935578,0.5901960876501324,0.5922126953240191,0.5944537896867738,0.5922199066592578,0.594239727083871,0.5938080946819347,0.5947143107983877,178.49107913946273,0.24899910042677345,0.07023635064032015,0.5637663149276975,0.05954115180262599
Perm-FT_s42,target,239,6797,0.2928982320455817,0.10318475481444342,0.24286984433326073,0.6539454008522959,0.29025104692074877,0.29055107744459807,0.28832441808441245,0.29282024349008884,0.2838576192892425,0.2997303302466103,0.304752888843371,0.5965429167009684,0.07709634372960146,0.5573028847671165,0.36560077150328196,0.6006271154235144,0.5936576294746334,0.5922427752178223,0.5943855576215215,0.5987998461704387,0.5941893065106101,0.6018981864882375,152.16082239456503,0.25962284083254783,0.07038277802514765,0.5702289458588978,0.051805781312155345
