method,mode,metric,delta_pp,ci_low_pp,ci_high_pp
Original,catalog,Recall@20,0.0,0.0,0.0
Original,catalog,Recall@100,0.0,0.0,0.0
Original,catalog,VI@20,0.0,0.0,0.0
Original,catalog,VI@100,0.0,0.0,0.0
Original,catalog,Robust@100,0.0,0.0,0.0
Original,catalog,Never@100,0.0,0.0,0.0
Canonical,catalog,Recall@20,0.034439822007734704,-0.45491093021849327,0.5386227310086059
Canonical,catalog,Recall@100,-0.3833754575631556,-1.3994117733069662,0.539838925932282
Canonical,catalog,VI@20,-11.931807342696613,-13.71973370079236,-10.292033120349926
Canonical,catalog,VI@100,-12.30487480542735,-14.291847064219972,-10.481825851988958
Canonical,catalog,Robust@100,6.056606801941066,4.8964182766531525,7.434867933669702
Canonical,catalog,Never@100,6.248268003486282,5.008148004513098,7.704778282534538
Set-Mean,catalog,Recall@20,-0.7370121579993301,-1.8595833209295431,0.36386210025532056
Set-Mean,catalog,Recall@100,-1.8002181174682892,-3.342829766726825,-0.2940867724194136
Set-Mean,catalog,VI@20,-11.931807342696613,-13.71973370079236,-10.292033120349926
Set-Mean,catalog,VI@100,-12.30487480542735,-14.291847064219972,-10.481825851988958
Set-Mean,catalog,Robust@100,4.639764142035932,2.9807366448857118,6.416827346236453
Set-Mean,catalog,Never@100,7.665110663391415,6.031678556041198,9.40560051160724
Perm-FT-cons0.05_s42,catalog,Recall@20,-1.2604997406497194,-2.5804194617650915,-0.02962774180406154
Perm-FT-cons0.05_s42,catalog,Recall@100,-0.5351363636752435,-1.9721334038266405,0.928172499555301
Perm-FT-cons0.05_s42,catalog,VI@20,0.8056784603665421,-1.1722409405186918,2.785685168292996
Perm-FT-cons0.05_s42,catalog,VI@100,-1.2833045487255295,-3.2770058898999066,0.6635152317357726
Perm-FT-cons0.05_s42,catalog,Robust@100,0.3669492288843262,-1.4263623835586468,2.336332217711603
Perm-FT-cons0.05_s42,catalog,Never@100,0.9163553198412034,-0.5128085967986012,2.247574693736457
Perm-FT_s42,catalog,Recall@20,-1.1233325204116618,-2.436489154198451,0.08495108655678242
Perm-FT_s42,catalog,Recall@100,-0.849724323637353,-2.245811819832407,0.5502440657438028
Perm-FT_s42,catalog,VI@20,-1.4450841107320942,-3.292947309527441,0.34970901398326515
Perm-FT_s42,catalog,VI@100,-2.3939843401466243,-4.2240342888946145,-0.6698552401479005
Perm-FT_s42,catalog,Robust@100,0.5633738119020221,-1.1262208360569876,2.3627401517388473
Perm-FT_s42,catalog,Never@100,1.8306105282446028,0.6295396952405697,3.0226058813895844
Original,target,Recall@20,0.0,0.0,0.0
Original,target,Recall@100,0.0,0.0,0.0
Original,target,VI@20,0.0,0.0,0.0
Original,target,VI@100,0.0,0.0,0.0
Original,target,Robust@100,0.0,0.0,0.0
Original,target,Never@100,0.0,0.0,0.0
Canonical,target,Recall@20,0.43549284305810265,-0.12857253482972564,1.003463624161686
Canonical,target,Recall@100,0.03111350672405399,-0.979223122844234,0.981446739632995
Canonical,target,VI@20,-10.831734636745576,-12.497422330430046,-9.267873291597887
Canonical,target,VI@100,-12.11189684063842,-14.081799999570437,-10.324176759072959
Canonical,target,Robust@100,6.283536202553062,5.105744340927606,7.683423511156345
Canonical,target,Never@100,5.828360638085359,4.549627379646821,7.311707357620713
Set-Mean,target,Recall@20,-0.3359591369489621,-1.4917580422116108,0.8039248746012868
Set-Mean,target,Recall@100,-1.3857291531810796,-2.885623425969659,0.1297273231986793
Set-Mean,target,VI@20,-10.831734636745576,-12.497422330430046,-9.267873291597887
Set-Mean,target,VI@100,-12.11189684063842,-14.081799999570437,-10.324176759072959
Set-Mean,target,Robust@100,4.866693542647928,3.1974341546035983,6.659155927234896
Set-Mean,target,Never@100,7.245203297990492,5.600465119577635,9.011880148011176
Perm-FT-cons0.05_s42,target,Recall@20,-1.983396785881972,-3.401814456118473,-0.7095866409783638
Perm-FT-cons0.05_s42,target,Recall@100,-1.6122624068686828,-3.028796234600525,-0.17164136079687314
Perm-FT-cons0.05_s42,target,VI@20,0.8735314398994319,-1.2553620339358655,3.05214690504704
Perm-FT-cons0.05_s42,target,VI@100,-0.3606782930569566,-2.1700447878645885,1.424224261756993
Perm-FT-cons0.05_s42,target,Robust@100,-1.3150855880935484,-2.9554951891229515,0.40592650775657546
Perm-FT-cons0.05_s42,target,Never@100,1.6757638811505053,0.24110653396386905,2.9996157973731212
Perm-FT_s42,target,Recall@20,-1.3736173913188208,-2.6830458320281663,-0.17470805719010518
Perm-FT_s42,target,Recall@100,-1.2882320965482834,-2.729407598839205,0.11208108879470526
Perm-FT_s42,target,VI@20,-1.303557219212193,-3.0549553195056167,0.36382098262649276
Perm-FT_s42,target,VI@100,-2.0549070348524205,-3.6436918103925073,-0.5953485237270242
Perm-FT_s42,target,Robust@100,-0.19592626624388507,-1.8053999400605738,1.4709080923264766
Perm-FT_s42,target,Never@100,2.2508333010963057,0.8464101229044957,3.667878504281557
