method,mode,queries,Recall@20,VI@20,Robust@20,Never@20,C0_Recall@20,C1_Recall@20,C2s1_Recall@20,C2s2_Recall@20,C2s3_Recall@20,C2s4_Recall@20,C2s5_Recall@20,Recall@100,VI@100,Robust@100,Never@100,C0_Recall@100,C1_Recall@100,C2s1_Recall@100,C2s2_Recall@100,C2s3_Recall@100,C2s4_Recall@100,C2s5_Recall@100,rank_range,worst_schedule@20,schedule_spread@20,worst_schedule@100,schedule_spread@100
Original,catalog,308,0.36037983988205796,0.11931807342696614,0.3047234009976918,0.575958525575342,0.3610458935456568,0.36198517248888673,0.3619616716772757,0.3612378317711461,0.3624876097520769,0.3564179504051075,0.35752274953425595,0.6362025687113682,0.12304874805427349,0.5718027461163259,0.3051485058294006,0.6317092063148237,0.6300003161905716,0.641666463919265,0.6366248480618246,0.6325584219093809,0.6445275685169447,0.6363311560667662,281.96112534455204,0.3350841592729357,0.052204488795485005,0.6027423626675699,0.06256273216055934
Canonical,catalog,308,0.3607242381021353,0.0,0.3607242381021353,0.6392757618978646,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.6323688141357366,0.0,0.6323688141357366,0.3676311858642634,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.0,0.3607242381021353,0.0,0.6323688141357366,0.0
Set-Mean,catalog,308,0.3530097183020647,0.0,0.3530097183020647,0.6469902816979354,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.6182003875366853,0.0,0.6182003875366853,0.3817996124633148,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.0,0.3530097183020647,0.0,0.6182003875366853,0.0
Perm-FT-cons0.05_s42,catalog,308,0.34777484247556073,0.12737485803063156,0.28650962161128424,0.5861155203580842,0.34900110670422385,0.35239494635820606,0.34519173210836923,0.34782133836483686,0.3484648956805253,0.34483560379466927,0.3467142743180948,0.6308512050746157,0.11021570256701817,0.5754722384051691,0.3143120590278126,0.6300882230574423,0.6333665549593982,0.6321912650606675,0.6303102873339551,0.6339984863273499,0.6299352037071824,0.6260684150763146,218.8344742225158,0.31696068594256555,0.06169563202866555,0.6035507724246841,0.053883309991050184
Perm-FT_s42,catalog,308,0.3491465146779414,0.10486723231964522,0.30340517691679836,0.5917275907635563,0.34676524103479245,0.3504757124199734,0.3504263962421689,0.35119409818941855,0.347423603746708,0.3490146026994571,0.34872594841307114,0.6277053254749946,0.09910890465280721,0.5774364842353461,0.32345461111184665,0.629497115310401,0.6248846506951243,0.6311189514755806,0.62702124075803,0.6295336514111646,0.6265084249435043,0.6253732437311575,191.39136172174332,0.3303150704719483,0.04509735823284029,0.599678303841368,0.0537552001547947
Original,target,308,0.3563693096715543,0.10831734636745576,0.30176463163936296,0.5899180219931813,0.3610458935456568,0.35399287687797804,0.3571559412372111,0.35601550379855335,0.35702450317988443,0.3524831744549062,0.35686727460669,0.6320576790684961,0.12111896840638421,0.569533452110206,0.30934757948340985,0.6317092063148237,0.6249271765456447,0.635520469367418,0.631446822935543,0.6319799010066864,0.6395792402646608,0.6292409370446955,290.87840048798296,0.3220803054475771,0.06385005343331468,0.5938997382544068,0.07256621684020209
Canonical,target,308,0.3607242381021353,0.0,0.3607242381021353,0.6392757618978646,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.3607242381021353,0.6323688141357366,0.0,0.6323688141357366,0.3676311858642634,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.6323688141357366,0.0,0.3607242381021353,0.0,0.6323688141357366,0.0
Set-Mean,target,308,0.3530097183020647,0.0,0.3530097183020647,0.6469902816979354,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.3530097183020647,0.6182003875366853,0.0,0.6182003875366853,0.3817996124633148,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.6182003875366853,0.0,0.3530097183020647,0.0,0.6182003875366853,0.0
Perm-FT-cons0.05_s42,target,308,0.33653534181273453,0.11705266076645005,0.28213810807594697,0.6008092311576029,0.34900110670422385,0.3325023597738865,0.33667477156770775,0.3397841148467303,0.3270651540768545,0.3362850516009764,0.3344348341187627,0.6159350549998092,0.11751218547581462,0.5563825962292704,0.32610521829491496,0.6300882230574423,0.6050900546514503,0.6190583388492927,0.6161290462629452,0.6185000329996556,0.6108614189119174,0.6118182702659609,231.2259007089529,0.30095836189848624,0.07585537497839619,0.5792877660546085,0.07167284671795024
Perm-FT_s42,target,308,0.342633135758366,0.09528177417533382,0.2998477541547137,0.6048704716699524,0.34676524103479245,0.33937434195616867,0.34195686092211264,0.34280448414901277,0.3382823626904827,0.34343561275952034,0.345813046796473,0.6191753581030132,0.10056989805785997,0.567574189447767,0.3318559124943729,0.629497115310401,0.605535138821685,0.620223153019579,0.6220716834560084,0.6194417121619042,0.620181700033446,0.6172770039180688,197.8629432000188,0.3169660906550788,0.056549934346576236,0.5852308624961166,0.06281751685832693
