comparison,mode,metric,delta_pp,ci_low_pp,ci_high_pp
Set-Attention minus Original,catalog,Recall@100,-1.4473415021746368,-3.0141462993199837,0.13688921977444246
Set-Attention minus Original,catalog,Recall@20,-0.7952691049585681,-2.0518296362967026,0.4028989601406153
Set-Attention minus Original,catalog,VI@20,-11.931807342696619,-13.719733700792364,-10.292033120349926
Set-Attention minus Original,catalog,VI@100,-12.30487480542735,-14.29184706421998,-10.48182585198896
Set-Attention minus Original,catalog,Robust@100,4.992640757329585,3.2901973595069656,6.842728976235471
Set-Attention minus Original,catalog,Never@100,7.312234048097762,5.6705477049942745,9.072449987906115
Set-Attention minus Canonical,catalog,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025
Set-Attention minus Canonical,catalog,Recall@20,-0.8297089269663025,-2.0714971398945337,0.339504220955369
Set-Attention minus Canonical,catalog,VI@20,0.0,0.0,0.0
Set-Attention minus Canonical,catalog,VI@100,0.0,0.0,0.0
Set-Attention minus Canonical,catalog,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025
Set-Attention minus Canonical,catalog,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634
Set-Attention minus Set-Mean,catalog,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276
Set-Attention minus Set-Mean,catalog,Recall@20,-0.058256946959237714,-0.5497129493040823,0.35982405953200797
Set-Attention minus Set-Mean,catalog,VI@20,0.0,0.0,0.0
Set-Attention minus Set-Mean,catalog,VI@100,0.0,0.0,0.0
Set-Attention minus Set-Mean,catalog,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276
Set-Attention minus Set-Mean,catalog,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657
Set-Attention minus Original,catalog_fully_fitting,Recall@100,3.826419931254537,1.1049704396949023,6.65557311984481
Set-Attention minus Original,catalog_fully_fitting,Recall@20,5.127735364628258,2.8241784321150436,7.6035971217548255
Set-Attention minus Original,catalog_fully_fitting,VI@20,-8.38461901045228,-10.213924384612987,-6.7241245929879065
Set-Attention minus Original,catalog_fully_fitting,VI@100,-11.21575065915725,-13.791433590397686,-8.847862984813515
Set-Attention minus Original,catalog_fully_fitting,Robust@100,9.831495032724046,6.798729387275541,13.051779599375907
Set-Attention minus Original,catalog_fully_fitting,Never@100,1.3842556264332033,-1.3303503880850145,3.9850117093012116
Set-Attention minus Canonical,catalog_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856
Set-Attention minus Canonical,catalog_fully_fitting,Recall@20,4.94955724039352,2.779019106375682,7.309389705994097
Set-Attention minus Canonical,catalog_fully_fitting,VI@20,0.0,0.0,0.0
Set-Attention minus Canonical,catalog_fully_fitting,VI@100,0.0,0.0,0.0
Set-Attention minus Canonical,catalog_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856
Set-Attention minus Canonical,catalog_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722
Set-Attention minus Set-Mean,catalog_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682
Set-Attention minus Set-Mean,catalog_fully_fitting,Recall@20,-0.2746219775896137,-1.4404573666959635,0.573705175617309
Set-Attention minus Set-Mean,catalog_fully_fitting,VI@20,0.0,0.0,0.0
Set-Attention minus Set-Mean,catalog_fully_fitting,VI@100,0.0,0.0,0.0
Set-Attention minus Set-Mean,catalog_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682
Set-Attention minus Set-Mean,catalog_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974
Set-Attention minus Original,target,Recall@100,-1.032852537887427,-2.589526216906501,0.5771018400874371
Set-Attention minus Original,target,Recall@20,-0.3942160839082003,-1.6730774391470922,0.8343219497477282
Set-Attention minus Original,target,VI@20,-10.831734636745576,-12.497422330430046,-9.267873291597889
Set-Attention minus Original,target,VI@100,-12.11189684063842,-14.081799999570443,-10.32417675907296
Set-Attention minus Original,target,Robust@100,5.219570157941581,3.5005590853593693,7.084315676742013
Set-Attention minus Original,target,Never@100,6.892326682696839,5.247040721724326,8.652927338791546
Set-Attention minus Canonical,target,Recall@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025
Set-Attention minus Canonical,target,Recall@20,-0.8297089269663025,-2.0714971398945337,0.339504220955369
Set-Attention minus Canonical,target,VI@20,0.0,0.0,0.0
Set-Attention minus Canonical,target,VI@100,0.0,0.0,0.0
Set-Attention minus Canonical,target,Robust@100,-1.0639660446114803,-2.6426330834504634,0.576522373309025
Set-Attention minus Canonical,target,Never@100,1.0639660446114805,-0.5765223733090254,2.6426330834504634
Set-Attention minus Set-Mean,target,Recall@100,0.3528766152936528,0.06584890837822666,0.7788468453818276
Set-Attention minus Set-Mean,target,Recall@20,-0.058256946959237714,-0.5497129493040823,0.35982405953200797
Set-Attention minus Set-Mean,target,VI@20,0.0,0.0,0.0
Set-Attention minus Set-Mean,target,VI@100,0.0,0.0,0.0
Set-Attention minus Set-Mean,target,Robust@100,0.3528766152936528,0.06584890837822666,0.7788468453818276
Set-Attention minus Set-Mean,target,Never@100,-0.3528766152936526,-0.7788468453818276,-0.06584890837822657
Set-Attention minus Original,target_fully_fitting,Recall@100,4.597936484701452,1.7958542756862095,7.504977991983846
Set-Attention minus Original,target_fully_fitting,Recall@20,5.4307641219567735,3.1158072363156215,7.913494871156096
Set-Attention minus Original,target_fully_fitting,VI@20,-7.160400288974102,-8.711914371929323,-5.73938259737112
Set-Attention minus Original,target_fully_fitting,VI@100,-10.882648151908228,-13.388715832801596,-8.57230880073654
Set-Attention minus Original,target_fully_fitting,Robust@100,10.165754476462594,7.081351433207926,13.416183685495614
Set-Attention minus Original,target_fully_fitting,Never@100,0.7168936754456345,-2.1401173282590746,3.4293998384511455
Set-Attention minus Canonical,target_fully_fitting,Recall@100,3.947917859615287,1.1576906337607722,6.867312253567856
Set-Attention minus Canonical,target_fully_fitting,Recall@20,4.94955724039352,2.779019106375682,7.309389705994097
Set-Attention minus Canonical,target_fully_fitting,VI@20,0.0,0.0,0.0
Set-Attention minus Canonical,target_fully_fitting,VI@100,0.0,0.0,0.0
Set-Attention minus Canonical,target_fully_fitting,Robust@100,3.947917859615287,1.1576906337607722,6.867312253567856
Set-Attention minus Canonical,target_fully_fitting,Never@100,-3.947917859615287,-6.867312253567856,-1.1576906337607722
Set-Attention minus Set-Mean,target_fully_fitting,Recall@100,0.585358836921419,-0.031542633006987134,1.5995403443914682
Set-Attention minus Set-Mean,target_fully_fitting,Recall@20,-0.2746219775896137,-1.4404573666959635,0.573705175617309
Set-Attention minus Set-Mean,target_fully_fitting,VI@20,0.0,0.0,0.0
Set-Attention minus Set-Mean,target_fully_fitting,VI@100,0.0,0.0,0.0
Set-Attention minus Set-Mean,target_fully_fitting,Robust@100,0.585358836921419,-0.031542633006987134,1.5995403443914682
Set-Attention minus Set-Mean,target_fully_fitting,Never@100,-0.585358836921419,-1.599540344391469,0.031542633006986974
