product_id,C0,C1,C2s1,C2s2,C2s3,C2s4,C2s5,fully_fits
0,1036,1036,1036,1036,1036,1036,1036,False
1,462,462,462,462,462,462,462,True
2,390,390,390,390,390,390,390,True
3,171,171,171,171,171,171,171,True
4,506,506,506,506,506,506,506,True
5,841,841,841,841,841,841,841,False
6,848,848,848,848,848,848,848,False
7,588,588,588,588,588,588,588,False
8,311,311,311,311,311,311,311,True
9,870,870,870,870,870,870,870,False
10,544,544,544,544,544,544,544,False
11,828,828,828,828,828,828,828,False
12,394,394,394,394,394,394,394,True
13,981,981,981,981,981,981,981,False
14,452,452,452,452,452,452,452,True
15,675,675,675,675,675,675,675,False
16,546,546,546,546,546,546,546,False
17,512,512,512,512,512,512,512,True
18,421,421,421,421,421,421,421,True
19,456,456,456,456,456,456,456,True
20,400,400,400,400,400,400,400,True
21,327,327,327,327,327,327,327,True
22,288,288,288,288,288,288,288,True
23,355,355,355,355,355,355,355,True
24,411,411,411,411,411,411,411,True
25,271,271,271,271,271,271,271,True
26,537,537,537,537,537,537,537,False
27,697,697,697,697,697,697,697,False
28,212,212,212,212,212,212,212,True
29,316,316,316,316,316,316,316,True
30,700,700,700,700,700,700,700,False
31,360,360,360,360,360,360,360,True
32,321,321,321,321,321,321,321,True
33,631,631,631,631,631,631,631,False
34,556,556,556,556,556,556,556,False
35,743,743,743,743,743,743,743,False
36,717,717,717,717,717,717,717,False
37,505,505,505,505,505,505,505,True
38,189,189,189,189,189,189,189,True
39,288,288,288,288,288,288,288,True
40,688,688,688,688,688,688,688,False
41,513,513,513,513,513,513,513,False
42,258,258,258,258,258,258,258,True
43,167,167,167,167,167,167,167,True
44,310,310,310,310,310,310,310,True
45,289,289,289,289,289,289,289,True
46,295,295,295,295,295,295,295,True
47,308,308,308,308,308,308,308,True
48,190,190,190,190,190,190,190,True
49,255,255,255,255,255,255,255,True
50,398,398,398,398,398,398,398,True
51,437,437,437,437,437,437,437,True
52,741,741,741,741,741,741,741,False
53,753,753,753,753,753,753,753,False
54,823,823,823,823,823,823,823,False
55,773,773,773,773,773,773,773,False
56,808,808,808,808,808,808,808,False
57,774,774,774,774,774,774,774,False
58,363,363,363,363,363,363,363,True
59,773,773,773,773,773,773,773,False
60,725,725,725,725,725,725,725,False
61,649,649,649,649,649,649,649,False
62,492,492,492,492,492,492,492,True
63,562,562,562,562,562,562,562,False
64,460,460,460,460,460,460,460,True
65,734,734,734,734,734,734,734,False
66,698,698,698,698,698,698,698,False
67,416,416,416,416,416,416,416,True
68,246,246,246,246,246,246,246,True
69,879,879,879,879,879,879,879,False
70,346,346,346,346,346,346,346,True
71,861,861,861,861,861,861,861,False
72,996,996,996,996,996,996,996,False
73,995,995,995,995,995,995,995,False
74,1090,1090,1090,1090,1090,1090,1090,False
75,1082,1082,1082,1082,1082,1082,1082,False
76,770,770,770,770,770,770,770,False
77,1061,1061,1061,1061,1061,1061,1061,False
78,834,834,834,834,834,834,834,False
79,875,875,875,875,875,875,875,False
80,604,604,604,604,604,604,604,False
81,546,546,546,546,546,546,546,False
82,467,467,467,467,467,467,467,True
83,397,397,397,397,397,397,397,True
84,452,452,452,452,452,452,452,True
85,423,423,423,423,423,423,423,True
86,493,493,493,493,493,493,493,True
87,783,783,783,783,783,783,783,False
88,698,698,698,698,698,698,698,False
89,708,708,708,708,708,708,708,False
90,751,751,751,751,751,751,751,False
91,751,751,751,751,751,751,751,False
92,773,773,773,773,773,773,773,False
93,787,787,787,787,787,787,787,False
94,749,749,749,749,749,749,749,False
95,1043,1043,1043,1043,1043,1043,1043,False
96,303,303,303,303,303,303,303,True
97,358,358,358,358,358,358,358,True
98,418,418,418,418,418,418,418,True
99,628,628,628,628,628,628,628,False
100,605,605,605,605,605,605,605,False
101,862,862,862,862,862,862,862,False
102,541,541,541,541,541,541,541,False
103,570,570,570,570,570,570,570,False
104,422,422,422,422,422,422,422,True
105,453,453,453,453,453,453,453,True
106,317,317,317,317,317,317,317,True
107,447,447,447,447,447,447,447,True
108,578,578,578,578,578,578,578,False
109,462,462,462,462,462,462,462,True
110,468,468,468,468,468,468,468,True
111,585,585,585,585,585,585,585,False
112,563,563,563,563,563,563,563,False
113,571,571,571,571,571,571,571,False
114,950,950,950,950,950,950,950,False
115,255,255,255,255,255,255,255,True
116,631,631,631,631,631,631,631,False
117,191,191,191,191,191,191,191,True
118,640,640,640,640,640,640,640,False
119,706,706,706,706,706,706,706,False
120,347,347,347,347,347,347,347,True
121,882,882,882,882,882,882,882,False
122,598,598,598,598,598,598,598,False
123,566,566,566,566,566,566,566,False
124,649,649,649,649,649,649,649,False
125,631,631,631,631,631,631,631,False
126,631,631,631,631,631,631,631,False
127,402,402,402,402,402,402,402,True
128,662,662,662,662,662,662,662,False
129,634,634,634,634,634,634,634,False
130,698,698,698,698,698,698,698,False
131,854,854,854,854,854,854,854,False
132,858,858,858,858,858,858,858,False
133,947,947,947,947,947,947,947,False
134,816,816,816,816,816,816,816,False
135,972,972,972,972,972,972,972,False
136,851,851,851,851,851,851,851,False
137,865,865,865,865,865,865,865,False
138,835,835,835,835,835,835,835,False
139,716,716,716,716,716,716,716,False
140,888,888,888,888,888,888,888,False
141,756,756,756,756,756,756,756,False
142,959,959,959,959,959,959,959,False
143,877,877,877,877,877,877,877,False
144,875,875,875,875,875,875,875,False
145,932,932,932,932,932,932,932,False
146,851,851,851,851,851,851,851,False
147,883,883,883,883,883,883,883,False
148,887,887,887,887,887,887,887,False
149,882,882,882,882,882,882,882,False
150,907,907,907,907,907,907,907,False
151,887,887,887,887,887,887,887,False
152,854,854,854,854,854,854,854,False
153,889,889,889,889,889,889,889,False
154,809,809,809,809,809,809,809,False
155,810,810,810,810,810,810,810,False
156,884,884,884,884,884,884,884,False
157,870,870,870,870,870,870,870,False
158,879,879,879,879,879,879,879,False
159,881,881,881,881,881,881,881,False
160,846,846,846,846,846,846,846,False
161,786,786,786,786,786,786,786,False
162,781,781,781,781,781,781,781,False
163,751,751,751,751,751,751,751,False
164,761,761,761,761,761,761,761,False
165,788,788,788,788,788,788,788,False
166,675,675,675,675,675,675,675,False
167,687,687,687,687,687,687,687,False
168,823,823,823,823,823,823,823,False
169,758,758,758,758,758,758,758,False
170,736,736,736,736,736,736,736,False
171,813,813,813,813,813,813,813,False
172,813,813,813,813,813,813,813,False
173,825,825,825,825,825,825,825,False
174,819,819,819,819,819,819,819,False
175,838,838,838,838,838,838,838,False
176,891,891,891,891,891,891,891,False
177,885,885,885,885,885,885,885,False
178,820,820,820,820,820,820,820,False
179,681,681,681,681,681,681,681,False
180,866,866,866,866,866,866,866,False
181,246,246,246,246,246,246,246,True
182,235,235,235,235,235,235,235,True
183,247,247,247,247,247,247,247,True
184,314,314,314,314,314,314,314,True
185,264,264,264,264,264,264,264,True
186,771,771,771,771,771,771,771,False
187,795,795,795,795,795,795,795,False
188,253,253,253,253,253,253,253,True
189,239,239,239,239,239,239,239,True
190,527,527,527,527,527,527,527,False
191,412,412,412,412,412,412,412,True
192,979,979,979,979,979,979,979,False
193,162,162,162,162,162,162,162,True
194,781,781,781,781,781,781,781,False
195,337,337,337,337,337,337,337,True
196,309,309,309,309,309,309,309,True
197,397,397,397,397,397,397,397,True
198,345,345,345,345,345,345,345,True
199,386,386,386,386,386,386,386,True
200,436,436,436,436,436,436,436,True
201,564,564,564,564,564,564,564,False
202,417,417,417,417,417,417,417,True
203,436,436,436,436,436,436,436,True
204,767,767,767,767,767,767,767,False
205,851,851,851,851,851,851,851,False
206,521,521,521,521,521,521,521,False
207,413,413,413,413,413,413,413,True
208,475,475,475,475,475,475,475,True
209,956,956,956,956,956,956,956,False
210,759,759,759,759,759,759,759,False
211,642,642,642,642,642,642,642,False
212,349,349,349,349,349,349,349,True
213,678,678,678,678,678,678,678,False
214,386,386,386,386,386,386,386,True
215,507,507,507,507,507,507,507,True
216,532,532,532,532,532,532,532,False
217,291,291,291,291,291,291,291,True
218,332,332,332,332,332,332,332,True
219,970,970,970,970,970,970,970,False
220,769,769,769,769,769,769,769,False
221,662,662,662,662,662,662,662,False
222,716,716,716,716,716,716,716,False
223,712,712,712,712,712,712,712,False
224,260,260,260,260,260,260,260,True
225,297,297,297,297,297,297,297,True
226,166,166,166,166,166,166,166,True
227,283,283,283,283,283,283,283,True
228,232,232,232,232,232,232,232,True
229,605,605,605,605,605,605,605,False
230,569,569,569,569,569,569,569,False
231,725,725,725,725,725,725,725,False
232,905,905,905,905,905,905,905,False
233,932,932,932,932,932,932,932,False
234,662,662,662,662,662,662,662,False
235,771,771,771,771,771,771,771,False
236,556,556,556,556,556,556,556,False
237,940,940,940,940,940,940,940,False
238,408,408,408,408,408,408,408,True
239,596,596,596,596,596,596,596,False
240,706,706,706,706,706,706,706,False
241,946,946,946,946,946,946,946,False
242,604,604,604,604,604,604,604,False
243,596,596,596,596,596,596,596,False
244,546,546,546,546,546,546,546,False
245,558,558,558,558,558,558,558,False
246,499,499,499,499,499,499,499,True
247,598,598,598,598,598,598,598,False
248,513,513,513,513,513,513,513,False
249,612,612,612,612,612,612,612,False
250,419,419,419,419,419,419,419,True
251,641,641,641,641,641,641,641,False
252,305,305,305,305,305,305,305,True
253,665,665,665,665,665,665,665,False
254,682,682,682,682,682,682,682,False
255,1039,1039,1039,1039,1039,1039,1039,False
256,998,998,998,998,998,998,998,False
257,1003,1003,1003,1003,1003,1003,1003,False
258,898,898,898,898,898,898,898,False
259,822,822,822,822,822,822,822,False
260,493,493,493,493,493,493,493,True
261,680,680,680,680,680,680,680,False
262,446,446,446,446,446,446,446,True
263,523,523,523,523,523,523,523,False
264,499,499,499,499,499,499,499,True
265,489,489,489,489,489,489,489,True
266,499,499,499,499,499,499,499,True
267,502,502,502,502,502,502,502,True
268,496,496,496,496,496,496,496,True
269,438,438,438,438,438,438,438,True
270,447,447,447,447,447,447,447,True
271,437,437,437,437,437,437,437,True
272,437,437,437,437,437,437,437,True
273,437,437,437,437,437,437,437,True
274,437,437,437,437,437,437,437,True
275,414,414,414,414,414,414,414,True
276,433,433,433,433,433,433,433,True
277,1138,1138,1138,1138,1138,1138,1138,False
278,480,480,480,480,480,480,480,True
279,514,514,514,514,514,514,514,False
280,188,188,188,188,188,188,188,True
281,215,215,215,215,215,215,215,True
282,485,485,485,485,485,485,485,True
283,407,407,407,407,407,407,407,True
284,980,980,980,980,980,980,980,False
285,117,117,117,117,117,117,117,True
286,320,320,320,320,320,320,320,True
287,724,724,724,724,724,724,724,False
288,1075,1075,1075,1075,1075,1075,1075,False
289,788,788,788,788,788,788,788,False
290,562,562,562,562,562,562,562,False
291,660,660,660,660,660,660,660,False
292,847,847,847,847,847,847,847,False
293,1173,1173,1173,1173,1173,1173,1173,False
294,578,578,578,578,578,578,578,False
295,565,565,565,565,565,565,565,False
296,595,595,595,595,595,595,595,False
297,558,558,558,558,558,558,558,False
298,568,568,568,568,568,568,568,False
