query_id,variant,nDCG@10_unjudged_zero,cNDCG@10
0,C0,0.6056906122838638,0.6056906122838638
1,C0,0.5255664792793981,0.5255664792793981
2,C0,1.0,1.0
3,C0,0.9069212362975007,0.9069212362975007
4,C0,0.3141486202593208,0.3965255762463672
5,C0,0.955830517697074,0.955830517697074
6,C0,0.0,0.789588715065108
7,C0,0.8013151345851657,0.8013151345851657
8,C0,1.0,1.0
9,C0,1.0,1.0
10,C0,1.0,1.0
11,C0,1.0,1.0
12,C0,0.7839911095312654,0.8546557236450505
13,C0,0.8454256604216017,1.0
14,C0,0.7716805143557649,0.7716805143557649
15,C0,0.7474427036679172,0.7474427036679173
16,C0,0.4331696421215045,0.470018260101859
17,C0,0.3900954117610807,0.3900954117610807
18,C0,1.0,1.0
19,C0,0.6325414799409712,0.8669479898642711
20,C0,0.024454640699786683,0.22328745018429327
21,C0,0.694355946562825,0.6943559465628248
22,C0,0.4759356544801049,0.5263486588232382
23,C0,1.0000000000000002,1.0
24,C0,0.49590239664330904,0.6110446309615652
25,C0,1.0,1.0
26,C0,0.9432379215722527,0.9432379215722527
27,C0,0.9510907186004267,0.9510907186004267
28,C0,1.0,1.0
29,C0,1.0,1.0
30,C0,0.7853663072074676,0.7853663072074676
31,C0,0.3533020279795251,0.6943559465628248
32,C0,0.4142557471140152,0.613816622381599
33,C0,0.6804119088111256,0.6804119088111256
34,C0,0.5630903721198446,0.833758197368034
35,C0,0.38224261473290666,0.38224261473290666
36,C0,0.6622095250083009,0.7729868713934952
37,C0,0.7204013334078678,0.7204013334078678
38,C0,1.0,1.0
39,C0,0.38559884598578353,0.38559884598578353
40,C0,0.5250842331427514,0.5250842331427514
41,C0,0.867129177606588,0.867129177606588
42,C0,0.6593007041766439,0.6593007041766438
43,C0,0.9510907186004265,0.9510907186004267
44,C0,0.5042639176717753,0.5263486588232382
45,C0,0.19245382546740947,0.4831089173485944
46,C0,0.6242849689678543,0.6242849689678542
47,C0,1.0000000000000002,1.0
48,C0,1.0,1.0
49,C0,0.0,1.0
50,C0,0.2704228332948074,0.533270021131663
51,C0,1.0,1.0
52,C0,1.0000000000000002,1.0
53,C0,1.0,1.0
54,C0,0.6307717583777013,0.7092503576048631
55,C0,1.0,1.0
56,C0,1.0,1.0
57,C0,0.9035800363421509,1.0
58,C0,0.20277230470652793,0.3333333333333333
59,C0,1.0,1.0
60,C0,0.6796024803261753,0.6796024803261753
61,C0,0.22923304007788126,0.6943559465628248
62,C0,0.8544608792907804,0.8544608792907805
63,C0,0.9510907186004267,0.9510907186004267
64,C0,0.4584660801557625,0.9490593244271374
65,C0,0.6738109341664468,0.6738109341664468
66,C0,1.0,1.0
67,C0,1.0,1.0
68,C0,0.761961618899397,0.7619616188993971
69,C0,0.38224261473290666,0.38224261473290666
70,C0,0.9999999999999999,1.0
71,C0,0.5731399412345528,0.5731399412345528
72,C0,0.9074250374176304,0.9074250374176304
73,C0,0.857980942822373,1.0
74,C0,0.7749166665119106,0.9658130974851912
75,C0,0.3900525573896238,0.5734654091600278
76,C0,0.24735079517903705,0.28438465999136453
77,C0,0.8259896754927477,0.8259896754927477
78,C0,0.5159958223394444,0.5159958223394444
79,C0,1.0,1.0
80,C0,0.5388259399358802,0.6101871780591609
81,C0,0.4487910888988174,0.44879108889881736
82,C0,0.2881048515362779,0.3333333333333333
83,C0,0.13886244387355456,1.0
84,C0,0.6943559465628248,0.6943559465628248
85,C0,0.36284762021041445,1.0
86,C0,0.6108563510886634,0.6108563510886634
87,C0,1.0000000000000002,1.0
88,C0,0.5974112569495053,0.6943559465628248
89,C0,0.6897293640837426,0.7542279640345069
90,C0,1.0,1.0
91,C0,0.434112485669856,0.434112485669856
92,C0,0.8643145546088338,1.0
93,C0,0.2070722204413549,0.3378919446876637
94,C0,0.5591227842996137,0.5591227842996137
95,C0,0.33333333333333337,0.3333333333333333
96,C0,0.92663607790064,0.92663607790064
97,C0,0.8871958738785232,0.8871958738785231
98,C0,1.0,1.0
99,C0,1.0000000000000002,1.0
100,C0,0.6738109341664469,0.6738109341664468
101,C0,0.4331696421215045,0.470018260101859
102,C0,1.0,1.0
103,C0,0.8358761963562928,0.8358761963562928
104,C0,0.6213642337716796,0.6678329028051815
105,C0,0.9363792118010482,1.0
106,C0,1.0,1.0
107,C0,0.3224300097455686,0.5263486588232382
108,C0,1.0,1.0
109,C0,1.0,1.0
110,C0,1.0000000000000002,1.0
111,C0,1.0,1.0
112,C0,1.0,1.0
113,C0,1.0,1.0
114,C0,0.7431286862216819,0.7431286862216819
115,C0,1.0,1.0
116,C0,1.0,1.0
117,C0,0.5359541790647431,0.5726361401144231
118,C0,0.85327215580128,0.8532721558012799
119,C0,0.9510907186004265,0.9510907186004267
120,C0,0.8311363972596455,0.8311363972596455
121,C0,1.0,1.0
122,C0,1.0,1.0
123,C0,0.6975776180954526,0.6975776180954526
124,C0,0.4406950585492932,0.4406950585492932
125,C0,0.746778342184579,0.746778342184579
