method,metric,variant,delta_vs_C0_pp,ci_low_pp,ci_high_pp
Labeled-ZeroShot,nDCG@10_unjudged_zero,C1,-0.23064143172877977,-0.9260360006242111,0.4440570275739927
Labeled-ZeroShot,nDCG@10_unjudged_zero,C2s1,-0.3150272297773141,-0.8930438127054093,0.2595919240455797
Labeled-ZeroShot,nDCG@10_unjudged_zero,C2s2,-0.5111071549041111,-1.1309248860098873,0.10826743593920003
Labeled-ZeroShot,nDCG@10_unjudged_zero,C2s3,0.04232372983423605,-0.49390284719882593,0.5919181496837894
Labeled-ZeroShot,nDCG@10_unjudged_zero,C2s4,-0.17771696410598486,-0.7429037681552021,0.37655957671422363
Labeled-ZeroShot,nDCG@10_unjudged_zero,C2s5,0.03512657647769833,-0.5150677564060808,0.602254834344901
Labeled-ZeroShot,cNDCG@10,C1,-0.42099306450943447,-0.9355371223472101,0.09550350974941055
Labeled-ZeroShot,cNDCG@10,C2s1,-0.16185366710892934,-0.5913943770178067,0.2616711730367411
Labeled-ZeroShot,cNDCG@10,C2s2,-0.1559303855491953,-0.5468202151501674,0.22997542653669487
Labeled-ZeroShot,cNDCG@10,C2s3,0.14371209358430803,-0.24559933190572703,0.5263846063496181
Labeled-ZeroShot,cNDCG@10,C2s4,-0.02954496111734127,-0.4373482896376015,0.37162182514933867
Labeled-ZeroShot,cNDCG@10,C2s5,-0.06166700851322468,-0.5072937521619474,0.3885725876631872
Standard-FT,nDCG@10_unjudged_zero,C1,0.014895803847465009,-0.5019578005351976,0.5376415115490641
Standard-FT,nDCG@10_unjudged_zero,C2s1,0.07898679676559481,-0.3326977901454288,0.49749103278180407
Standard-FT,nDCG@10_unjudged_zero,C2s2,-0.12819894594869927,-0.5857570647480589,0.34658159112947423
Standard-FT,nDCG@10_unjudged_zero,C2s3,-0.3658511287642158,-0.7701202764581137,0.03837442671563344
Standard-FT,nDCG@10_unjudged_zero,C2s4,-0.09616444001681951,-0.5528491779806963,0.3612132253216738
Standard-FT,nDCG@10_unjudged_zero,C2s5,-0.16382405885618154,-0.5537176445339286,0.2336022993419996
Standard-FT,cNDCG@10,C1,-0.023265085692809162,-0.39791058819647246,0.33415348994527944
Standard-FT,cNDCG@10,C2s1,-0.05631992136729021,-0.3645609344336585,0.2711079504040587
Standard-FT,cNDCG@10,C2s2,-0.09735927159558137,-0.41688638722819626,0.21834036258609174
Standard-FT,cNDCG@10,C2s3,-0.2491429829065295,-0.5403064114364133,0.035437585986095414
Standard-FT,cNDCG@10,C2s4,-0.22456694579635608,-0.555298051438337,0.09742674884909437
Standard-FT,cNDCG@10,C2s5,-0.06001223981332125,-0.3419647396440425,0.21757045706136455
Adapted-PI-FT,nDCG@10_unjudged_zero,C1,-0.09483384793307424,-0.7567526890752067,0.584413759237454
Adapted-PI-FT,nDCG@10_unjudged_zero,C2s1,-0.08766111084190467,-0.6442351789905576,0.47118175592500133
Adapted-PI-FT,nDCG@10_unjudged_zero,C2s2,-0.03172661366628429,-0.7256750019359424,0.6739625151197782
Adapted-PI-FT,nDCG@10_unjudged_zero,C2s3,-0.23172344511345647,-0.8679019413221193,0.3932488509767721
Adapted-PI-FT,nDCG@10_unjudged_zero,C2s4,-0.09122118070228254,-0.6825782340636242,0.49574759591109135
Adapted-PI-FT,nDCG@10_unjudged_zero,C2s5,0.009083994386100816,-0.6036280376317316,0.6283236430397515
Adapted-PI-FT,cNDCG@10,C1,-0.1589741812538335,-0.6319865577157877,0.28998173301033064
Adapted-PI-FT,cNDCG@10,C2s1,0.03935066193480605,-0.3839337189898233,0.4620844457664524
Adapted-PI-FT,cNDCG@10,C2s2,-0.08356099835065464,-0.536504868887617,0.36341663746632397
Adapted-PI-FT,cNDCG@10,C2s3,-0.04373321259499447,-0.5027444150008202,0.406052047863197
Adapted-PI-FT,cNDCG@10,C2s4,-0.19843090485967907,-0.6212185255720272,0.2076791189064706
Adapted-PI-FT,cNDCG@10,C2s5,-0.22157980713983305,-0.6988290814666535,0.24514585056007931
