comparison,mode,metric,delta_pp,ci_low_pp,ci_high_pp
Adapted-PI-FT minus Standard-FT,catalog,Recall@20,-0.42502467699547997,-1.2422970195389107,0.33095663964140526
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,Recall@20,1.161898270643794,-0.18762348915314553,2.654031952077098
Adapted-PI-FT minus Standard-FT,catalog,Recall@100,-0.12230256390005602,-1.0858563958478027,0.8293154714384845
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,Recall@100,2.023850799643749,0.01767775415429894,4.20709882156855
Adapted-PI-FT minus Standard-FT,catalog,VI@20,4.89875572544146,3.5265998965821304,6.369911915586248
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,VI@20,4.34765510058865,1.8549958770631945,6.841109535257041
Adapted-PI-FT minus Standard-FT,catalog,VI@100,4.721387928400677,3.1967054243003155,6.358089504426238
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,VI@100,4.426418211420284,1.9068628223573452,7.016171753500608
Adapted-PI-FT minus Standard-FT,catalog,Robust@100,-2.6830158394222536,-4.1375924377257896,-1.4388220982400712
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,Robust@100,-0.023106781568523634,-2.126203004399792,2.2131563802379564
Adapted-PI-FT minus Standard-FT,catalog,Never@100,-2.0383720889784227,-3.4379912546412594,-0.6773633074572222
Adapted-PI-FT minus Standard-FT,catalog_fully_fitting,Never@100,-4.403311429851761,-7.148778682359942,-1.8514005677183643
Standard-FT minus Labeled-ZeroShot,catalog,Recall@20,-1.9733490672221847,-3.6085757952261925,-0.38754314685271796
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,Recall@20,2.334272090361274,0.09022731560194493,4.650027042667811
Standard-FT minus Labeled-ZeroShot,catalog,Recall@100,-1.4538143087870241,-3.2717815932279266,0.3689619868980367
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,Recall@100,3.35504046736371,0.3653407665242559,6.258179584666185
Standard-FT minus Labeled-ZeroShot,catalog,VI@20,-3.923335226621586,-5.395271114486873,-2.576975889840831
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,VI@20,-2.9701473292325598,-5.773699690075575,-0.20812775531097613
Standard-FT minus Labeled-ZeroShot,catalog,VI@100,-3.528311870905583,-4.8704286419824845,-2.2573677427942016
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,VI@100,-2.9644460877903964,-5.779925489084056,-0.24453974792687347
Standard-FT minus Labeled-ZeroShot,catalog,Robust@100,0.5268931879512698,-1.425827466079482,2.5109626952349156
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,Robust@100,5.0646289848279205,1.7039393591334817,8.469403058831904
Standard-FT minus Labeled-ZeroShot,catalog,Never@100,3.0014186829543132,1.1326935533623284,4.8856266478027095
Standard-FT minus Labeled-ZeroShot,catalog_fully_fitting,Never@100,-2.1001828970375236,-5.270255858828035,1.0830647776465685
Adapted-PI-FT minus Labeled-ZeroShot,catalog,Recall@20,-2.3983737442176647,-3.982189186644557,-0.914848884384551
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,Recall@20,3.496170361005068,1.0420546279257032,5.947095542059471
Adapted-PI-FT minus Labeled-ZeroShot,catalog,Recall@100,-1.5761168726870802,-3.428806756675008,0.25526161497227423
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,Recall@100,5.37889126700746,2.290199178858529,8.52621921442621
Adapted-PI-FT minus Labeled-ZeroShot,catalog,VI@20,0.9754204988198744,-0.8508520679211121,2.789515725552348
Adapted-PI-FT minus Labeled-ZeroShot,catalog_fully_fitting,VI@20,1.3775077713560906,-1.4149132877695645,4.026485738477831
