Method,Reference,Seed,Split,Mode,Metric,Queries,Delta_pp,CI_low_pp,CI_high_pp,Draws,Bootstrap_seed,Multiplicity_correction
C4,Set-Attention,seed_mean,dev,catalog,Recall@20,17,0.7689350249903887,0.0,2.191464821222608,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,Recall@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,cNDCG@10,24,-0.17947981152140355,-0.6164948409920032,0.06713123930950313,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,VI@20,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,VI@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,Robust@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,Never@100,17,-0.23068050749711666,-0.69204152249135,0.0,10000,20260963,none
C4,Set-Attention,seed_mean,dev,catalog,worst_schedule@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,Recall@20,17,-4.110147716494352,-13.260946752344818,2.6028922140252018,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,Recall@100,17,1.5778060904668767,-3.8422847399829507,6.241890138408303,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,cNDCG@10,24,2.785725001692853,-1.7435792147995344,7.875347830439407,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,VI@20,17,0.0,0.0,0.0,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,VI@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,Robust@100,17,1.5778060904668767,-3.8422847399829507,6.241890138408303,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,Never@100,17,-1.5778060904668785,-6.241890138408306,3.8422847399829494,10000,20260963,none
C4,Canonical,seed_mean,dev,catalog,worst_schedule@100,17,1.5778060904668767,-3.8422847399829507,6.241890138408303,10000,20260963,none
C4,Original,seed_mean,dev,catalog,Recall@20,17,-4.055198861419501,-12.619159071004596,2.232729659434174,10000,20260963,none
C4,Original,seed_mean,dev,catalog,Recall@100,17,1.9936071826372506,-1.5546111861645073,5.503843426257463,10000,20260963,none
C4,Original,seed_mean,dev,catalog,cNDCG@10,24,3.9109879396804414,-0.25709158503618174,8.765307825290037,10000,20260963,none
C4,Original,seed_mean,dev,catalog,VI@20,17,-12.02300075790542,-21.302292937185225,-5.2915131259895105,10000,20260963,none
C4,Original,seed_mean,dev,catalog,VI@100,17,-12.223102433704357,-19.771842010911662,-5.544878439784464,10000,20260963,none
C4,Original,seed_mean,dev,catalog,Robust@100,17,8.531599348944487,3.4775991392349366,14.22867790811339,10000,20260963,none
C4,Original,seed_mean,dev,catalog,Never@100,17,3.6915030847598658,-0.037394891542955624,8.679406167870805,10000,20260963,none
C4,Original,seed_mean,dev,catalog,worst_schedule@100,17,5.8459282826052394,2.333539098652977,9.936951103445779,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,Recall@20,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,Recall@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,cNDCG@10,24,6.938893903907228e-16,-9.25185853854297e-16,2.312964634635743e-15,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,VI@20,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,VI@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,Robust@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,Never@100,17,0.0,0.0,0.0,10000,20260963,none
C4,Set-Mean,seed_mean,dev,catalog,worst_schedule@100,17,0.0,0.0,0.0,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,Recall@20,17,0.7689350249903887,0.0,2.191464821222608,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,Recall@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,cNDCG@10,24,-0.17947981152140355,-0.6164948409920032,0.06713123930950313,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,VI@20,17,0.0,0.0,0.0,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,VI@100,17,0.0,0.0,0.0,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,Robust@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,Never@100,17,-0.23068050749711666,-0.69204152249135,0.0,10000,20260963,none
C1,Set-Attention,seed_mean,dev,catalog,worst_schedule@100,17,0.23068050749711633,0.0,0.692041522491349,10000,20260963,none
C2,Set-Attention,seed_mean,dev,catalog,Recall@20,17,0.4687150484079551,0.07659313725490194,1.085400938450247,10000,20260963,none
C2,Set-Attention,seed_mean,dev,catalog,Recall@100,17,0.06125457838894528,-0.22733402001201777,0.44311187183673956,10000,20260963,none
C2,Set-Attention,seed_mean,dev,catalog,cNDCG@10,24,-0.6063232627735737,-1.1675509105218578,-0.14557995650672298,10000,20260963,none
