method,group,lr,seed,epoch,train_loss,gradient_mean,gradient_max,sample_entropy,sample_max_weight,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,cNDCG@10,invariance_max_L2,selected_configuration,selected_epoch
C1,C1_lr0.0001,0.0001,42,0,,0.0,0.0,3.891825437545776,0.0311156660318374,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836966,79.81459316163033,87.84946872666445,1.396089146510349e-07,False,False
C1,C1_lr0.0001,0.0001,43,0,,0.0,0.0,3.891825437545776,0.0311156660318374,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836966,79.81459316163033,87.84946872666445,1.396089146510349e-07,False,False
C1,C1_lr0.0001,0.0001,44,0,,0.0,0.0,3.891825437545776,0.0311156660318374,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836966,79.81459316163033,87.84946872666445,1.396089146510349e-07,False,False
C1,C1_lr0.0001,0.0001,42,1,0.2537401027300141,0.0031756142828574,0.0126709789037704,3.887450218200684,0.0365551188588142,50.57653864028404,79.69925290788179,0.0,0.0,79.69925290788179,20.30074709211823,79.69925290788179,88.03987270530415,1.2426284001776366e-07,False,False
C1,C1_lr0.0001,0.0001,43,1,0.2527876531310153,0.0032213547332723,0.0183163695037364,3.8871874809265137,0.03641989082098,50.57653864028404,79.69925290788179,0.0,0.0,79.69925290788179,20.30074709211823,79.69925290788179,88.03987270530415,1.4605390674660157e-07,False,False
C1,C1_lr0.0001,0.0001,44,1,0.2501124998159481,0.0031179104158637,0.0124338939785957,3.886887311935425,0.0363831967115402,50.57653864028404,79.69925290788179,0.0,0.0,79.69925290788179,20.30074709211823,79.69925290788179,88.03987270530415,1.1564925017637508e-07,False,False
C1,C1_lr0.0001,0.0001,42,2,0.2485310403686581,0.0117751046680937,0.0391795225441455,3.736000061035156,0.0747264772653579,51.87815340383652,79.67528897288791,0.0,0.0,79.67528897288791,20.32471102711209,79.67528897288791,86.9994712764841,1.384209014076987e-07,False,True
C1,C1_lr0.0001,0.0001,43,2,0.2482288175008513,0.0120490317688866,0.0421686694025993,3.718493223190308,0.0779193043708801,51.87815340383652,79.72124485524085,0.0,0.0,79.72124485524085,20.27875514475915,79.72124485524085,86.92362076733558,1.1281805711860217e-07,False,True
C1,C1_lr0.0001,0.0001,44,2,0.2463394809852946,0.0106660201400342,0.0327903777360916,3.758937358856201,0.0692868083715438,51.87815340383652,79.75372034543692,0.0,0.0,79.75372034543692,20.24627965456307,79.75372034543692,87.3713031647155,1.2986907904632974e-07,False,True
C1,C1_lr0.0001,0.0001,42,3,0.2390979867654316,0.017623933085071,0.0535595268011093,3.3093841075897217,0.1646831333637237,51.19135462015193,77.80503914792773,0.0,0.0,77.80503914792773,22.19496085207226,77.80503914792773,86.21488717167372,1.1094225271790493e-07,False,False
C1,C1_lr0.0001,0.0001,43,3,0.2368972098285501,0.0175913053248994,0.0614819675683975,3.316484212875366,0.1595990061759948,51.19135462015193,79.28910777537872,0.0,0.0,79.28910777537872,20.71089222462128,79.28910777537872,86.18476278107056,1.1158315516013317e-07,False,False
C1,C1_lr0.0001,0.0001,44,3,0.2416965801720366,0.0181429759832099,0.0621000602841377,3.328768253326416,0.1568223237991333,50.328183264653205,79.1438314830436,0.0,0.0,79.1438314830436,20.8561685169564,79.1438314830436,85.89811245839346,1.4210938559244826e-07,False,False
C1,C1_lr0.0001,0.0001,42,4,0.2295902895204948,0.0213554206861634,0.0660914704203605,2.823223829269409,0.2755180299282074,50.06756671856954,76.82425706236624,0.0,0.0,76.82425706236624,23.175742937633757,76.82425706236624,85.48244872429223,1.144481132087094e-07,False,False
