Group,seed,epoch,query_id,presentations,weight_sum,unique_higher,unique_lower,Exact_Irrelevant,Exact_Partial,Partial_Irrelevant
C1_lr0.0001,42,1,8,64,42.5,43,33,21,22,21
C1_lr0.0001,42,1,12,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,15,64,43.0,23,36,22,21,21
C1_lr0.0001,42,1,18,64,43.0,43,43,22,21,21
C1_lr0.0001,42,1,21,64,32.0,1,64,0,64,0
C1_lr0.0001,42,1,23,64,32.0,64,38,0,0,64
C1_lr0.0001,42,1,24,64,42.5,43,43,21,22,21
C1_lr0.0001,42,1,25,64,42.5,25,15,21,21,22
C1_lr0.0001,42,1,29,64,64.0,64,64,64,0,0
C1_lr0.0001,42,1,32,64,42.5,25,43,21,21,22
C1_lr0.0001,42,1,33,64,42.5,43,43,21,22,21
C1_lr0.0001,42,1,34,64,42.5,43,26,21,21,22
C1_lr0.0001,42,1,43,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,56,64,32.0,64,64,0,0,64
C1_lr0.0001,42,1,57,64,42.5,23,43,21,21,22
C1_lr0.0001,42,1,58,64,43.0,43,23,22,21,21
C1_lr0.0001,42,1,61,64,32.0,1,64,0,64,0
C1_lr0.0001,42,1,80,64,42.5,43,23,21,21,22
C1_lr0.0001,42,1,100,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,103,64,43.0,43,22,22,21,21
C1_lr0.0001,42,1,106,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,113,64,43.0,43,43,22,21,21
C1_lr0.0001,42,1,116,64,32.0,64,14,0,0,64
C1_lr0.0001,42,1,118,64,32.0,64,64,0,64,0
C1_lr0.0001,42,1,133,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,134,64,42.5,25,43,21,21,22
C1_lr0.0001,42,1,135,64,42.5,32,43,21,21,22
C1_lr0.0001,42,1,149,64,43.0,36,18,22,21,21
C1_lr0.0001,42,1,156,64,43.0,40,43,22,21,21
C1_lr0.0001,42,1,162,64,43.0,43,43,22,21,21
C1_lr0.0001,42,1,181,64,32.0,64,18,0,64,0
C1_lr0.0001,42,1,205,64,32.0,12,64,0,64,0
C1_lr0.0001,42,1,224,64,32.0,22,51,0,64,0
C1_lr0.0001,42,1,228,64,42.5,24,25,21,21,22
C1_lr0.0001,42,1,256,64,43.0,43,32,22,21,21
C1_lr0.0001,42,1,258,64,43.0,43,22,22,21,21
C1_lr0.0001,42,1,261,64,32.0,64,50,0,64,0
C1_lr0.0001,42,1,262,64,42.5,43,24,21,22,21
C1_lr0.0001,42,1,280,64,32.0,64,10,0,0,64
C1_lr0.0001,42,1,283,64,42.5,22,31,21,22,21
C1_lr0.0001,42,1,287,64,43.0,43,43,22,21,21
C1_lr0.0001,42,1,293,64,42.5,34,43,21,22,21
C1_lr0.0001,42,1,309,64,32.0,26,46,0,0,64
C1_lr0.0001,42,1,312,64,32.0,10,64,0,64,0
C1_lr0.0001,42,1,314,64,42.5,33,25,21,21,22
C1_lr0.0001,42,1,318,64,42.5,23,37,21,21,22
C1_lr0.0001,42,1,336,64,42.5,23,38,21,21,22
C1_lr0.0001,42,1,338,64,42.5,23,43,21,21,22
C1_lr0.0001,42,1,345,64,32.0,64,64,0,0,64
C1_lr0.0001,42,1,361,64,64.0,25,64,64,0,0
C1_lr0.0001,42,1,363,64,32.0,1,64,0,64,0
C1_lr0.0001,42,1,391,64,32.0,8,64,0,64,0
C1_lr0.0001,42,1,393,64,32.0,64,21,0,0,64
C1_lr0.0001,42,1,395,64,32.0,16,58,0,0,64
C1_lr0.0001,42,1,399,64,32.0,64,17,0,0,64
C1_lr0.0001,42,1,401,64,42.5,40,22,21,21,22
C1_lr0.0001,42,1,411,64,43.0,43,43,22,21,21
C1_lr0.0001,42,1,413,64,43.0,22,43,22,21,21
C1_lr0.0001,42,1,414,64,42.5,43,43,21,22,21
C1_lr0.0001,42,1,430,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,449,64,42.5,22,8,21,21,22
C1_lr0.0001,42,1,462,64,32.0,1,1,0,0,64
C1_lr0.0001,42,1,463,64,42.5,43,43,21,21,22
C1_lr0.0001,42,1,474,64,32.0,64,64,0,0,64
C1_lr0.0001,42,1,485,64,32.0,64,64,0,0,64
C1_lr0.0001,42,1,487,64,43.0,23,43,22,21,21
C1_lr0.0001,43,1,8,64,42.5,43,32,21,21,22
C1_lr0.0001,43,1,12,64,42.5,43,43,21,22,21
C1_lr0.0001,43,1,15,64,43.0,23,36,22,21,21
C1_lr0.0001,43,1,18,64,43.0,43,43,22,21,21
C1_lr0.0001,43,1,21,64,32.0,1,64,0,64,0
C1_lr0.0001,43,1,23,64,32.0,64,38,0,0,64
C1_lr0.0001,43,1,24,64,42.5,43,43,21,22,21
C1_lr0.0001,43,1,25,64,43.0,26,15,22,21,21
C1_lr0.0001,43,1,29,64,64.0,64,64,64,0,0
C1_lr0.0001,43,1,32,64,42.5,25,43,21,21,22
C1_lr0.0001,43,1,33,64,43.0,43,43,22,21,21
C1_lr0.0001,43,1,34,64,42.5,43,26,21,21,22
C1_lr0.0001,43,1,43,64,43.0,43,43,22,21,21
C1_lr0.0001,43,1,56,64,32.0,64,64,0,0,64
C1_lr0.0001,43,1,57,64,42.5,22,43,21,22,21
C1_lr0.0001,43,1,58,64,42.5,43,24,21,22,21
C1_lr0.0001,43,1,61,64,32.0,1,64,0,64,0
C1_lr0.0001,43,1,80,64,42.5,43,23,21,21,22
C1_lr0.0001,43,1,100,64,42.5,43,43,21,22,21
C1_lr0.0001,43,1,103,64,43.0,43,22,22,21,21
C1_lr0.0001,43,1,106,64,42.5,43,43,21,22,21
C1_lr0.0001,43,1,113,64,42.5,43,43,21,21,22
C1_lr0.0001,43,1,116,64,32.0,64,14,0,0,64
C1_lr0.0001,43,1,118,64,32.0,64,64,0,64,0
C1_lr0.0001,43,1,133,64,42.5,43,43,21,21,22
C1_lr0.0001,43,1,134,64,42.5,25,43,21,21,22
C1_lr0.0001,43,1,135,64,42.5,31,43,21,22,21
C1_lr0.0001,43,1,149,64,42.5,35,18,21,21,22
C1_lr0.0001,43,1,156,64,42.5,41,43,21,21,22
C1_lr0.0001,43,1,162,64,43.0,43,43,22,21,21
C1_lr0.0001,43,1,181,64,32.0,64,18,0,64,0
