Method,Seed,field_key,occurrences,weight_sum,mean_weight
C3,42,<UNK-native>,50501,920.5512988365954,0.0182283776328507
C3,42,a28degreelatch,46,0.843064927496016,0.0183274984238264
C3,42,aafacertified,19,0.2866154201328754,0.0150850221122566
C3,42,abrasionratingdoublerubs,13,0.4363706838339567,0.0335669756795351
C3,42,abstractandfractals,608,7.587162780575454,0.0124788861522622
C3,42,acadapterincluded,6,0.090165676549077,0.0150276127581795
C3,42,accentcolor,50,1.6656446475535631,0.0333128929510712
C3,42,accentfinish,1,0.0134008945897221,0.0134008945897221
C3,42,accentmaterial,12,0.4716851860284805,0.0393070988357067
C3,42,accentpillow,602,7.143117647618055,0.0118656439329203
C3,42,accentpillowheight-toptobottom,120,1.0796892745420337,0.0089974106211836
C3,42,accentpillowsincluded,22,0.2335046464577317,0.0106138475662605
C3,42,accentpillowthickness-fronttoback,83,0.6542734913527966,0.0078828131488288
C3,42,accentpillowwidth-sidetoside,114,1.0435605295933783,0.0091540397332752
C3,42,accessdoor,76,1.1108786659315228,0.0146168245517305
C3,42,accessdoordepth-fronttoback,1,0.0154762919992208,0.0154762919992208
C3,42,accessdoorheight,1,0.0166296046227216,0.0166296046227216
C3,42,accessdoorincluded,1,0.0142580401152372,0.0142580401152372
C3,42,accessdoorwidth-sidetoside,1,0.014482345432043,0.014482345432043
C3,42,accessoriesincluded,120,3.311731400899589,0.0275977616741632
C3,42,accessoriestoolsincluded,10,0.7641756981611252,0.0764175698161125
C3,42,accessorybagincluded,2,0.1013146452605724,0.0506573226302862
C3,42,accessorydetails,1,0.0189507938921451,0.0189507938921451
C3,42,accessoryincluded,50,0.8562488434836268,0.0171249768696725
C3,42,accessorytrayincluded,183,4.394102924503386,0.0240114913907288
C3,42,accessorytype,58,5.185243591666222,0.0894007515804521
C3,42,accommodatesfireplace,200,1.9066715403459968,0.0095333577017299
C3,42,accomodatesroddiameter,36,0.6486269775778055,0.0180174160438279
C3,42,acidfree,5,0.138794369995594,0.0277588739991188
C3,42,acousticallytransparent,105,2.3714377218857408,0.0225851211608165
C3,42,actflammabilityguidelinescompliant,8,0.21040740609169,0.0263009257614612
C3,42,activationtechnology,44,0.6892125019803643,0.0156639204995537
C3,42,activationtechnologyold,44,0.7880668537691236,0.0179106103129346
C3,42,adacompliant,7091,101.11594567401336,0.0142597582391783
C3,42,adaptertype,5,0.075537015683949,0.0151074031367897
C3,42,adaptor,2,0.0766881331801414,0.0383440665900707
C3,42,additionalbeverages,12,0.3289555534720421,0.0274129627893368
C3,42,additionaldoorkitincluded,40,0.6358861057087779,0.0158971526427194
C3,42,additionalfeatures,8,0.1776659525930881,0.022208244074136
C3,42,additionalframematerialdetails,605,8.162782214116305,0.0134922020068038
C3,42,additionalhardwarerequirednotincluded,1,0.0085611250251531,0.0085611250251531
C3,42,additionalintendeduseforchild,1368,12.902834478300065,0.0094318965484649
C3,42,additionalitem,132,1.509679686743766,0.0114369673238164
C3,42,additionalitemlength-headtotoe,5,0.0433480339124798,0.0086696067824959
C3,42,additionalitems,80,2.2942857490852475,0.0286785718635655
C3,42,additionalitemsincluded,285,4.235791785642505,0.0148624273180438
C3,42,additionalitemwidth-sidetoside,5,0.0464280014857649,0.0092856002971529
C3,42,additionalmaterial,2,0.0507724098861217,0.0253862049430608
C3,42,additionalmaterialdetails,20,0.6828430704772472,0.0341421535238623
C3,42,additionalmaterials,541,14.81941981986165,0.0273926429202618
C3,42,additionalpartnumber,2,0.0559295732527971,0.0279647866263985
C3,42,additionalpartsrequired,1435,28.32196264574304,0.0197365593350125
C3,42,additionalpartsrequired-inactive,15,0.1440047426149249,0.0096003161743283
C3,42,additionalpicnicitemsincluded,11,0.1569333625957369,0.0142666693268851
C3,42,additionalpieces,190,4.533135114237666,0.0238586058644087
C3,42,additionalpiecesincluded,49,1.1279199803248048,0.0230187751086694
C3,42,additionalpowertoolsrequired,1,0.0102534368634223,0.0102534368634223
C3,42,additionaltoolsneededforinstallation,17,0.2851992854848504,0.0167764285579323
C3,42,additionaltoolsrequired,149,2.7882689777761698,0.0187132146159474
C3,42,additionaltoolsrequired ( not included ),596,8.08634875761345,0.0135676992577406
C3,42,additionaltoolsrequirednotincluded,10161,128.07534279953688,0.0126046002164685
C3,42,addressplaqueorsignincluded,34,0.4452109169214964,0.0130944387329851
C3,42,adhesivetabsincluded,1,0.0103222830221056,0.0103222830221056
C3,42,adirondackback,9,0.2179793287068605,0.0242199254118733
C3,42,adjustability,115,1.583307305816561,0.0137678896157961
C3,42,adjustabilitytype,7,0.1441753329709172,0.0205964761387024
C3,42,adjustable,1414,38.90671198628843,0.0275153550115194
C3,42,adjustableangle,16,0.3116677710786462,0.0194792356924153
C3,42,adjustablearms,5,0.0634488891810178,0.0126897778362035
C3,42,adjustableback,3,0.0486067943274974,0.0162022647758324
C3,42,adjustablebase,1,0.025777256116271,0.025777256116271
C3,42,adjustablebaseincluded,293,3.773242492694408,0.0128779607259194
C3,42,adjustablebassortreble,1,0.0256527289748191,0.0256527289748191
C3,42,adjustablebed,1311,15.046311294194313,0.0114769727644502
C3,42,adjustablebodyjets,2,0.040808917954564,0.020404458977282
C3,42,adjustablebottleracks,40,1.191446378827095,0.0297861594706773
C3,42,adjustablebrightness,2,0.0333786513656377,0.0166893256828188
C3,42,adjustablechain,6,0.140414347872138,0.023402391312023
C3,42,adjustablechairbackheight,628,7.407197302673012,0.011794900163492
C3,42,adjustablecoarseness,1,0.0577633343636989,0.0577633343636989
C3,42,adjustablecolortemperature,125,1.652449821121991,0.0132195985689759
C3,42,adjustableconfigurable,54,2.2558450624346733,0.041774908563605
C3,42,adjustabledepth,3,0.1001889090985059,0.0333963030328353
C3,42,adjustabledetectionzones,3,0.051670485176146,0.0172234950587153
C3,42,adjustabledividers,1,0.0387824140489101,0.0387824140489101
C3,42,adjustabledoorstorage,30,0.3722002254799008,0.0124066741826633
C3,42,adjustabledrawerdividers,4,0.0848095044493675,0.0212023761123418
C3,42,adjustableextension,417,7.843894838355482,0.0188102993725551
C3,42,adjustableexteriorshelves,193,2.295520822983235,0.0118938902745245
C3,42,adjustablefit,38,1.3557527046650648,0.0356777027543438
C3,42,adjustableflame,112,1.5654772608540952,0.0139774755433401
C3,42,adjustableflamesize,2,0.0250257132574915,0.0125128566287457
C3,42,adjustableflowrate,198,5.345520542934537,0.0269975784996693
C3,42,adjustablefootrest,21,0.2971272869035601,0.014148918423979
C3,42,adjustablegrateheight,3,0.0410650372505188,0.0136883457501729
C3,42,adjustablehangerbars,6,0.1380624938756227,0.0230104156459371
C3,42,adjustablehanginglength,779,14.57235858263448,0.0187064936875923
C3,42,adjustablehardness,2,0.0138700483366847,0.0069350241683423
C3,42,adjustableheadboard,1016,11.106450203806162,0.0109315454761871
C3,42,adjustableheadrest,888,10.485778672620654,0.0118083093160142
C3,42,adjustableheight,3311,50.10085610719398,0.0151316388121999
C3,42,adjustableheightincrements,3,0.048746864311397,0.0162489547704656
C3,42,adjustableheightoptions,1,0.0196047648787498,0.0196047648787498
C3,42,adjustableheightsettings,2,0.0643838234245777,0.0321919117122888
C3,42,adjustableheightshelves,77,1.6148629439994693,0.0209722460259671
C3,42,adjustableheightstool,36,1.024469232186675,0.028457478671852
C3,42,adjustablehumidistat,1,0.0370778776705265,0.0370778776705265
C3,42,adjustableinteriorshelves,414,8.540233761072159,0.0206285839639424
C3,42,adjustablejets,1,0.0130124576389789,0.0130124576389789
C3,42,adjustablelamphead,8,0.1813375875353813,0.0226671984419226
C3,42,adjustablelegheight,27,0.4453890360891819,0.0164958902255252
C3,42,adjustablelegs,8,0.1940558571368456,0.0242569821421057
C3,42,adjustablelengthrod,88,1.6455252189189196,0.0186991502149877
C3,42,adjustablelevelers,118,1.9433407937176528,0.0164689897772682
C3,42,adjustablelevelersincluded,7,0.110524371266365,0.015789195895195
C3,42,adjustablelightbeam,68,1.2575508123263717,0.0184933942989172
C3,42,adjustablelightinglevels,78,1.4573414819315076,0.018683865152968
C3,42,adjustablelumbar,993,19.39977714419365,0.0195365328743138
C3,42,adjustablelumbarsupport,114,1.344649645499885,0.0117951723289463
C3,42,adjustablemattressheight,3,0.0455611757934093,0.0151870585978031
C3,42,adjustablemirror,18,0.3483565170317888,0.0193531398350993
C3,42,adjustablerecline,96,2.4073831038549542,0.0250769073318224
C3,42,adjustableseatdepth,365,3.5481619308702648,0.0097209915914253
C3,42,adjustableseatheight,717,8.999097785912454,0.0125510429371163
C3,42,adjustableshelfheight,97,1.70110955927521,0.0175372119512908
C3,42,adjustableshelves,2139,40.60480347368866,0.0189830778278114
C3,42,adjustableshelvesbaskets,45,2.529532168060541,0.0562118259569009
C3,42,adjustableshelving,434,6.131617416162044,0.0141281507284839
C3,42,adjustableshelvingdetails,1,0.0596942752599716,0.0596942752599716
C3,42,adjustableshowercurtainrod,5,0.2457027286291122,0.0491405457258224
C3,42,adjustablesize,47,1.3326447512954471,0.0283541436445839
C3,42,adjustableslicingthickness,1,0.1051759719848632,0.1051759719848632
C3,42,adjustablespraypattern,207,4.608885060995817,0.022265145222202
C3,42,adjustablestrap,1,0.0232358574867248,0.0232358574867248
C3,42,adjustablestraps,24,1.5850040074437857,0.066041833643491
C3,42,adjustableswivelhooks,55,1.9859914630651476,0.0361089356920935
C3,42,adjustabletableheight,174,2.336892427876592,0.0134304162521643
C3,42,adjustabletableincluded,224,1.799391004256904,0.0080329955547183
C3,42,adjustabletemperature,88,1.294222489465028,0.0147070737439207
