Model,Sample_max_L2,Sample_mean_L2,Full_max_L2,Full_mean_L2,Full_max_cosine_difference,Repeated_forward_digest_matches,Changed_exact_ranks,Regenerated_VI20,Regenerated_VI100
C1_s42,1.0632448521619153e-07,4.5206238752371064e-08,1.6833844540542486e-07,5.7338333192547e-08,7.327471962526033e-15,6,92,0.008658008658008658,0.0
C1_s43,1.333715857754214e-07,4.4784091102201273e-08,1.7001369201352645e-07,5.736638009068429e-08,6.8833827526759706e-15,6,77,0.0,0.0
C1_s44,1.516384315891628e-07,4.6695706856780816e-08,1.5617879967066983e-07,5.7361840906840676e-08,6.8833827526759706e-15,6,123,0.0,0.0
C2_s42,1.1665126464777131e-07,4.834490496818944e-08,1.637240103491422e-07,6.056303665976277e-08,6.439293542825908e-15,6,128,0.0,0.0
C2_s43,1.1245677455917757e-07,4.918756957295045e-08,1.604984873893045e-07,6.052521979900878e-08,6.661338147750939e-15,6,119,0.0,0.0
C2_s44,1.2040848673677829e-07,4.912981310667419e-08,1.6546007941542484e-07,6.044757405732071e-08,6.8833827526759706e-15,6,93,0.0,0.0
C3_s42,1.27387735915363e-07,4.982688750487796e-08,1.6830551885504974e-07,6.053736593495766e-08,6.217248937900877e-15,6,152,0.0,0.0
C3_s43,1.0937011296618948e-07,4.8392184481826916e-08,1.7379338146383816e-07,6.040982765872134e-08,6.439293542825908e-15,6,114,0.0,0.0
C3_s44,1.459894463096134e-07,4.98841608020939e-08,1.798376558781456e-07,6.039677617290333e-08,6.772360450213455e-15,6,99,0.0,0.0
C4_s42,1.201201200728974e-07,4.438360079461745e-08,1.6461390828226286e-07,5.731141191252694e-08,6.217248937900877e-15,6,91,0.0,0.0
C4_s43,1.1769304819608806e-07,4.437789158373562e-08,1.6546188419397367e-07,5.735195962586204e-08,6.661338147750939e-15,6,94,0.0,0.0
C4_s44,1.2838819429816795e-07,4.478167525689969e-08,1.578483193043212e-07,5.734468485248575e-08,6.439293542825908e-15,6,168,0.0,0.0
