Method,Seed,Split,Subset,Pairs,Queries,Recall100,Delta_R100_vs_SetAttention,Robust100,Never100
C1,42,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C1,43,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C1,44,dev,fully_fitting,285,11,78.9758991008991,0.0,78.9758991008991,21.024100899100898
C1,42,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C1,43,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C1,44,dev,not_fully_fitting,251,13,71.6196242253744,0.34188034188034233,71.6196242253744,28.38037577462561
C1,42,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C1,43,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C1,44,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C1,42,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C1,43,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C1,44,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C2,42,dev,fully_fitting,285,11,79.20899933399933,0.23310023310023328,79.20899933399933,20.791000666000663
C2,43,dev,fully_fitting,285,11,78.9795621045621,0.003663003663004457,78.9795621045621,21.020437895437894
C2,44,dev,fully_fitting,285,11,78.9795621045621,0.003663003663004457,78.9795621045621,21.020437895437894
C2,42,dev,not_fully_fitting,251,13,71.13600928703374,-0.141734596460307,71.13600928703374,28.86399071296626
C2,43,dev,not_fully_fitting,251,13,71.44868405443422,0.17094017094017117,71.44868405443422,28.55131594556578
C2,44,dev,not_fully_fitting,251,13,71.78960405827557,0.5118601747815232,71.78960405827557,28.210395941724432
C2,42,dev,long_attributes,77,12,65.42207792207793,-1.3888888888888888,65.42207792207793,34.57792207792208
C2,43,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C2,44,dev,long_attributes,77,12,67.1897546897547,0.37878787878787845,67.1897546897547,32.81024531024531
C2,42,dev,shorter_attributes,459,15,75.42452500694237,0.22988505747126411,75.42452500694237,24.57547499305762
C2,43,dev,shorter_attributes,459,15,75.09115556433535,-0.10348438513576104,75.09115556433535,24.908844435664648
