query_id,Delta_R100_pp,Recall@100,query,query_type,Method,Split
30,0.0,52.27272727272727,3 1/2 inch drawer pull,multi_constraint,C1,dev
96,0.0,88.0,bar room wall decor,product_type,C1,dev
105,0.0,85.48387096774194,outdoor movie screen,product_type,C1,dev
117,0.0,26.5625,tall storage cabinet,attribute_constraint,C1,dev
152,0.0,8.695652173913043,wishbone chair,product_type,C1,dev
157,3.9215686274509776,66.66666666666666,velvet chaise,brand_entity_proxy,C1,dev
188,0.0,62.5,"bedroom wall decor floral, multicolored with some teal (prints)",long_descriptive,C1,dev
225,0.0,100.0,white splashproof shiplap wallpaper,attribute_constraint,C1,dev
237,0.0,100.0,cloud modular sectional,product_type,C1,dev
240,0.0,100.0,eiffel tower wall art,product_type,C1,dev
321,0.0,100.0,hussain handmade tufted magenta rug,multi_constraint,C1,dev
324,0.0,100.0,chase utility laundry cart,product_type,C1,dev
340,0.0,66.66666666666666,berenice 4 storage cabinet,attribute_constraint,C1,dev
365,0.0,100.0,gas detector,brand_entity_proxy,C1,dev
384,0.0,100.0,dining table vinyl cloth,product_type,C1,dev
424,0.0,100.0,wayfair comforters,brand_entity_proxy,C1,dev
478,0.0,100.0,worn leather office chair,attribute_constraint,C1,dev
30,-0.7575757575757569,51.515151515151516,3 1/2 inch drawer pull,multi_constraint,C2,dev
96,-0.8888888888888946,87.1111111111111,bar room wall decor,product_type,C2,dev
105,0.5376344086021501,86.02150537634408,outdoor movie screen,product_type,C2,dev
117,0.2604166666666685,26.822916666666668,tall storage cabinet,attribute_constraint,C2,dev
152,-0.7246376811594193,7.971014492753624,wishbone chair,product_type,C2,dev
157,2.614379084967322,65.359477124183,velvet chaise,brand_entity_proxy,C2,dev
188,0.0,62.5,"bedroom wall decor floral, multicolored with some teal (prints)",long_descriptive,C2,dev
225,0.0,100.0,white splashproof shiplap wallpaper,attribute_constraint,C2,dev
237,0.0,100.0,cloud modular sectional,product_type,C2,dev
240,0.0,100.0,eiffel tower wall art,product_type,C2,dev
321,0.0,100.0,hussain handmade tufted magenta rug,multi_constraint,C2,dev
324,0.0,100.0,chase utility laundry cart,product_type,C2,dev
340,0.0,66.66666666666666,berenice 4 storage cabinet,attribute_constraint,C2,dev
365,0.0,100.0,gas detector,brand_entity_proxy,C2,dev
384,0.0,100.0,dining table vinyl cloth,product_type,C2,dev
424,0.0,100.0,wayfair comforters,brand_entity_proxy,C2,dev
478,0.0,100.0,worn leather office chair,attribute_constraint,C2,dev
30,-0.7575757575757569,51.515151515151516,3 1/2 inch drawer pull,multi_constraint,C3,dev
96,-0.8888888888888946,87.1111111111111,bar room wall decor,product_type,C3,dev
105,0.5376344086021501,86.02150537634408,outdoor movie screen,product_type,C3,dev
117,1.0416666666666685,27.604166666666668,tall storage cabinet,attribute_constraint,C3,dev
152,-1.4492753623188401,7.246376811594203,wishbone chair,product_type,C3,dev
157,2.614379084967322,65.359477124183,velvet chaise,brand_entity_proxy,C3,dev
188,-8.333333333333337,54.166666666666664,"bedroom wall decor floral, multicolored with some teal (prints)",long_descriptive,C3,dev
225,0.0,100.0,white splashproof shiplap wallpaper,attribute_constraint,C3,dev
237,0.0,100.0,cloud modular sectional,product_type,C3,dev
240,0.0,100.0,eiffel tower wall art,product_type,C3,dev
321,0.0,100.0,hussain handmade tufted magenta rug,multi_constraint,C3,dev
324,0.0,100.0,chase utility laundry cart,product_type,C3,dev
340,0.0,66.66666666666666,berenice 4 storage cabinet,attribute_constraint,C3,dev
365,0.0,100.0,gas detector,brand_entity_proxy,C3,dev
384,0.0,100.0,dining table vinyl cloth,product_type,C3,dev
424,0.0,100.0,wayfair comforters,brand_entity_proxy,C3,dev
478,0.0,100.0,worn leather office chair,attribute_constraint,C3,dev
30,0.0,52.27272727272727,3 1/2 inch drawer pull,multi_constraint,C4,dev
96,0.0,88.0,bar room wall decor,product_type,C4,dev
105,0.0,85.48387096774194,outdoor movie screen,product_type,C4,dev
117,0.0,26.5625,tall storage cabinet,attribute_constraint,C4,dev
152,0.0,8.695652173913043,wishbone chair,product_type,C4,dev
157,3.9215686274509776,66.66666666666666,velvet chaise,brand_entity_proxy,C4,dev
188,0.0,62.5,"bedroom wall decor floral, multicolored with some teal (prints)",long_descriptive,C4,dev
225,0.0,100.0,white splashproof shiplap wallpaper,attribute_constraint,C4,dev
237,0.0,100.0,cloud modular sectional,product_type,C4,dev
240,0.0,100.0,eiffel tower wall art,product_type,C4,dev
321,0.0,100.0,hussain handmade tufted magenta rug,multi_constraint,C4,dev
324,0.0,100.0,chase utility laundry cart,product_type,C4,dev
340,0.0,66.66666666666666,berenice 4 storage cabinet,attribute_constraint,C4,dev
365,0.0,100.0,gas detector,brand_entity_proxy,C4,dev
384,0.0,100.0,dining table vinyl cloth,product_type,C4,dev
424,0.0,100.0,wayfair comforters,brand_entity_proxy,C4,dev
478,0.0,100.0,worn leather office chair,attribute_constraint,C4,dev
0,1.1102230246251565e-14,82.05128205128206,salon chair,product_type,C1,test
1,0.0,25.0,smart coffee table,product_type,C1,test
2,0.0,63.576158940397356,dinosaur,brand_entity_proxy,C1,test
3,-3.6363636363636376,16.363636363636363,turquoise pillows,brand_entity_proxy,C1,test
4,0.0,26.08695652173913,chair and a half recliner,multi_constraint,C1,test
5,0.0,44.6927374301676,sofa with ottoman,product_type,C1,test
6,0.0,30.23255813953488,acrylic clear chair,attribute_constraint,C1,test
7,0.0,69.56521739130434,driftwood mirror,product_type,C1,test
9,0.0,93.24324324324324,coffee table fire pit,product_type,C1,test
10,-1.1102230246251565e-14,95.23809523809523,king poster bed,attribute_constraint,C1,test
11,0.0,96.92307692307692,ombre rug,product_type,C1,test
13,0.0,82.6086956521739,outdoor privacy wall,product_type,C1,test
14,1.1102230246251565e-14,80.00000000000001,beds that have leds,product_type,C1,test
16,0.0,50.0,blk 18x18 seat cushions,attribute_constraint,C1,test
17,0.0,66.66666666666666,closet storage with zipper,product_type,C1,test
20,0.0,0.0,foutains with brick look,product_type,C1,test
22,-2.7755575615628914e-15,18.18181818181818,light and navy blue decorative pillow,multi_constraint,C1,test
26,-1.3877787807814457e-15,8.904109589041093,leather chairs,attribute_constraint,C1,test
27,0.0,43.0,outdoor welcome rug,product_type,C1,test
28,0.0,56.00000000000001,rooster decor,brand_entity_proxy,C1,test
31,0.0,0.0,burnt orange curtains,product_type,C1,test
35,0.0,49.01960784313725,enclosed shoe rack,product_type,C1,test
36,-2.7027027027027084,83.78378378378379,laundry basket with wheels,product_type,C1,test
37,0.0,21.818181818181817,bar stool 24 inches height,multi_constraint,C1,test
38,0.0,100.0,calvin patio chair,product_type,C1,test
39,-1.1102230246251565e-14,70.96774193548386,door jewelry organizer,product_type,C1,test
40,0.0,77.5,elegant executive chair,product_type,C1,test
41,0.0,89.47368421052632,closet pull out valet rod,multi_constraint,C1,test
42,0.0,100.0,toddler couch fold out,product_type,C1,test
44,0.0,54.54545454545454,chrome shower head and valve,multi_constraint,C1,test
45,-5.551115123125783e-15,34.99999999999999,70s inspired furniture,attribute_constraint,C1,test
46,1.1102230246251565e-14,80.00000000000001,beach blue headboard,attribute_constraint,C1,test
48,0.0,100.0,arwen table lamp,product_type,C1,test
50,0.0,57.14285714285714,tufted chair with gold legs,multi_constraint,C1,test
51,0.0,100.0,kohen 5 drawer dresser,attribute_constraint,C1,test
54,0.0,60.0,wayfair sleep zippered,product_type,C1,test
55,0.0,100.0,tollette teal outdoor rug,product_type,C1,test
59,0.0,100.0,broadway lever,brand_entity_proxy,C1,test
60,0.0,100.0,capricorn chest,brand_entity_proxy,C1,test
62,0.0,88.88888888888889,7qt slow cooker,attribute_constraint,C1,test
63,-1.388888888888884,90.27777777777779,monthly calendar,brand_entity_proxy,C1,test
64,0.0,100.0,zachary 72.5,attribute_constraint,C1,test
65,0.0,65.78947368421053,gnome fairy garden,product_type,C1,test
66,0.0,100.0,novara pergola,brand_entity_proxy,C1,test
68,-1.1102230246251565e-14,73.03370786516852,nautical platters,brand_entity_proxy,C1,test
69,-1.1102230246251565e-14,69.23076923076921,wall sconce with usb port,multi_constraint,C1,test
70,0.0,100.0,annex dresser,product_type,C1,test
71,0.0,85.1063829787234,infant girl crib bedding,product_type,C1,test
72,-1.17647058823529,77.64705882352942,fold in half table,product_type,C1,test
74,0.0,100.0,serta kleinmon,brand_entity_proxy,C1,test
75,0.0,50.0,sheffield home bath set,product_type,C1,test
