query_id,Exact,Irrelevant,Partial,Exact_and_Partial,Exact_and_Irrelevant,Exact_and_lower,eligible
34,374,5,361,True,True,True,True
485,0,103,152,False,False,False,True
395,0,58,16,False,False,False,True
411,85,1217,264,True,True,True,True
29,138,664,0,False,True,True,True
414,165,539,210,True,True,True,True
58,63,2,99,True,True,True,True
33,125,284,260,True,True,True,True
480,0,0,3,False,False,False,False
280,0,10,106,False,False,False,True
205,12,0,81,True,False,True,True
162,23,192,3139,True,True,True,True
80,39,2,157,True,True,True,True
25,227,11,4,True,True,True,True
312,10,0,109,True,False,True,True
345,0,391,757,False,False,False,True
336,1,17,342,True,True,True,True
261,125,0,50,True,False,True,True
314,11,4,130,True,True,True,True
399,0,17,68,False,False,False,True
12,27,49,149,True,True,True,True
43,22,180,1029,True,True,True,True
338,1,29,174,True,True,True,True
118,94,0,122,True,False,True,True
381,0,0,80,False,False,False,False
430,98,28,536,True,True,True,True
32,3,29,179,True,True,True,True
256,68,11,59,True,True,True,True
361,25,73,0,False,True,True,True
393,0,21,75,False,False,False,True
449,164,7,1,True,True,True,True
377,0,0,134,False,False,False,False
258,58,1,67,True,True,True,True
219,0,0,38,False,False,False,False
21,1,0,126,True,False,True,True
23,0,38,1228,False,False,False,True
318,1,16,139,True,True,True,True
287,45,301,60,True,True,True,True
363,1,0,1379,True,False,True,True
413,1,38,560,True,True,True,True
8,25,11,69,True,True,True,True
56,0,113,231,False,False,False,True
103,230,1,137,True,True,True,True
290,0,0,168,False,False,False,False
116,0,14,581,False,False,False,True
224,22,0,51,True,False,True,True
106,36,2150,59,True,True,True,True
293,13,29,60,True,True,True,True
57,1,1216,189,True,True,True,True
149,155,4,14,True,True,True,True
134,3,28,119,True,True,True,True
24,84,460,2015,True,True,True,True
228,178,63,3,True,True,True,True
401,18,1,36,True,True,True,True
379,0,0,71,False,False,False,False
462,0,1,1,False,False,False,True
133,170,27,30,True,True,True,True
262,87,2,49,True,True,True,True
474,0,75,709,False,False,False,True
283,1,9,105,True,True,True,True
15,2,15,596,True,True,True,True
309,0,46,26,False,False,False,True
463,139,65,70,True,True,True,True
181,104,0,18,True,False,True,True
61,1,0,161,True,False,True,True
156,19,42,89,True,True,True,True
113,75,54,303,True,True,True,True
487,2,512,432,True,True,True,True
100,211,75,601,True,True,True,True
391,8,0,221,True,False,True,True
18,34,779,240,True,True,True,True
135,10,404,138,True,True,True,True
