Method,Reference,Split,Mode,Metric,Delta_pp,CI_low_pp,CI_high_pp,Queries,Draws,Seed,multiplicity_correction
D_T0_s42,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
D_T0_s42,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
D_T0_s42,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
D_T0_s42,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s42,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s42,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
D_T0_s42,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s42,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s42,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
D_T0_s42,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s42,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s42,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,dev,catalog,Recall@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,dev,catalog,Robust@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s42,Phase-VI DeepSets,dev,catalog,Never@100,-1.5224719327808829,-7.104101987225954,4.4081876901595765,17,10000,20260963,none
S_T0_s42,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
S_T0_s42,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
S_T0_s42,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
S_T0_s42,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_T0_s42,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_T0_s42,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
S_T0_s42,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s42,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
S_T0_s42,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
S_T0_s42,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s42,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s42,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,dev,catalog,Recall@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,dev,catalog,Robust@100,12.031341747929119,0.003619701557092749,26.486285486788276,17,10000,20260963,none
S_T0_s42,Phase-VI Set Transformer,dev,catalog,Never@100,-12.031341747929119,-26.48628548678829,-0.003619701557094676,17,10000,20260963,none
D_T0_s43,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
D_T0_s43,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
D_T0_s43,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
D_T0_s43,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s43,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s43,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
D_T0_s43,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s43,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s43,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
D_T0_s43,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s43,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s43,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,dev,catalog,Recall@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,dev,catalog,Robust@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s43,Phase-VI DeepSets,dev,catalog,Never@100,-1.5224719327808829,-7.104101987225954,4.4081876901595765,17,10000,20260963,none
D_T0_s44,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
D_T0_s44,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
D_T0_s44,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
D_T0_s44,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s44,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
D_T0_s44,Canonical,dev,catalog,Never@100,-1.3471255829697617,-5.633794694348328,3.9215686274509802,17,10000,20260963,none
D_T0_s44,Set-Mean,dev,catalog,Recall@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s44,Set-Mean,dev,catalog,Robust@100,-0.23068050749711633,-0.692041522491349,0.0,17,10000,20260963,none
D_T0_s44,Set-Mean,dev,catalog,Never@100,0.23068050749711666,0.0,0.69204152249135,17,10000,20260963,none
D_T0_s44,Set-Attention,dev,catalog,Recall@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s44,Set-Attention,dev,catalog,Robust@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s44,Set-Attention,dev,catalog,Never@100,0.0,0.0,0.0,17,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,dev,catalog,Recall@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,dev,catalog,Robust@100,1.522471932780882,-4.408187690159577,7.104101987225951,17,10000,20260963,none
D_T0_s44,Phase-VI DeepSets,dev,catalog,Never@100,-1.5224719327808829,-7.104101987225954,4.4081876901595765,17,10000,20260963,none
S_T0_s43,Original,dev,catalog,Recall@100,1.7629266751401342,-1.6237636569354241,4.996739450637996,17,10000,20260963,none
S_T0_s43,Original,dev,catalog,Robust@100,8.300918841447373,3.4604457140499965,13.721351887215011,17,10000,20260963,none
S_T0_s43,Original,dev,catalog,Never@100,3.922183592256982,0.25659824046920854,8.852485031769303,17,10000,20260963,none
S_T0_s43,Canonical,dev,catalog,Recall@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
S_T0_s43,Canonical,dev,catalog,Robust@100,1.3471255829697604,-3.921568627450981,5.633794694348328,17,10000,20260963,none
