Method,Split,Mode,Residual_Base,Training_Examples,Negatives_per_example,Epoch,Params,family,regime,seed,lr,Pairs,Queries,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,minimum_macro_schedule100,units
Original,dev,catalog,none,0,0.0,0,0,,historical,,,536,17,55.12403613684388,77.82098597899308,12.02300075790542,12.223102433704357,71.28299381268583,16.493903753609807,73.9686648790251,75.43476349071403,percent; bootstrap deltas in percentage points
Canonical,dev,catalog,none,0,0.0,0,0,,historical,,,536,17,55.17898499191873,78.23678707116345,0.0,0.0,78.23678707116345,21.763212928836552,78.23678707116345,78.23678707116345,percent; bootstrap deltas in percentage points
Set-Mean,dev,catalog,none,0,0.0,0,0,,historical,,,536,17,51.068837275424386,79.81459316163033,0.0,0.0,79.81459316163033,20.18540683836967,79.81459316163033,79.81459316163033,percent; bootstrap deltas in percentage points
Set-Attention,dev,catalog,none,546,1.0,1,98561,,historical,42.0,,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
Phase-VI DeepSets,dev,catalog,none,546,1.0,1,593920,,historical,42.0,,536,17,51.86751008032346,78.06144072135233,0.0,0.0,78.06144072135233,21.93855927864767,78.06144072135233,78.06144072135233,percent; bootstrap deltas in percentage points
Phase-VI Set Transformer,dev,catalog,none,546,1.0,1,462592,,historical,42.0,,536,17,37.94728109947807,67.5525709062041,0.0,0.0,67.5525709062041,32.447429093795904,67.5525709062041,67.5525709062041,percent; bootstrap deltas in percentage points
D_T0_s42,dev,catalog,frozen Set-Attention,546,1.0,0,593921,D,T0,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
D_T1_s42,dev,catalog,frozen Set-Attention,3257,1.0,0,593921,D,T1,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
D_T2_s42,dev,catalog,frozen Set-Attention,3257,6.395455941050046,0,593921,D,T2,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
S_T0_s42,dev,catalog,frozen Set-Attention,546,1.0,0,462593,S,T0,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
S_T1_s42,dev,catalog,frozen Set-Attention,3257,1.0,0,462593,S,T1,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
S_T2_s42,dev,catalog,frozen Set-Attention,3257,6.395455941050046,0,462593,S,T2,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
D_T2_f0.25_s42,dev,catalog,frozen Set-Attention,814,6.416461916461916,0,593921,D,T2_f0.25,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
D_T2_f0.5_s42,dev,catalog,frozen Set-Attention,1628,6.377149877149877,0,593921,D,T2_f0.5,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
S_T2_f0.25_s42,dev,catalog,frozen Set-Attention,814,6.416461916461916,0,462593,S,T2_f0.25,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
S_T2_f0.5_s42,dev,catalog,frozen Set-Attention,1628,6.377149877149877,0,462593,S,T2_f0.5,42.0,0.0001,536,17,50.29990225043398,79.58391265413321,0.0,0.0,79.58391265413321,20.41608734586679,79.58391265413321,79.58391265413321,percent; bootstrap deltas in percentage points
