Method,Key,Split,Training_Fraction,Examples,Epoch,Learning_Rate,Best_Trained_Dev_R100,Best_Trained_Dev_Epoch,Recall@100,Robust@100,Never@100
DeepSets,D_T2_f0.25_s42,dev,0.25,814,0,0.0001,79.58391265413321,1,79.58391265413321,79.58391265413321,20.41608734586679
DeepSets,D_T2_f0.25_s42,test,0.25,814,0,0.0001,79.58391265413321,1,62.17291536896218,62.17291536896218,37.82708463103782
DeepSets,D_T2_f0.5_s42,dev,0.5,1628,0,0.0001,78.83235568754806,1,79.58391265413321,79.58391265413321,20.41608734586679
DeepSets,D_T2_f0.5_s42,test,0.5,1628,0,0.0001,78.83235568754806,1,62.17291536896218,62.17291536896218,37.82708463103782
DeepSets,D_T2_s42,dev,1.0,3257,0,0.0001,58.71222536835571,1,79.58391265413321,79.58391265413321,20.41608734586679
DeepSets,D_T2_s42,test,1.0,3257,0,0.0001,58.71222536835571,1,62.17291536896218,62.17291536896218,37.82708463103782
SetTransformer,S_T2_f0.25_s42,dev,0.25,814,0,0.0001,78.2654222965446,1,79.58391265413321,79.58391265413321,20.41608734586679
SetTransformer,S_T2_f0.25_s42,test,0.25,814,0,0.0001,78.2654222965446,1,62.17291536896218,62.17291536896218,37.82708463103782
SetTransformer,S_T2_f0.5_s42,dev,0.5,1628,0,0.0001,67.15048585041416,1,79.58391265413321,79.58391265413321,20.41608734586679
SetTransformer,S_T2_f0.5_s42,test,0.5,1628,0,0.0001,67.15048585041416,1,62.17291536896218,62.17291536896218,37.82708463103782
SetTransformer,S_T2_s42,dev,1.0,3257,0,0.0001,58.3969163072486,1,79.58391265413321,79.58391265413321,20.41608734586679
SetTransformer,S_T2_s42,test,1.0,3257,0,0.0001,58.3969163072486,1,62.17291536896218,62.17291536896218,37.82708463103782
