name,family,architecture,regime,seed,lr,best_epoch,epochs_run,examples,mean_negatives,dev_recall100,dev_robust100,parameters,frozen_base_parameters,config_sha256,weights_sha256,test_used_for_selection,completed_utc,wall_seconds
D_T0_s42_lr0.0001,D,DeepSets,T0,42,0.0001,0,4,546,1.0,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:07:49.012255+00:00,13.047000000020489
D_T0_s42_lr0.0003,D,DeepSets,T0,42,0.0003,0,4,546,1.0,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:08:01.088715+00:00,12.030999999959022
D_T1_s42_lr0.0001,D,DeepSets,T1,42,0.0001,0,4,3257,1.0,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:08:19.581205+00:00,18.45299999997951
D_T1_s42_lr0.0003,D,DeepSets,T1,42,0.0003,0,4,3257,1.0,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:08:38.017606+00:00,18.42200000002049
D_T2_s42_lr0.0001,D,DeepSets,T2,42,0.0001,0,4,3257,6.395455941050046,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:09:01.642829+00:00,23.610000000102445
D_T2_s42_lr0.0003,D,DeepSets,T2,42,0.0003,0,4,3257,6.395455941050046,0.7958391265413322,0.7958391265413322,593921,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,8a7efe46129d7f237cfa31871b78d24d63db43727ac05631694236e54c52040b,False,2026-09-11T06:09:25.292712+00:00,23.625
S_T0_s42_lr0.0001,S,SetTransformer,T0,42,0.0001,0,4,546,1.0,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:09:46.772507+00:00,21.453999999910593
S_T0_s42_lr0.0003,S,SetTransformer,T0,42,0.0003,0,4,546,1.0,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:10:11.407033+00:00,24.610000000102445
S_T1_s42_lr0.0001,S,SetTransformer,T1,42,0.0001,0,4,3257,1.0,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:10:49.188618+00:00,37.75
S_T1_s42_lr0.0003,S,SetTransformer,T1,42,0.0003,0,4,3257,1.0,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:11:29.007544+00:00,39.79700000002049
S_T2_s42_lr0.0001,S,SetTransformer,T2,42,0.0001,0,4,3257,6.395455941050046,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:12:35.657273+00:00,66.625
S_T2_s42_lr0.0003,S,SetTransformer,T2,42,0.0003,0,4,3257,6.395455941050046,0.7958391265413322,0.7958391265413322,462593,98561,03543514251a1e79e6059fb5acab48e6567a42c44e37977e4260e394fa245ec8,6acbd64be9f736281a3192b43249b7f3d922f8e08ddbb7ee90149c8e09670140,False,2026-09-11T06:50:01.592547+00:00,2245.905999999959
