epoch,step,loss,gradient_norm_before_clip,alpha,positives,negatives
1,0,0.39880722761154175,0.01846354827284813,0.0500001460313797,16,16
1,1,0.26359957456588745,0.014690959826111794,0.05000383034348488,16,16
1,2,0.23459845781326294,0.012015122920274734,0.05000803992152214,16,16
1,3,0.2433762550354004,0.013768741860985756,0.05001213029026985,16,16
1,4,0.2840714454650879,0.016736924648284912,0.05001648887991905,16,16
1,5,0.3231542706489563,0.01799800433218479,0.05002070963382721,16,16
1,6,0.29227375984191895,0.013552679680287838,0.050024956464767456,16,16
1,7,0.3723049759864807,0.018914511427283287,0.05002933740615845,16,16
1,8,0.29010021686553955,0.01470260415226221,0.05003376305103302,16,16
1,9,0.24177885055541992,0.012538270093500614,0.050038304179906845,16,16
1,10,0.25988322496414185,0.015316950157284737,0.050042878836393356,16,16
1,11,0.2162337303161621,0.011438695713877678,0.05004754289984703,16,16
1,12,0.24367296695709229,0.012720339000225067,0.05005233362317085,16,16
1,13,0.26155829429626465,0.014812678098678589,0.050056926906108856,16,16
1,14,0.2876039147377014,0.016363475471735,0.05006134882569313,16,16
1,15,0.4092358350753784,0.021389124915003777,0.050065986812114716,16,16
1,16,0.32823681831359863,0.016445185989141464,0.05007055774331093,16,16
1,17,0.21759027242660522,0.011664227582514286,0.050075311213731766,16,16
1,18,0.27327823638916016,0.01676776260137558,0.050080232322216034,16,16
1,19,0.3486589193344116,0.019048592075705528,0.05008533224463463,16,16
1,20,0.24948132038116455,0.013726900331676006,0.05009051039814949,16,16
1,21,0.33850544691085815,0.020017486065626144,0.0500958077609539,16,16
1,22,0.22266888618469238,0.012910543009638786,0.050101231783628464,16,16
1,23,0.30996525287628174,0.01493464969098568,0.05010678246617317,16,16
1,24,0.3662317395210266,0.022156473249197006,0.05011240765452385,16,16
1,25,0.35817164182662964,0.017683403566479683,0.050118185579776764,16,16
1,26,0.2540191411972046,0.015831027179956436,0.05012398213148117,16,16
1,27,0.19949966669082642,0.010788311250507832,0.05012929439544678,16,16
1,28,0.26893937587738037,0.01482289470732212,0.05013441666960716,16,16
1,29,0.32669371366500854,0.015752870589494705,0.050139617174863815,16,16
1,30,0.30899250507354736,0.015153693966567516,0.050144877284765244,16,16
1,31,0.2153228521347046,0.011865491978824139,0.050150007009506226,16,16
1,32,0.22254729270935059,0.013389810919761658,0.05015536770224571,16,16
1,33,0.18475669622421265,0.009806939400732517,0.05016053467988968,16,16
1,34,0.2658095359802246,0.04201440140604973,0.05016597732901573,2,2
2,0,0.2386292815208435,0.01780260168015957,0.05017158016562462,16,16
2,1,0.35232990980148315,0.017444368451833725,0.05017726123332977,16,16
2,2,0.21717089414596558,0.012243597768247128,0.05018291994929314,16,16
2,3,0.3081094026565552,0.016747459769248962,0.05018869414925575,16,16
2,4,0.28364211320877075,0.015719536691904068,0.05019467696547508,16,16
2,5,0.32747697830200195,0.02089732512831688,0.050200946629047394,16,16
