query_id,product_id,reason
21,27990,no explicitly Irrelevant training judgments for this query
61,17462,no explicitly Irrelevant training judgments for this query
118,10229,no explicitly Irrelevant training judgments for this query
118,13639,no explicitly Irrelevant training judgments for this query
118,14956,no explicitly Irrelevant training judgments for this query
118,17663,no explicitly Irrelevant training judgments for this query
118,1981,no explicitly Irrelevant training judgments for this query
118,2024,no explicitly Irrelevant training judgments for this query
118,2025,no explicitly Irrelevant training judgments for this query
118,20958,no explicitly Irrelevant training judgments for this query
118,20960,no explicitly Irrelevant training judgments for this query
118,20961,no explicitly Irrelevant training judgments for this query
118,20963,no explicitly Irrelevant training judgments for this query
118,20966,no explicitly Irrelevant training judgments for this query
118,20967,no explicitly Irrelevant training judgments for this query
118,20974,no explicitly Irrelevant training judgments for this query
118,20975,no explicitly Irrelevant training judgments for this query
118,20977,no explicitly Irrelevant training judgments for this query
118,20978,no explicitly Irrelevant training judgments for this query
118,20987,no explicitly Irrelevant training judgments for this query
118,20992,no explicitly Irrelevant training judgments for this query
118,20993,no explicitly Irrelevant training judgments for this query
118,20994,no explicitly Irrelevant training judgments for this query
118,20996,no explicitly Irrelevant training judgments for this query
118,20997,no explicitly Irrelevant training judgments for this query
118,21000,no explicitly Irrelevant training judgments for this query
118,21004,no explicitly Irrelevant training judgments for this query
118,21007,no explicitly Irrelevant training judgments for this query
118,21008,no explicitly Irrelevant training judgments for this query
118,21010,no explicitly Irrelevant training judgments for this query
118,21012,no explicitly Irrelevant training judgments for this query
118,21013,no explicitly Irrelevant training judgments for this query
118,21014,no explicitly Irrelevant training judgments for this query
118,21016,no explicitly Irrelevant training judgments for this query
118,21017,no explicitly Irrelevant training judgments for this query
118,21018,no explicitly Irrelevant training judgments for this query
118,21019,no explicitly Irrelevant training judgments for this query
118,21020,no explicitly Irrelevant training judgments for this query
118,21022,no explicitly Irrelevant training judgments for this query
118,21023,no explicitly Irrelevant training judgments for this query
118,21024,no explicitly Irrelevant training judgments for this query
118,21025,no explicitly Irrelevant training judgments for this query
118,21030,no explicitly Irrelevant training judgments for this query
118,21031,no explicitly Irrelevant training judgments for this query
118,21032,no explicitly Irrelevant training judgments for this query
118,21033,no explicitly Irrelevant training judgments for this query
118,21034,no explicitly Irrelevant training judgments for this query
118,21035,no explicitly Irrelevant training judgments for this query
118,21039,no explicitly Irrelevant training judgments for this query
118,21040,no explicitly Irrelevant training judgments for this query
118,21041,no explicitly Irrelevant training judgments for this query
118,21042,no explicitly Irrelevant training judgments for this query
118,21049,no explicitly Irrelevant training judgments for this query
118,21050,no explicitly Irrelevant training judgments for this query
118,21051,no explicitly Irrelevant training judgments for this query
118,21052,no explicitly Irrelevant training judgments for this query
118,21053,no explicitly Irrelevant training judgments for this query
118,21054,no explicitly Irrelevant training judgments for this query
118,21055,no explicitly Irrelevant training judgments for this query
118,21056,no explicitly Irrelevant training judgments for this query
118,21057,no explicitly Irrelevant training judgments for this query
118,21058,no explicitly Irrelevant training judgments for this query
118,21059,no explicitly Irrelevant training judgments for this query
118,21060,no explicitly Irrelevant training judgments for this query
118,21061,no explicitly Irrelevant training judgments for this query
118,21065,no explicitly Irrelevant training judgments for this query
118,21066,no explicitly Irrelevant training judgments for this query
118,21068,no explicitly Irrelevant training judgments for this query
118,21069,no explicitly Irrelevant training judgments for this query
118,21070,no explicitly Irrelevant training judgments for this query
118,21071,no explicitly Irrelevant training judgments for this query
118,21074,no explicitly Irrelevant training judgments for this query
118,21076,no explicitly Irrelevant training judgments for this query
118,21077,no explicitly Irrelevant training judgments for this query
118,21078,no explicitly Irrelevant training judgments for this query
118,21079,no explicitly Irrelevant training judgments for this query
118,21084,no explicitly Irrelevant training judgments for this query
118,22984,no explicitly Irrelevant training judgments for this query
118,23547,no explicitly Irrelevant training judgments for this query
118,23548,no explicitly Irrelevant training judgments for this query
118,23549,no explicitly Irrelevant training judgments for this query
118,25158,no explicitly Irrelevant training judgments for this query
118,25407,no explicitly Irrelevant training judgments for this query
118,25408,no explicitly Irrelevant training judgments for this query
118,2739,no explicitly Irrelevant training judgments for this query
118,28382,no explicitly Irrelevant training judgments for this query
118,28383,no explicitly Irrelevant training judgments for this query
118,32701,no explicitly Irrelevant training judgments for this query
118,37955,no explicitly Irrelevant training judgments for this query
118,39141,no explicitly Irrelevant training judgments for this query
118,39143,no explicitly Irrelevant training judgments for this query
118,39173,no explicitly Irrelevant training judgments for this query
118,42745,no explicitly Irrelevant training judgments for this query
118,528,no explicitly Irrelevant training judgments for this query
118,5664,no explicitly Irrelevant training judgments for this query
118,5665,no explicitly Irrelevant training judgments for this query
181,15331,no explicitly Irrelevant training judgments for this query
181,16219,no explicitly Irrelevant training judgments for this query
181,1646,no explicitly Irrelevant training judgments for this query
181,1647,no explicitly Irrelevant training judgments for this query
181,17270,no explicitly Irrelevant training judgments for this query
181,18736,no explicitly Irrelevant training judgments for this query
181,19054,no explicitly Irrelevant training judgments for this query
181,19058,no explicitly Irrelevant training judgments for this query
181,19059,no explicitly Irrelevant training judgments for this query
181,19066,no explicitly Irrelevant training judgments for this query
181,19138,no explicitly Irrelevant training judgments for this query
181,19561,no explicitly Irrelevant training judgments for this query
181,20401,no explicitly Irrelevant training judgments for this query
181,21345,no explicitly Irrelevant training judgments for this query
181,21346,no explicitly Irrelevant training judgments for this query
181,21347,no explicitly Irrelevant training judgments for this query
181,21348,no explicitly Irrelevant training judgments for this query
181,21349,no explicitly Irrelevant training judgments for this query
181,21350,no explicitly Irrelevant training judgments for this query
181,21351,no explicitly Irrelevant training judgments for this query
181,21352,no explicitly Irrelevant training judgments for this query
181,21491,no explicitly Irrelevant training judgments for this query
181,21967,no explicitly Irrelevant training judgments for this query
181,21968,no explicitly Irrelevant training judgments for this query
181,21978,no explicitly Irrelevant training judgments for this query
181,21979,no explicitly Irrelevant training judgments for this query
181,21980,no explicitly Irrelevant training judgments for this query
181,21981,no explicitly Irrelevant training judgments for this query
181,21982,no explicitly Irrelevant training judgments for this query
181,21983,no explicitly Irrelevant training judgments for this query
181,21984,no explicitly Irrelevant training judgments for this query
181,21985,no explicitly Irrelevant training judgments for this query
181,21986,no explicitly Irrelevant training judgments for this query
181,21987,no explicitly Irrelevant training judgments for this query
181,21988,no explicitly Irrelevant training judgments for this query
181,21989,no explicitly Irrelevant training judgments for this query
181,2362,no explicitly Irrelevant training judgments for this query
181,2363,no explicitly Irrelevant training judgments for this query
181,2364,no explicitly Irrelevant training judgments for this query
181,2367,no explicitly Irrelevant training judgments for this query
181,2368,no explicitly Irrelevant training judgments for this query
181,2369,no explicitly Irrelevant training judgments for this query
181,2370,no explicitly Irrelevant training judgments for this query
181,2371,no explicitly Irrelevant training judgments for this query
181,2373,no explicitly Irrelevant training judgments for this query
181,2374,no explicitly Irrelevant training judgments for this query
181,2376,no explicitly Irrelevant training judgments for this query
181,2379,no explicitly Irrelevant training judgments for this query
181,2381,no explicitly Irrelevant training judgments for this query
181,2382,no explicitly Irrelevant training judgments for this query
181,2383,no explicitly Irrelevant training judgments for this query
181,2384,no explicitly Irrelevant training judgments for this query
181,2385,no explicitly Irrelevant training judgments for this query
181,2386,no explicitly Irrelevant training judgments for this query
181,2387,no explicitly Irrelevant training judgments for this query
181,2388,no explicitly Irrelevant training judgments for this query
181,25096,no explicitly Irrelevant training judgments for this query
181,25188,no explicitly Irrelevant training judgments for this query
181,25189,no explicitly Irrelevant training judgments for this query
181,25195,no explicitly Irrelevant training judgments for this query
181,28522,no explicitly Irrelevant training judgments for this query
181,28523,no explicitly Irrelevant training judgments for this query
181,28526,no explicitly Irrelevant training judgments for this query
181,30193,no explicitly Irrelevant training judgments for this query
181,30195,no explicitly Irrelevant training judgments for this query
181,30217,no explicitly Irrelevant training judgments for this query
181,30968,no explicitly Irrelevant training judgments for this query
181,30969,no explicitly Irrelevant training judgments for this query
181,32451,no explicitly Irrelevant training judgments for this query
181,35971,no explicitly Irrelevant training judgments for this query
181,35979,no explicitly Irrelevant training judgments for this query
181,35980,no explicitly Irrelevant training judgments for this query
181,36957,no explicitly Irrelevant training judgments for this query
181,36994,no explicitly Irrelevant training judgments for this query
181,36995,no explicitly Irrelevant training judgments for this query
181,36996,no explicitly Irrelevant training judgments for this query
181,36997,no explicitly Irrelevant training judgments for this query
181,36998,no explicitly Irrelevant training judgments for this query
181,39500,no explicitly Irrelevant training judgments for this query
181,39502,no explicitly Irrelevant training judgments for this query
181,39945,no explicitly Irrelevant training judgments for this query
181,40751,no explicitly Irrelevant training judgments for this query
181,40752,no explicitly Irrelevant training judgments for this query
181,40753,no explicitly Irrelevant training judgments for this query
181,40754,no explicitly Irrelevant training judgments for this query
181,40755,no explicitly Irrelevant training judgments for this query
181,40756,no explicitly Irrelevant training judgments for this query
181,41019,no explicitly Irrelevant training judgments for this query
181,41029,no explicitly Irrelevant training judgments for this query
