Method,Sample_max_L2,Sample_mean_L2,Sample_max_cosine_difference,Sample_mean_cosine_difference,Full_max_L2,Changed_ranks,Regenerated_VI20,Regenerated_VI100
D_T0_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T1_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T2_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T0_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T1_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T2_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T2_f0.25_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T2_f0.5_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T2_f0.25_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T2_f0.5_s42,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T0_s43,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
D_T0_s44,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T0_s43,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
S_T0_s44,1.2582759723045456e-07,4.588421731455128e-08,4.884981308350689e-15,1.0782545491392982e-15,1.562463438631312e-07,103,0.0,0.0
