query_id,product_id,R0,R2,R3,R4,R5,R8,rank_min,rank_max,rank_span,rank_ratio,HitInstability@10,HitInstability@20,HitInstability@50
0,25434,2166,2318,867,1199,83,1639,83,2318,2235,27.927710843373493,False,False,False
0,42931,50,46,19,151,24,16,16,151,135,9.4375,False,True,True
0,2636,102,28,30,57,297,88,28,297,269,10.607142857142858,False,False,True
0,42923,6221,3905,6167,6613,2930,4672,2930,6613,3683,2.256996587030717,False,False,False
0,41156,310,445,104,213,322,411,104,445,341,4.278846153846154,False,False,False
0,5936,7934,7645,6828,7539,5385,8213,5385,8213,2828,1.525162488393686,False,False,False
0,22390,178,286,14,45,376,208,14,376,362,26.857142857142858,False,True,True
0,42929,377,249,96,220,14,36,14,377,363,26.928571428571427,False,True,True
0,42928,147,42,15,130,15,34,15,147,132,9.8,False,True,True
0,25428,148,193,217,52,65,33,33,217,184,6.575757575757576,False,False,True
0,39428,367,356,103,138,59,389,59,389,330,6.593220338983051,False,False,False
0,39429,2,1,3,4,3,3,1,4,3,4.0,False,False,False
0,25433,4340,3664,742,2869,56,2610,56,4340,4284,77.5,False,False,False
0,25432,760,2380,87,548,143,747,87,2380,2293,27.35632183908046,False,False,False
0,25431,1,3,1,1,1,1,1,3,2,3.0,False,False,False
0,27534,583,317,143,85,146,438,85,583,498,6.858823529411764,False,False,False
0,36910,309,240,22,266,27,61,22,309,287,14.045454545454545,False,False,True
0,25429,55,428,72,24,213,72,24,428,404,17.833333333333332,False,False,True
0,2638,2067,2606,637,935,1656,1460,637,2606,1969,4.0910518053375196,False,False,False
0,27541,75,47,130,35,6,60,6,130,124,21.666666666666668,True,True,True
0,29746,308,390,138,39,699,342,39,699,660,17.923076923076923,False,False,True
0,29744,41,16,28,38,149,20,16,149,133,9.3125,False,True,True
0,20026,952,1774,129,592,2479,796,129,2479,2350,19.217054263565892,False,False,False
0,22391,4,7,4,2,16,5,2,16,14,8.0,True,False,False
0,7465,3,2,2,3,2,6,2,6,4,3.0,False,False,False
0,25427,910,374,533,822,113,976,113,976,863,8.63716814159292,False,False,False
0,25426,14,23,11,7,5,7,5,23,18,4.6,True,True,False
0,1197,12,34,42,13,9,8,8,42,34,5.25,True,True,False
0,15612,93,304,13,36,45,37,13,304,291,23.384615384615383,False,True,True
0,7468,121,40,17,71,4,17,4,121,117,30.25,True,True,True
0,25424,560,454,562,290,124,406,124,562,438,4.532258064516129,False,False,False
0,25423,205,433,884,173,640,179,173,884,711,5.109826589595376,False,False,False
0,39461,33,22,7,32,262,118,7,262,255,37.42857142857143,True,True,True
0,1198,237,326,582,117,10,35,10,582,572,58.2,True,True,True
0,7467,29,83,9,19,7,9,7,83,76,11.857142857142858,True,True,True
0,42927,34,61,23,66,79,22,22,79,57,3.590909090909091,False,False,True
0,7466,16,80,12,17,13,11,11,80,69,7.2727272727272725,False,True,True
0,25425,1377,223,306,621,265,545,223,1377,1154,6.174887892376682,False,False,False
0,22389,7,5,8,6,8,18,5,18,13,3.6,True,False,False
1,9929,525,649,954,568,252,607,252,954,702,3.7857142857142856,False,False,False
1,5235,1373,1581,587,1067,646,1023,587,1581,994,2.6933560477001706,False,False,False
1,37304,1131,1045,1059,1282,832,819,819,1282,463,1.5653235653235653,False,False,False
1,25973,895,1240,724,823,647,968,647,1240,593,1.9165378670788253,False,False,False
1,16679,1963,2245,2308,2294,1061,1801,1061,2308,1247,2.175306314797361,False,False,False
1,29449,695,965,965,908,680,542,542,965,423,1.7804428044280443,False,False,False
1,33698,126,198,218,131,30,138,30,218,188,7.266666666666667,False,False,True
1,20054,1183,814,1422,1340,430,831,430,1422,992,3.3069767441860467,False,False,False
2,4205,35,35,39,45,19,39,19,45,26,2.3684210526315788,False,True,False
2,4202,98,120,121,90,86,108,86,121,35,1.4069767441860466,False,False,False
2,4204,102,112,79,106,88,114,79,114,35,1.4430379746835442,False,False,False
2,36622,13,5,3,5,1,3,1,13,12,13.0,True,False,False
2,29777,24,12,41,28,16,44,12,44,32,3.6666666666666665,False,True,False
2,40289,47,60,49,49,56,43,43,60,17,1.3953488372093024,False,False,True
2,10539,67,53,72,61,50,69,50,72,22,1.44,False,False,True
2,34445,58,48,60,71,40,31,31,71,40,2.2903225806451615,False,False,True
2,34736,4,4,5,4,4,4,4,5,1,1.25,False,False,False
2,10561,19,34,43,16,43,40,16,43,27,2.6875,False,True,False
2,29152,26,27,23,20,21,16,16,27,11,1.6875,False,True,False
2,37068,44,50,35,25,57,47,25,57,32,2.28,False,False,True
2,12969,2336,3985,20283,7761,11922,4342,2336,20283,17947,8.68279109589041,False,False,False
2,27516,87,79,64,70,91,71,64,91,27,1.421875,False,False,False
2,32603,22,40,69,22,41,34,22,69,47,3.1363636363636362,False,False,True
2,14034,79,57,50,75,80,74,50,80,30,1.6,False,False,True
2,36630,8,14,9,8,8,8,8,14,6,1.75,True,False,False
2,36533,36,24,14,30,9,13,9,36,27,4.0,True,True,False
2,36534,33,32,27,32,14,17,14,33,19,2.357142857142857,False,True,False
2,36631,23,18,10,18,11,14,10,23,13,2.3,True,True,False
2,36633,21,1,4,17,10,10,1,21,20,21.0,True,True,False
2,38581,60,73,57,60,48,59,48,73,25,1.5208333333333333,False,False,True
2,38582,129,229,172,128,111,134,111,229,118,2.063063063063063,False,False,False
2,24095,84,81,84,89,54,50,50,89,39,1.78,False,False,True
2,21072,62,49,17,65,58,57,17,65,48,3.823529411764706,False,True,True
2,20976,337,607,459,363,124,136,124,607,483,4.895161290322581,False,False,False
2,27508,86,55,34,87,77,88,34,88,54,2.588235294117647,False,False,True
2,27509,49,44,20,37,63,53,20,63,43,3.15,False,True,True
2,27510,64,65,44,53,106,79,44,106,62,2.409090909090909,False,False,True
2,27511,72,89,59,59,66,73,59,89,30,1.5084745762711864,False,False,False
2,9569,111,207,144,112,95,119,95,207,112,2.1789473684210527,False,False,False
2,34948,428,797,714,574,2764,974,428,2764,2336,6.457943925233645,False,False,False
2,20665,88,80,61,97,81,89,61,97,36,1.5901639344262295,False,False,False
2,10552,48,78,83,48,92,61,48,92,44,1.9166666666666667,False,False,True
2,3276,11,11,21,21,22,21,11,22,11,2.0,False,True,False
2,11871,139,193,290,123,140,155,123,290,167,2.3577235772357725,False,False,False
2,27812,80,124,220,84,125,105,80,220,140,2.75,False,False,False
2,11874,256,109,113,277,150,130,109,277,168,2.541284403669725,False,False,False
2,11878,150,199,249,137,103,169,103,249,146,2.4174757281553396,False,False,False
2,13500,230,457,731,316,200,192,192,731,539,3.8072916666666665,False,False,False
2,20957,233,2398,3098,513,8690,283,233,8690,8457,37.2961373390558,False,False,False
2,11840,615,1604,1160,772,427,553,427,1604,1177,3.756440281030445,False,False,False
2,11877,162,204,134,141,67,91,67,204,137,3.044776119402985,False,False,False
2,39880,103,116,139,115,72,99,72,139,67,1.9305555555555556,False,False,False
2,12165,106,123,100,109,94,101,94,123,29,1.3085106382978724,False,False,False
2,10550,61,76,89,66,129,85,61,129,68,2.1147540983606556,False,False,False
2,10553,53,107,126,55,205,76,53,205,152,3.8679245283018866,False,False,False
2,14418,40,41,38,38,30,35,30,41,11,1.3666666666666667,False,False,False
2,10306,115,133,99,79,75,109,75,133,58,1.7733333333333334,False,False,False
2,25320,121,188,96,125,74,104,74,188,114,2.5405405405405403,False,False,False
2,12130,130,144,110,114,134,154,110,154,44,1.4,False,False,False
2,35710,218,325,325,167,89,158,89,325,236,3.651685393258427,False,False,False
2,35712,99,118,102,102,42,52,42,118,76,2.8095238095238093,False,False,True
2,35711,71,64,46,67,20,42,20,71,51,3.55,False,True,True
2,29776,43,46,70,43,44,48,43,70,27,1.627906976744186,False,False,True
2,39498,210,312,165,190,243,199,165,312,147,1.8909090909090909,False,False,False
2,39496,54,42,68,58,38,66,38,68,30,1.7894736842105263,False,False,True
2,195,90,253,371,83,166,102,83,371,288,4.469879518072289,False,False,False
2,38628,9,7,7,6,12,9,6,12,6,2.0,True,False,False
2,34735,1,3,1,3,3,2,1,3,2,3.0,False,False,False
2,29736,15,28,40,33,64,45,15,64,49,4.266666666666667,False,True,True
