representation,retriever,cNDCG@10,cNDCG@20,Recall@10,Recall@20,Recall@50,MRR,ExactHit@20,JudgedCoverage@10,ExplicitIrrelevant@10,Unjudged@10,Top20BoundaryTied
C_order,BM25,0.7896118216070213,0.7987234071736085,0.056760941410517504,0.10673349826867443,0.22836137909114232,0.8347352384990174,0.8812664907651715,0.7885416666666667,0.055625,0.21145833333333333,0.04583333333333333
C_order,Dense,0.7360847272404486,0.7571716082621396,0.05081703786824667,0.0936078776624624,0.18955546323989325,0.7970718424337866,0.7440633245382586,0.709375,0.030000000000000006,0.290625,0.0
C_order,Hybrid,0.7823656797528177,0.7966327078222653,0.05972722208802619,0.1110375726515261,0.23139552221696427,0.8767683956233742,0.8759894459102903,0.8125,0.04083333333333334,0.1875,0.0020833333333333333
C_repeat,BM25,0.7926951928535043,0.8009873948992219,0.055795567418996744,0.10480421193475675,0.22301769999427057,0.8290674716691249,0.8891820580474934,0.76875,0.05333333333333334,0.23125,0.05
C_repeat,Dense,0.731132627306426,0.7512998431471922,0.048504102497943444,0.08835841205255845,0.181669350909542,0.7796031833727624,0.7467018469656992,0.6789583333333333,0.030000000000000002,0.3210416666666666,0.0
C_repeat,Hybrid,0.7820104467934875,0.7956462658350614,0.05847648454766737,0.10971946949983415,0.22787776522063244,0.8543364678023461,0.8733509234828496,0.7997916666666666,0.03729166666666666,0.20020833333333332,0.0020833333333333333
R0,BM25,0.7896118216070213,0.7987234071736085,0.056760941410517504,0.10673349826867443,0.22836137909114232,0.8347352384990174,0.8812664907651715,0.7885416666666667,0.055625,0.21145833333333333,0.04583333333333333
R0,Dense,0.7383319408499858,0.7572969925033974,0.04977166321877551,0.09302059825742656,0.1901470073955562,0.7978873435119286,0.762532981530343,0.6902083333333332,0.030208333333333334,0.30979166666666663,0.0
R0,Hybrid,0.7821872399537094,0.7959642951076912,0.05968154705900973,0.11209142367345673,0.23056756447297827,0.864827323868774,0.8733509234828496,0.8075,0.04208333333333334,0.19249999999999995,0.0125
R2,BM25,0.790964859002205,0.7999630101246517,0.05683084718980574,0.1067583802216504,0.22877943385718302,0.8362605275658852,0.8865435356200527,0.7883333333333333,0.055,0.21166666666666664,0.05
R2,Dense,0.7274151622536221,0.7500073070334906,0.047692752847242136,0.08711903146360442,0.17835468823353084,0.7803577925668639,0.7176781002638523,0.6677083333333333,0.0275,0.33229166666666665,0.0
R2,Hybrid,0.7788211015497195,0.7920300949593393,0.0578815612815118,0.10854549095932561,0.22630757601928017,0.8644620275934646,0.8601583113456465,0.7983333333333335,0.03791666666666667,0.20166666666666663,0.008333333333333333
R3,BM25,0.7908356577926473,0.7998606656124556,0.05670211318594855,0.10686285278893204,0.22898128250311564,0.8374086091398717,0.8865435356200527,0.7887500000000001,0.05541666666666667,0.21125,0.05416666666666667
R3,Dense,0.7484218179656633,0.7673666665220236,0.05056862794906053,0.09421032741289938,0.1951130047777119,0.8199276764843471,0.7730870712401056,0.7129166666666668,0.023958333333333335,0.28708333333333336,0.0
R3,Hybrid,0.7911693912436562,0.8046529209964703,0.06035419498504564,0.11232278394600403,0.2341305298413465,0.8792904266402157,0.8812664907651715,0.8227083333333333,0.035625000000000004,0.17729166666666665,0.008333333333333333
R4,BM25,0.7896118216070213,0.7987234071736085,0.056760941410517504,0.10673349826867443,0.22836137909114232,0.8347352384990174,0.8812664907651715,0.7885416666666667,0.055625,0.21145833333333333,0.04583333333333333
R4,Dense,0.7431994745435598,0.7620691790099534,0.05098904017834532,0.09444850385996274,0.1942087144111465,0.8089186364228923,0.7572559366754618,0.7045833333333335,0.027291666666666665,0.2954166666666667,0.0
R4,Hybrid,0.7852175552826418,0.7988248248804798,0.059791484384520435,0.11289148860580532,0.23285353249426516,0.867322361932573,0.8839050131926122,0.8141666666666667,0.03895833333333334,0.18583333333333332,0.0020833333333333333
R5,BM25,0.7908164489197385,0.7995236088095508,0.05675577446738369,0.106828697617334,0.22866910620748898,0.837512305502561,0.8812664907651715,0.7889583333333334,0.05541666666666667,0.21104166666666663,0.04791666666666667
R5,Dense,0.7486988622130336,0.7695555934191198,0.05274888038934129,0.09635705769541937,0.19800107901214437,0.8341944089819276,0.7467018469656992,0.7266666666666666,0.02041666666666667,0.2733333333333333,0.0
R5,Hybrid,0.7857181497754222,0.800214224838935,0.05967903401827873,0.1128471318461608,0.23555606103645935,0.8822581145799331,0.8601583113456465,0.8179166666666667,0.03208333333333334,0.18208333333333332,0.004166666666666667
R8,BM25,0.7928325826062972,0.8011705101542986,0.05581183362195333,0.10498676093559756,0.22308887155804702,0.8302639715766169,0.8891820580474934,0.76875,0.05333333333333334,0.23124999999999993,0.04791666666666667
R8,Dense,0.7387401768895246,0.7612052488732061,0.05088837394008578,0.0942307093672838,0.19476613219198702,0.8050019669523579,0.7546174142480211,0.7100000000000001,0.027291666666666665,0.29,0.0
R8,Hybrid,0.7878559187385406,0.8009209562070778,0.059205520005246356,0.11202886439592899,0.23425564429572188,0.862909572112962,0.8601583113456465,0.8116666666666668,0.034166666666666665,0.18833333333333332,0.0
