id,query_id,product_id,label
65,0,31306,Irrelevant
1325,12,34349,Exact
2380,24,696,Exact
11489,89,24413,Exact
13869,106,1990,Partial
21650,0,31306,Partial
21761,12,34349,Partial
21764,12,34349,Partial
21853,24,696,Partial
22346,89,24413,Partial
22448,106,1990,Irrelevant
30861,243,5766,Exact
31151,246,38402,Partial
34721,293,19210,Partial
35805,313,602,Partial
36794,327,22268,Exact
44039,421,29138,Exact
44958,425,40107,Partial
47531,444,15033,Partial
51996,243,5766,Partial
52061,246,38402,Irrelevant
52421,258,2076,Exact
52424,258,2076,Partial
53266,293,19210,Exact
53801,313,602,Irrelevant
53804,313,602,Irrelevant
54237,327,22268,Partial
56683,421,29138,Partial
56852,425,40107,Exact
57361,444,15033,Irrelevant
