representation,retriever,metric,mean,ci_low,ci_high,n_queries
C_order,BM25,cNDCG@10,0.7896118216070213,0.7672607149880015,0.8114149665952036,479
C_order,BM25,cNDCG@20,0.7987234071736085,0.7781044696973441,0.8187262856774918,479
C_order,BM25,Recall@10,0.056760941410517504,0.05086726710556856,0.0630503668341084,479
C_order,BM25,Recall@20,0.10673349826867443,0.09626693247608191,0.11770168493430583,479
C_order,BM25,Recall@50,0.22836137909114232,0.20845860196125704,0.24867779703681814,479
C_order,BM25,MRR,0.8347352384990174,0.8054594822330104,0.862891693100162,479
C_order,BM25,ExactHit@20,0.8812664907651715,0.8469656992084432,0.9129287598944591,379
C_order,BM25,JudgedCoverage@10,0.7885416666666667,0.7610364583333334,0.8145833333333333,480
C_order,BM25,ExplicitIrrelevant@10,0.055625,0.04291666666666667,0.06937499999999999,480
C_order,BM25,Unjudged@10,0.21145833333333333,0.18541666666666667,0.23896354166666656,480
C_order,BM25,Top20BoundaryTied,0.04583333333333333,0.027083333333333334,0.06458333333333334,480
C_order,Dense,cNDCG@10,0.7360847272404486,0.713498701722073,0.7581462142952667,479
C_order,Dense,cNDCG@20,0.7571716082621396,0.7371347509639353,0.7770810140551716,479
C_order,Dense,Recall@10,0.05081703786824667,0.04536430212910681,0.056666519729479,479
C_order,Dense,Recall@20,0.0936078776624624,0.08403865449513807,0.10397312901408702,479
C_order,Dense,Recall@50,0.18955546323989325,0.17270288806344716,0.2074412148994886,479
C_order,Dense,MRR,0.7970718424337866,0.7660622854841661,0.8268811857889741,479
C_order,Dense,ExactHit@20,0.7440633245382586,0.6992084432717678,0.7862796833773087,379
C_order,Dense,JudgedCoverage@10,0.709375,0.6804166666666667,0.7379166666666668,480
C_order,Dense,ExplicitIrrelevant@10,0.030000000000000006,0.021875,0.03875,480
C_order,Dense,Unjudged@10,0.290625,0.2620833333333333,0.3195833333333333,480
C_order,Dense,Top20BoundaryTied,0.0,0.0,0.0,480
C_order,Hybrid,cNDCG@10,0.7823656797528177,0.7606934370390209,0.8032822847673127,479
C_order,Hybrid,cNDCG@20,0.7966327078222653,0.777617455710604,0.8151083375946971,479
C_order,Hybrid,Recall@10,0.05972722208802619,0.053368191292606094,0.06660295053907836,479
C_order,Hybrid,Recall@20,0.1110375726515261,0.10037600661243812,0.12235312137373974,479
C_order,Hybrid,Recall@50,0.23139552221696427,0.21207269138367613,0.2514470645709197,479
C_order,Hybrid,MRR,0.8767683956233742,0.8506025031518397,0.9017048458810246,479
C_order,Hybrid,ExactHit@20,0.8759894459102903,0.841688654353562,0.9076517150395779,379
C_order,Hybrid,JudgedCoverage@10,0.8125,0.78625,0.8366666666666667,480
C_order,Hybrid,ExplicitIrrelevant@10,0.04083333333333334,0.030208333333333334,0.05229166666666667,480
C_order,Hybrid,Unjudged@10,0.1875,0.1633333333333333,0.21375,480
C_order,Hybrid,Top20BoundaryTied,0.0020833333333333333,0.0,0.00625,480
C_repeat,BM25,cNDCG@10,0.7926951928535043,0.7703915852003059,0.8141321644349591,479
C_repeat,BM25,cNDCG@20,0.8009873948992219,0.7804292022551287,0.8208828271940931,479
C_repeat,BM25,Recall@10,0.055795567418996744,0.049817009916482934,0.06214023984289869,479
C_repeat,BM25,Recall@20,0.10480421193475675,0.09426115261096452,0.1158495582981033,479
C_repeat,BM25,Recall@50,0.22301769999427057,0.20331078600876895,0.24345500270551335,479
C_repeat,BM25,MRR,0.8290674716691249,0.7988505832764617,0.858108503200072,479
C_repeat,BM25,ExactHit@20,0.8891820580474934,0.8548812664907651,0.920844327176781,379
C_repeat,BM25,JudgedCoverage@10,0.76875,0.740625,0.7952083333333334,480
C_repeat,BM25,ExplicitIrrelevant@10,0.05333333333333334,0.04125,0.06666666666666667,480
C_repeat,BM25,Unjudged@10,0.23125,0.20479166666666662,0.25937499999999997,480
C_repeat,BM25,Top20BoundaryTied,0.05,0.03125,0.07083333333333333,480
C_repeat,Dense,cNDCG@10,0.731132627306426,0.7086113154116536,0.7530170708311374,479
C_repeat,Dense,cNDCG@20,0.7512998431471922,0.7313998201624091,0.7710457941875135,479
