representation,retriever,k,exact_pairs,rescued,harmed,RelevantHidden_micro,ReverseHidden_micro,NetHidden_micro,net_macro,net_macro_ci_low,net_macro_ci_high,net_permutation_p,crossing_macro,crossing_macro_ci_low,crossing_macro_ci_high,rescued_from_zero_score
C_order,BM25,10,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
C_order,BM25,20,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
C_order,BM25,50,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
C_order,Dense,10,25470,416,405,0.016332940714566157,0.015901060070671377,0.00043188064389477815,-0.008897921661926112,-0.023342949783929777,0.0045968966157630305,0.2263773622637736,0.0642145715263396,0.051084027128224394,0.07864364164958208,0
C_order,Dense,20,25470,640,620,0.02512760109933255,0.024342363564978407,0.0007852375343541421,-0.0030227504770936474,-0.014632026078784008,0.008218761725268897,0.6120387961203879,0.06920325923666497,0.05841295464636915,0.08110586086501785,0
C_order,Dense,50,25470,1003,985,0.03937966234786023,0.0386729485669415,0.0007067137809187279,-0.03186439696528128,-0.05057123042673419,-0.015164739943516083,9.999000099990002e-05,0.10989953338842108,0.09242544150965272,0.12885511107578906,0
C_order,Hybrid,10,25470,344,331,0.013506085590891245,0.012995681193561053,0.0005104043973301924,-0.009190498686623489,-0.026732273644983096,0.0071389589304819865,0.290970902909709,0.06913216681239642,0.05366494671620289,0.0863118870775421,0
C_order,Hybrid,20,25470,488,474,0.019159795838241067,0.018610129564193167,0.0005496662740478995,-0.0005550555363833842,-0.01398937162277271,0.012877154606761306,0.9388061193880612,0.06717179993677196,0.05428970163946219,0.08174144881186214,0
C_order,Hybrid,50,25470,674,686,0.02646250490773459,0.026933647428347075,-0.0004711425206124853,-0.010363406147628648,-0.020639871537302942,-0.0015293350939269332,0.031096890310968902,0.05703956922248429,0.047611812045614724,0.06783562124854561,0
C_repeat,BM25,10,25470,80,69,0.0031409501374165686,0.0027090694935217904,0.00043188064389477815,0.003868039320631609,0.000229475219678274,0.008309590926327225,0.056694330566943306,0.01395286531422402,0.0094716317754032,0.019194908132531427,0
C_repeat,BM25,20,25470,117,110,0.004593639575971731,0.0043188064389477815,0.00027483313702394974,0.013868392236135797,0.004490686282688552,0.025160665046927787,0.0027997200279972004,0.027629772163198667,0.0184015906676357,0.03873337673691137,0
C_repeat,BM25,50,25470,168,135,0.006595995288574794,0.00530035335689046,0.0012956419316843344,0.0011895823478227277,-0.003731387830652345,0.005657872294982766,0.638936106389361,0.017490884332399866,0.013263017068061562,0.022363903555692434,0
C_repeat,Dense,10,25470,381,430,0.014958775029446408,0.016882606988614057,-0.0019238319591676483,-0.03181931554160538,-0.04972378089858383,-0.015257995101787275,0.0004999500049995,0.07263657160181645,0.05656622366687737,0.0906237452154543,0
C_repeat,Dense,20,25470,551,651,0.021633294071456616,0.025559481743227325,-0.0039261876717707105,-0.018615712840359417,-0.03326108024930341,-0.005509101322049132,0.0071992800719928,0.0779121414809174,0.06533426339231545,0.09212536398441529,0
C_repeat,Dense,50,25470,842,991,0.03305850019630938,0.038908519827247745,-0.0058500196309383586,-0.039577597656623435,-0.058008863785956696,-0.022770258316841725,9.999000099990002e-05,0.09836896623594768,0.08195756149258002,0.11618029678501077,0
C_repeat,Hybrid,10,25470,326,334,0.012799371809972517,0.013113466823714174,-0.00031409501374165687,-0.011688451607144606,-0.02685365452109426,0.0018368494767117636,0.11328867113288671,0.056970326422440765,0.04338417095477741,0.07211152808340981,0
C_repeat,Hybrid,20,25470,443,457,0.01739301138594425,0.01794267765999215,-0.0005496662740478995,-0.005357124689913649,-0.020065486357295378,0.008739932688204515,0.47295270472952705,0.06558737465289538,0.05168483131992283,0.0815785123464411,0
C_repeat,Hybrid,50,25470,603,654,0.023674911660777384,0.025677267373380448,-0.0020023557126030624,-0.004789810886747594,-0.014109435029334712,0.003443412227531513,0.30616938306169383,0.053514611220660535,0.04514691873866874,0.06294133189354346,0
R2,BM25,10,25470,54,55,0.0021201413427561835,0.0021594032194738907,-3.926187671770711e-05,0.0009028312698293396,-0.0006144669749992846,0.0031844298313295364,0.48065193480651935,0.00612741397897577,0.0037678162097500322,0.008985645246511513,0
R2,BM25,20,25470,78,68,0.003062426383981154,0.0026698076168040832,0.00039261876717707107,0.0017425138855305495,-0.0005817321214791456,0.004988174785627601,0.26617338266173385,0.007484012557589752,0.004888949988471443,0.01099096858776516,0
R2,BM25,50,25470,96,92,0.003769140164899882,0.003612092658029054,0.00015704750687082843,-0.00026528568127709727,-0.0041283659918064115,0.0036326840840701044,0.8237176282371763,0.006993156071544437,0.0038325705227029963,0.011242324200906232,0
R2,Dense,10,25470,317,422,0.012446014919513153,0.0165685119748724,-0.004122497055359246,-0.04333525311227392,-0.06182404658036376,-0.026657851710754583,9.999000099990002e-05,0.07342698873335589,0.05644188738011574,0.09213094008623028,0
R2,Dense,20,25470,484,619,0.01900274833137024,0.0243031016882607,-0.00530035335689046,-0.023756172896330124,-0.039505422468689454,-0.008854641650920234,0.0020997900209979003,0.07909575026390818,0.06509656795520623,0.09465760101867807,0
R2,Dense,50,25470,756,960,0.029681978798586573,0.03769140164899882,-0.00800942285041225,-0.03965270093447295,-0.05740247319876435,-0.023166186853694454,9.999000099990002e-05,0.09997320722487411,0.08439960284586462,0.11683093041379985,0
R2,Hybrid,10,25470,281,301,0.011032587357675696,0.011817824892029838,-0.0007852375343541421,-0.018571659301988577,-0.033668037311639656,-0.005426049805187887,0.007799220077992201,0.05711935860842973,0.0437070384844664,0.07193335996509079,0
R2,Hybrid,20,25470,366,439,0.0143698468786808,0.017235963879073418,-0.0028661170003926187,-0.017636037130962078,-0.030350483728552417,-0.005152060178211748,0.0047995200479952005,0.057150932796089515,0.04545714848243139,0.07005881700473116,0
R2,Hybrid,50,25470,537,625,0.021083627797408716,0.02453867294856694,-0.003455045151158225,-0.013055457279900097,-0.025771892098946883,-0.002199898557327022,0.027797220277972202,0.05491140191300794,0.04412251611191503,0.06757040815920429,0
R3,BM25,10,25470,70,70,0.0027483313702394976,0.0027483313702394976,0.0,0.0012278394769112651,-0.0004949759938065049,0.0036658125166449313,0.28147185281471854,0.00766249296722627,0.005032424734539702,0.01075364489423307,0
R3,BM25,20,25470,102,91,0.004004711425206125,0.0035728307813113467,0.00043188064389477815,0.004038246713152325,-0.0004584439595878442,0.010969878140600915,0.22777722227777222,0.011200775153078468,0.006395529001085468,0.018157776701544864,0
R3,BM25,50,25470,132,122,0.005182567726737338,0.004789948959560267,0.00039261876717707107,0.0001966257758547235,-0.003686236505432039,0.0041480176932941395,0.8805119488051195,0.008514576564778987,0.005250041736547183,0.01276672651852507,0
R3,Dense,10,25470,549,490,0.0215547703180212,0.019238319591676482,0.0023164507263447195,0.005118323320409244,-0.010371221578689634,0.020897905874695453,0.5357464253574643,0.08675701795418021,0.07081074859397501,0.1042665478188015,0
R3,Dense,20,25470,830,734,0.0325873576756969,0.028818217510797016,0.003769140164899882,0.005535479156304437,-0.010004059015361288,0.02072080394767341,0.48665133486651335,0.09765481532391324,0.0830058787594432,0.1140831221427989,0
R3,Dense,50,25470,1308,1027,0.051354534746760896,0.0403219473890852,0.011032587357675696,0.0007604883315538327,-0.01660062728575975,0.017509939439775583,0.9304069593040696,0.11177628252512611,0.09612711760578972,0.12836743727730357,0
R3,Hybrid,10,25470,428,381,0.01680408323517864,0.014958775029446408,0.001845308205732234,-0.006156287232664562,-0.020568396939910166,0.0069896899042269775,0.3955604439556044,0.06599649012600609,0.05302447826095146,0.0802902982564203,0
R3,Hybrid,20,25470,614,551,0.024106792304672164,0.021633294071456616,0.0024734982332155478,0.00866733118383876,-0.008734965922922775,0.026204463961369738,0.3418658134186581,0.08916810989553754,0.07307335265397817,0.10719959303258528,0
R3,Hybrid,50,25470,838,726,0.03290145268943855,0.02850412249705536,0.004397330192383196,-0.0030027611620003754,-0.014245230912998607,0.006509125582507139,0.5934406559344065,0.061592405910580066,0.05157636832772767,0.0730727369936554,0
R4,BM25,10,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
R4,BM25,20,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
R4,BM25,50,25470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
R4,Dense,10,25470,248,211,0.009736945425991362,0.0082842559874362,0.001452689438555163,0.0007383316060694634,-0.009598913023717806,0.01011938459971114,0.8935106489351065,0.033281877123613635,0.02448317236777904,0.044064635031915454,0
R4,Dense,20,25470,367,308,0.014409108755398508,0.012092658029053788,0.0023164507263447195,-0.0015390700152701478,-0.01022285550679349,0.006026469440381554,0.7267273272672733,0.03765212123311078,0.029625112739574508,0.04687609027469152,0
R4,Dense,50,25470,640,451,0.02512760109933255,0.017707106399685906,0.007420494699646643,0.00032689775830283007,-0.010246812897149338,0.009519318305698337,0.9519048095190481,0.05287013666174494,0.0438633506036449,0.06329347289090029,0
R4,Hybrid,10,25470,197,168,0.0077345897133883,0.006595995288574794,0.0011385944248135061,0.0030151060668721173,-0.00657753038540811,0.01239101562729117,0.5542445755424458,0.03277330725558877,0.02405668123799701,0.04282550165896709,0
R4,Hybrid,20,25470,312,269,0.012249705535924617,0.010561444837063212,0.0016882606988614056,0.009719171156107945,-0.0014444279446669869,0.021969802313864768,0.10668933106689331,0.04382945965914588,0.033097663974600115,0.05645034485939409,0
R4,Hybrid,50,25470,396,331,0.015547703180212015,0.012995681193561053,0.002552021986650962,-0.002867416859035634,-0.012088950671938596,0.004378820941420745,0.5154484551544846,0.03269267601023759,0.02520694888904186,0.04213010098462834,0
R5,BM25,10,25470,35,31,0.0013741656851197488,0.0012171181782489203,0.00015704750687082843,0.0008767148593561592,-0.0002763003595179681,0.0028489009563165916,0.5113488651134886,0.003916754495856636,0.00198366767997163,0.006447943467080556,0
R5,BM25,20,25470,42,37,0.0016489988221436984,0.001452689438555163,0.00019630938358853554,-0.0003423154436293318,-0.0015163763296961712,0.0005825818457329832,0.5758424157584242,0.00354203162284813,0.0022698570792424257,0.005033974085521981,0
R5,BM25,50,25470,63,65,0.0024734982332155478,0.002552021986650962,-7.852375343541422e-05,0.0006457512484984195,-0.0013768473332541496,0.00382673573318641,0.9379062093790621,0.004172362684800397,0.002139074575315897,0.0074717500567031804,0
R5,Dense,10,25470,663,603,0.02603062426383981,0.023674911660777384,0.002355712603062426,-0.016830862583363897,-0.03570529449586672,0.0011847066797756956,0.0755924407559244,0.10188665862410004,0.08461690216075043,0.1206586839432345,0
R5,Dense,20,25470,1040,925,0.040832351786415394,0.03631723596387907,0.004515115822536317,-0.01022561935506106,-0.027844429375047237,0.006274330493106171,0.25207479252074794,0.12411465474948974,0.10751260769619371,0.14165640864179174,0
R5,Dense,50,25470,1659,1389,0.06513545347467609,0.05453474676089517,0.01060070671378092,-0.015270157506357766,-0.035688295336285536,0.0031743396279756784,0.1297870212978702,0.1510698503931306,0.13391349078271142,0.16932686101912975,0
R5,Hybrid,10,25470,515,487,0.02021986650961916,0.01912053396152336,0.001099332548095799,-0.02581457981491526,-0.044132944950203874,-0.009407845201538988,0.0044995500449955,0.09064882689469075,0.07385876011378574,0.10910024462399943,0
R5,Hybrid,20,25470,746,685,0.0292893600314095,0.026894385551629367,0.0023949744797801334,-0.01838660969750574,-0.03545559270926739,-0.0034169070148597695,0.0245975402459754,0.09419341332710297,0.07898523563338855,0.11110335972091184,0
R5,Hybrid,50,25470,1035,942,0.04063604240282685,0.036984687868080096,0.003651354534746761,-0.004369080614499812,-0.017425210696463182,0.007006968153098286,0.5036496350364964,0.08373414127527162,0.07146731457599521,0.09697998074469473,0
R8,BM25,10,25470,85,73,0.003337259521005104,0.0028661170003926187,0.0004711425206124853,0.0038295064384524587,0.00021745804290268267,0.008244397113994146,0.0608939106089391,0.014488035625861095,0.009959779930055071,0.019762179599442112,0
R8,BM25,20,25470,128,118,0.00502552021986651,0.004632901452689439,0.00039261876717707107,0.01269136531244966,0.0042139832267985245,0.02302716979522381,0.0022997700229977,0.02702663925226677,0.018754084479428095,0.03710289581171636,0
R8,BM25,50,25470,185,151,0.0072634471927758145,0.005928543384373773,0.0013349038084020416,0.0006176697980338769,-0.0043253763602769425,0.005109630891092615,0.809019098090191,0.01854141645013899,0.014301980650283949,0.023373848408963005,0
R8,Dense,10,25470,410,390,0.016097369454259915,0.015312131919905771,0.0007852375343541421,-0.01899643429422452,-0.03500394605973784,-0.004190292814308074,0.016198380161983803,0.06390967209044775,0.049879516101098094,0.07967087708938528,0
R8,Dense,20,25470,649,581,0.025480957989791914,0.02281115037298783,0.0026698076168040832,-0.0056772576426368775,-0.01804268579099306,0.005769558917225573,0.3581641835816418,0.07199005130749235,0.06086434933335025,0.084493640488849,0
R8,Dense,50,25470,1040,859,0.040832351786415394,0.0337259521005104,0.007106399685904987,-0.011252572019110835,-0.02718651787152376,0.0026664443971150596,0.1496850314968503,0.09274438528907102,0.07843001580511604,0.10848607811728647,0
R8,Hybrid,10,25470,361,322,0.014173537495092266,0.012642324303101688,0.001531213191990577,-0.0030573004551568673,-0.01671534754304389,0.009411058873654258,0.6685331466853315,0.057357846272831296,0.04479501015088769,0.07117438976054706,0
R8,Hybrid,20,25470,485,431,0.019042010208087948,0.016921868865331764,0.0021201413427561835,-0.001456970753743136,-0.013948170368215832,0.011251084416546524,0.825917408259174,0.06021720380496883,0.048542365572639835,0.07331083103929725,0
R8,Hybrid,50,25470,672,573,0.026383981154299175,0.022497055359246173,0.0038869257950530037,0.0027962084701407684,-0.007799203213882857,0.011923386430814231,0.6044395560443956,0.054683441195613545,0.045332652450429674,0.06578204713775758,0
