dataset,model,method,common_query_hash,full_score_max_error,highest_rank_mismatches,catalog_order_verified
wands,minilm,set_mean,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,0.0,0,True
wands,minilm,centroid_2,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,0.0,0,True
wands,minilm,max_2,b76dc0151e3c27249b48dc62d52a747af68aee260f52eb86cc4a6b1df32c7379,0.0,0,True
wands,bge_base,set_mean,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,centroid_2,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,max_2,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,centroid_4,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,max_4,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,centroid_7,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
wands,bge_base,max_7,a1a4ca77db4010228ad7597ef97e7c4cd1a13edd6ff9e52e01eb9821c53cc8f7,0.0,0,True
esci,minilm,set_mean,4b002be8bc0b79f5a98ea4d8cbd2055f3403e99897f2e5325e7314ebc31a6fcd,0.0,0,True
esci,minilm,centroid_2,4b002be8bc0b79f5a98ea4d8cbd2055f3403e99897f2e5325e7314ebc31a6fcd,0.0,0,True
esci,minilm,max_2,4b002be8bc0b79f5a98ea4d8cbd2055f3403e99897f2e5325e7314ebc31a6fcd,0.0,0,True
esci,bge_base,set_mean,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,centroid_2,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,max_2,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,centroid_4,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,max_4,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,centroid_7,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
esci,bge_base,max_7,1c712f927ab9afa42a1ed49901cab8772d0019b770499338c74fc5480125df54,0.0,0,True
