dataset,model,encoder_profile,catalog_size,population,K,reference,alternative,comparison_role,rank_origin,intervention,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total
wands,minilm,native,42994,historical_full,20,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,261,76,0.20052770448548812,0.29118773946360155,379,261,79,106,0.01764659371657176,0.037148597146557036,0.03529318743314352,0.045985550842365754,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6411609498680739,0.7335092348284961,0.16094986807387862,0.24010554089709762,0.23684210526315788,0.3467153284671533,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.2921067304212829,0.2598473453437972,0.3252371498750529,0.04063936913775464,0.033839689695826486,0.0482092030427144,0.060141372567739916,0.0474140947093063,0.0745127318150029,-0.01950200342998528,-0.03581169410392196,-0.0048105392495296235,0.10078074170549456,0.08611891055299453,0.11653500855171428,1994,760,796,21920
wands,minilm,native,42994,historical_full,20,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,261,76,0.20052770448548812,0.29118773946360155,379,261,79,106,0.01764659371657176,0.037148597146557036,0.03529318743314352,0.045985550842365754,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6411609498680739,0.7335092348284961,0.16094986807387862,0.24010554089709762,0.23684210526315788,0.3467153284671533,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10812720848056537,0.09324873367827559,0.12604277172055625,0.0298390263054574,0.0261575694683979,0.034238304649413465,0.031252453867294853,0.027273333965729448,0.035809873021995994,-0.0014134275618374558,-0.003630317799621339,0.0007343187295273661,0.06109148017275226,0.053672289415385155,0.06958733781197046,1994,760,796,21920
wands,minilm,native,42994,historical_full,20,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,255,69,0.1820580474934037,0.27058823529411763,379,255,93,93,0.01835063595598204,0.024338538906212213,0.03670127191196408,0.03964410365141226,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6253298153034301,0.7203166226912929,0.1424802110817942,0.22163588390501318,0.21641791044776118,0.326007326007326,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.305620830901038,0.2723124931096984,0.33930922077168907,0.03817268778168817,0.03109091032042304,0.046493762589553046,0.044160590731918345,0.03467352382333845,0.0551779829666742,-0.005987902950230175,-0.019181903263629917,0.0065999243973320805,0.08233327851360651,0.07016873273994201,0.09602800722286421,2069,712,721,21968
wands,minilm,native,42994,historical_full,20,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,255,69,0.1820580474934037,0.27058823529411763,379,255,93,93,0.01835063595598204,0.024338538906212213,0.03670127191196408,0.03964410365141226,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6253298153034301,0.7203166226912929,0.1424802110817942,0.22163588390501318,0.21641791044776118,0.326007326007326,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10918727915194346,0.09409173248512147,0.12718174422457365,0.02795445622300746,0.02444332473316466,0.032008671360956926,0.028307813113466824,0.02489495616062491,0.03223848028244412,-0.00035335689045936394,-0.0022878299182588382,0.0016087436840418092,0.05626226933647428,0.04951935711868894,0.06402500351230225,2069,712,721,21968
wands,minilm,native,42994,historical_full,20,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,245,75,0.19788918205804748,0.30612244897959184,379,245,84,86,0.014269371156724789,0.025575926145045388,0.028538742313449578,0.041115301987396095,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5989445910290238,0.6939313984168866,0.158311345646438,0.23746701846965698,0.24897916843085782,0.36404273765809864,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.3003021788629476,0.2665484911779381,0.3345175268493267,0.03482702215042284,0.028404084969636388,0.04268299626670521,0.046133577138743435,0.035949513507598625,0.058168753829405236,-0.011306554988320602,-0.024754944416759888,0.0012350737261970582,0.08096059928916628,0.06811144832543387,0.09535476451945336,2073,720,717,21960
wands,minilm,native,42994,historical_full,20,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,245,75,0.19788918205804748,0.30612244897959184,379,245,84,86,0.014269371156724789,0.025575926145045388,0.028538742313449578,0.041115301987396095,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5989445910290238,0.6939313984168866,0.158311345646438,0.23746701846965698,0.24897916843085782,0.36404273765809864,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10965842167255595,0.09460338324676502,0.1276962700644917,0.028268551236749116,0.02498466545416586,0.03208340547709649,0.028150765606595997,0.024769559909915594,0.03214768277024726,0.00011778563015312132,-0.0019374845047130825,0.002106062935898893,0.05641931684334511,0.04999205561715683,0.06392598373400551,2073,720,717,21960
wands,minilm,native,42994,historical_full,20,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,243,75,0.19788918205804748,0.30864197530864196,379,243,79,89,0.010914796857992817,0.02994328241350057,0.021829593715985633,0.04491354847411192,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5910290237467019,0.6886543535620053,0.158311345646438,0.24010554089709762,0.2510283900634778,0.36666666666666664,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.29258024829576046,0.25975157297912244,0.32558485713124735,0.03337157109504878,0.02786496744958471,0.03927920033964536,0.052400056650556526,0.0399113237649754,0.06697725970685672,-0.019028485555507752,-0.03423198291904422,-0.0061967300217924525,0.0857716277456053,0.07117763369994815,0.10170878632578587,2077,704,713,21976
wands,minilm,native,42994,historical_full,20,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,243,75,0.19788918205804748,0.30864197530864196,379,243,79,89,0.010914796857992817,0.02994328241350057,0.021829593715985633,0.04491354847411192,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5910290237467019,0.6886543535620053,0.158311345646438,0.24010554089709762,0.2510283900634778,0.36666666666666664,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10918727915194346,0.09419208002030972,0.12721789161930824,0.0276403612092658,0.02415554993855057,0.03176848209489476,0.027993718099725166,0.024366052193944814,0.03213606946943532,-0.00035335689045936394,-0.002275034864504073,0.001561710104936551,0.05563407930899097,0.04876080552478812,0.06361243188843728,2077,704,713,21976
wands,minilm,native,42994,historical_full,20,C0,C2s4,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,245,81,0.21372031662269128,0.3306122448979592,379,245,79,85,0.0162561477701097,0.02568130460265297,0.0325122955402194,0.04262777043751854,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5989445910290238,0.6939313984168866,0.1741424802110818,0.2559366754617414,0.270267545771578,0.3900414937759336,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.3021835770187249,0.26896789112765795,0.3361318495949392,0.037570032988868976,0.029591464197006576,0.04744100340451162,0.04699518982141225,0.03608976888815125,0.059766211131480264,-0.009425156832543276,-0.024232076274749798,0.005072004049794082,0.08456522281028121,0.07054077573612204,0.10071392553206929,2073,725,717,21955
wands,minilm,native,42994,historical_full,20,C0,C2s4,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,245,81,0.21372031662269128,0.3306122448979592,379,245,79,85,0.0162561477701097,0.02568130460265297,0.0325122955402194,0.04262777043751854,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5989445910290238,0.6939313984168866,0.1741424802110818,0.2559366754617414,0.270267545771578,0.3900414937759336,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10985473105614449,0.0949858562954629,0.12778265520827967,0.02846486062033765,0.02515723339100491,0.032317649785847856,0.028150765606595997,0.024723982298797634,0.03216228351710396,0.00031409501374165687,-0.0014439548011083976,0.002063984574896779,0.05661562622693365,0.05007535031390772,0.06417466166400172,2073,725,717,21955
wands,minilm,native,42994,historical_full,20,C0,C2s5,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,249,80,0.21108179419525067,0.321285140562249,379,249,80,89,0.01594101848196107,0.024330333705336177,0.03188203696392214,0.04518470948020211,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6094986807387863,0.7044854881266491,0.17150395778364116,0.2532981530343008,0.26382978723404255,0.37974928858796975,10000,query_macro,0.3116087338512682,0.27801072857391435,0.34597856531868987,0.3032194186278931,0.2701584841155448,0.33701650403227745,0.03853337322206212,0.031245740960519245,0.04713975497435375,0.04692268844543723,0.03719196734436086,0.058471782171981165,-0.008389315223375104,-0.02170512095375967,0.004196784576647134,0.08545606166749938,0.07234302507217405,0.09982867027857781,2073,728,717,21952
wands,minilm,native,42994,historical_full,20,C0,C2s5,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,379,25470,249,80,0.21108179419525067,0.321285140562249,379,249,80,89,0.01594101848196107,0.024330333705336177,0.03188203696392214,0.04518470948020211,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6094986807387863,0.7044854881266491,0.17150395778364116,0.2532981530343008,0.26382978723404255,0.37974928858796975,10000,pair_micro,0.10954063604240283,0.09445795073762142,0.12773006123777084,0.10997251668629761,0.09490559420346234,0.12797726179608754,0.028582646250490774,0.02513673891077928,0.03258936009190697,0.028150765606595997,0.02472060110163527,0.032232940338719554,0.00043188064389477815,-0.001310226474255328,0.002210017438928666,0.05673341185708677,0.04992133547052969,0.06459227026985571,2073,728,717,21952
wands,minilm,native,42994,historical_full,20,C1,C2s1,supplement_all_pairs,inherited complete-catalog exact ranks,catalog_wide,379,25470,255,70,0.18469656992084432,0.27450980392156865,379,255,102,83,0.027861878137458808,0.014347777657703708,0.028695555315407417,0.03979376171921919,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6253298153034301,0.7203166226912929,0.14511873350923482,0.22427440633245382,0.22,0.3305447975379508,10000,query_macro,0.2921067304212829,0.2598473453437972,0.3252371498750529,0.305620830901038,0.2723124931096984,0.33930922077168907,0.047758758997068405,0.03740939476697797,0.059765679500471146,0.0342446585173133,0.02860323623300748,0.040527793287851145,0.013514100479755101,0.001792557581953101,0.026449419563504644,0.08200341751438171,0.06973028676171722,0.09552103042970433,2067,714,687,22002
