dataset,model,schedule,score_and_load_seconds,full_rank_fusion_sort_seconds,scope
wands,minilm,C0,1.3551823000889271,3.926600300008431,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C1,1.220653499942273,4.2203412998933345,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C2s1,1.5391534001100808,4.225371800130233,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C2s2,1.2866434000898153,4.514531300170347,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C2s3,1.158555099973455,4.900691199814901,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C2s4,2.615842199884355,5.425458899931982,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,minilm,C2s5,1.4540250001009554,4.77008319995366,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C0,1.5166219000238925,4.355165999848396,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C1,1.8493351000361145,4.2743438999168575,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C2s1,1.7132789001334459,4.143049899954349,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C2s2,1.5432362998835742,4.247919300105423,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C2s3,1.4503434000071138,4.564886300126091,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C2s4,1.491936600068584,4.4272076999768615,one completion execution; includes Python and I/O; not cold encoding or ANN latency
wands,bge_base,C2s5,1.3663861998356879,4.127622500061989,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C0,0.3391693998128176,1.2246020999737084,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C1,0.46126859984360635,1.0774353998713195,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C2s1,0.2582493999507278,1.1594253000803292,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C2s2,0.44768789992667735,1.072590900119394,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C2s3,0.2447144000325352,1.1255858999211341,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C2s4,0.45689460006542504,1.2074287999421358,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,minilm,C2s5,0.2851725001819432,1.258953700074926,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C0,0.6324497000314295,1.1521350999828428,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C1,0.3197967999149114,1.429368699900806,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C2s1,0.35131940012797713,1.068547299830243,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C2s2,0.30110969999805093,1.501348900143057,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C2s3,0.30486469995230436,1.0615439000539482,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C2s4,0.33084630011580884,1.4838056999724358,one completion execution; includes Python and I/O; not cold encoding or ANN latency
esci,bge_base,C2s5,0.33464109990745783,0.9819789999164641,one completion execution; includes Python and I/O; not cold encoding or ANN latency
