dataset,model,schedule,highest_label_pairs,saved_rank_mismatches,max_rank_difference,max_highest_score_difference,C0_saved_fullscore_reconstruction_max_error,C0_hybrid_rank_exact,C0_hybrid_fullscore_exact,score_source,query_embedding,product_embedding,catalog_size,dtype,ties,raw_membership_mismatches_K20,raw_membership_mismatches_K100
wands,minilm,C0,21299,0,0,1.1920928955078125e-07,0.0,True,True,Phase IV saved Original full scores,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C1,21299,0,0,1.4901161193847656e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C1_3ee547664d76abcf96a3.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C2s1,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C2s1_45a99b07f4ca9c5d5955.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C2s2,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C2s2_5151741b5fee5b3e0e51.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C2s3,21299,0,0,5.960464477539063e-08,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C2s3_aedd8c4e450966998fc9.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C2s4,21299,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C2s4_3edebedc49da2802393b.npy,42994,float32,fixed catalog index,0,0
wands,minilm,C2s5,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,phase2/results/embeddings/wands_minilm_native_C2s5_ad55c02317988c151d70.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C0,21299,0,0,1.1920928955078125e-07,0.0,True,True,Phase IV saved Original full scores,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C0_3a16535a80738388b384.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C1,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C1_b252c980dd5208f38418.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C2s1,21299,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C2s1_99243d606aecfe6e2e17.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C2s2,21299,0,0,1.7881393432617188e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C2s2_d018d3290df3f3e4eb05.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C2s3,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C2s3_5204e915443fc9e769b4.npy,42994,float32,fixed catalog index,0,0
wands,bge_base,C2s4,21299,0,0,1.1920928955078125e-07,,,,FP32 full-matrix dot product of historical embeddings,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,phase2/results/embeddings/wands_bge_base_native_C2s4_b7437acffd0f07fb0059.npy,42994,float32,fixed catalog index,0,0
