dataset,model,method,K,eligible_queries,highest_label_pairs,catalog_size
wands,minilm,raw_seven,20,308,21299,42994
wands,minilm,raw_C0,20,308,21299,42994
wands,minilm,lexical_ascending,20,308,21299,42994
wands,minilm,lexical_descending,20,308,21299,42994
wands,minilm,field_priority_type,20,308,21299,42994
wands,minilm,set_mean,20,308,21299,42994
wands,minilm,centroid_2,20,308,21299,42994
wands,minilm,max_2,20,308,21299,42994
wands,minilm,BM25,20,308,21299,42994
wands,minilm,hybrid_seven,20,308,21299,42994
wands,minilm,reconstructed_raw_seven,20,308,21299,42994
wands,minilm,raw_seven,100,308,21299,42994
wands,minilm,raw_C0,100,308,21299,42994
wands,minilm,lexical_ascending,100,308,21299,42994
wands,minilm,lexical_descending,100,308,21299,42994
wands,minilm,field_priority_type,100,308,21299,42994
wands,minilm,set_mean,100,308,21299,42994
wands,minilm,centroid_2,100,308,21299,42994
wands,minilm,max_2,100,308,21299,42994
wands,minilm,BM25,100,308,21299,42994
wands,minilm,hybrid_seven,100,308,21299,42994
wands,minilm,reconstructed_raw_seven,100,308,21299,42994
wands,bge_base,raw_seven,20,308,21299,42994
wands,bge_base,raw_C0,20,308,21299,42994
wands,bge_base,lexical_ascending,20,308,21299,42994
wands,bge_base,lexical_descending,20,308,21299,42994
wands,bge_base,field_priority_type,20,308,21299,42994
wands,bge_base,set_mean,20,308,21299,42994
wands,bge_base,centroid_2,20,308,21299,42994
wands,bge_base,max_2,20,308,21299,42994
wands,bge_base,BM25,20,308,21299,42994
wands,bge_base,centroid_4,20,308,21299,42994
wands,bge_base,max_4,20,308,21299,42994
wands,bge_base,centroid_7,20,308,21299,42994
wands,bge_base,max_7,20,308,21299,42994
wands,bge_base,hybrid_seven,20,308,21299,42994
wands,bge_base,reconstructed_raw_seven,20,308,21299,42994
wands,bge_base,raw_seven,100,308,21299,42994
wands,bge_base,raw_C0,100,308,21299,42994
wands,bge_base,lexical_ascending,100,308,21299,42994
wands,bge_base,lexical_descending,100,308,21299,42994
wands,bge_base,field_priority_type,100,308,21299,42994
wands,bge_base,set_mean,100,308,21299,42994
wands,bge_base,centroid_2,100,308,21299,42994
wands,bge_base,max_2,100,308,21299,42994
wands,bge_base,BM25,100,308,21299,42994
wands,bge_base,centroid_4,100,308,21299,42994
wands,bge_base,max_4,100,308,21299,42994
wands,bge_base,centroid_7,100,308,21299,42994
wands,bge_base,max_7,100,308,21299,42994
wands,bge_base,hybrid_seven,100,308,21299,42994
wands,bge_base,reconstructed_raw_seven,100,308,21299,42994
wands,gte_modernbert,raw_seven,20,308,21299,42994
wands,gte_modernbert,raw_C0,20,308,21299,42994
wands,gte_modernbert,lexical_ascending,20,308,21299,42994
wands,gte_modernbert,lexical_descending,20,308,21299,42994
wands,gte_modernbert,field_priority_type,20,308,21299,42994
wands,gte_modernbert,raw_seven,100,308,21299,42994
wands,gte_modernbert,raw_C0,100,308,21299,42994
wands,gte_modernbert,lexical_ascending,100,308,21299,42994
wands,gte_modernbert,lexical_descending,100,308,21299,42994
wands,gte_modernbert,field_priority_type,100,308,21299,42994
esci,minilm,raw_seven,20,499,4434,10076
esci,minilm,raw_C0,20,499,4434,10076
esci,minilm,lexical_ascending,20,499,4434,10076
esci,minilm,lexical_descending,20,499,4434,10076
esci,minilm,field_priority_type,20,499,4434,10076
esci,minilm,set_mean,20,499,4434,10076
esci,minilm,centroid_2,20,499,4434,10076
esci,minilm,max_2,20,499,4434,10076
esci,minilm,BM25,20,499,4434,10076
esci,minilm,hybrid_seven,20,499,4434,10076
esci,minilm,reconstructed_raw_seven,20,499,4434,10076
esci,minilm,raw_seven,100,499,4434,10076
esci,minilm,raw_C0,100,499,4434,10076
esci,minilm,lexical_ascending,100,499,4434,10076
esci,minilm,lexical_descending,100,499,4434,10076
esci,minilm,field_priority_type,100,499,4434,10076
esci,minilm,set_mean,100,499,4434,10076
esci,minilm,centroid_2,100,499,4434,10076
esci,minilm,max_2,100,499,4434,10076
esci,minilm,BM25,100,499,4434,10076
esci,minilm,hybrid_seven,100,499,4434,10076
esci,minilm,reconstructed_raw_seven,100,499,4434,10076
esci,bge_base,raw_seven,20,499,4434,10076
esci,bge_base,raw_C0,20,499,4434,10076
esci,bge_base,lexical_ascending,20,499,4434,10076
esci,bge_base,lexical_descending,20,499,4434,10076
esci,bge_base,field_priority_type,20,499,4434,10076
esci,bge_base,set_mean,20,499,4434,10076
esci,bge_base,centroid_2,20,499,4434,10076
esci,bge_base,max_2,20,499,4434,10076
esci,bge_base,BM25,20,499,4434,10076
esci,bge_base,centroid_4,20,499,4434,10076
esci,bge_base,max_4,20,499,4434,10076
esci,bge_base,centroid_7,20,499,4434,10076
esci,bge_base,max_7,20,499,4434,10076
esci,bge_base,hybrid_seven,20,499,4434,10076
esci,bge_base,reconstructed_raw_seven,20,499,4434,10076
esci,bge_base,raw_seven,100,499,4434,10076
esci,bge_base,raw_C0,100,499,4434,10076
esci,bge_base,lexical_ascending,100,499,4434,10076
esci,bge_base,lexical_descending,100,499,4434,10076
esci,bge_base,field_priority_type,100,499,4434,10076
esci,bge_base,set_mean,100,499,4434,10076
esci,bge_base,centroid_2,100,499,4434,10076
esci,bge_base,max_2,100,499,4434,10076
