dataset,model,K,contrast,authoritative_raw_membership_mismatches,authoritative_raw_equivalent_at_K,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_recall,source_order_recall_ci_low,source_order_recall_ci_high,seven_schedule_mean_recall,seven_schedule_mean_recall_ci_low,seven_schedule_mean_recall_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high
wands,minilm,20,hybrid_seven minus reconstructed_raw_seven,0,True,query_macro,308,21299,2026091701,10000,0.05050205825383207,0.034184685831365504,0.06890929072126893,0.06547822991825632,0.04806391936702865,0.08422430523716307,0.08536764704263194,0.06455622269866332,0.1079062250387436,-0.058779085259714085,-0.08036165384845535,-0.038523387377535405,-0.026588561782917873,-0.045582116002082104,-0.009062267491028822
wands,minilm,20,hybrid_seven minus reconstructed_raw_seven,0,True,pair_micro,308,21299,2026091701,10000,0.014930278416827081,0.010753589713883824,0.02017631756558488,0.015862582415002713,0.011631212798794744,0.02115370415468181,0.025165500727733697,0.020195368182137085,0.03125412833221282,-0.03202028264237758,-0.039593587738855344,-0.02518614908334267,0.006854781914643881,-0.00022976273851723557,0.013263941753408458
wands,minilm,100,hybrid_seven minus reconstructed_raw_seven,0,True,query_macro,308,21299,2026091701,10000,0.07439151428868306,0.05762789012620921,0.09255685927065127,0.08934723163648244,0.07210046043555475,0.10819202946341432,0.15007565791300012,0.1265734122783321,0.17519715785276188,-0.10814241269010039,-0.12934744298231599,-0.08822852006993856,-0.04193324522289974,-0.05996846709420951,-0.025043546923724447
wands,minilm,100,hybrid_seven minus reconstructed_raw_seven,0,True,pair_micro,308,21299,2026091701,10000,0.0433823184187051,0.03089257166543927,0.05808410454324114,0.04729933665564447,0.03456687366761565,0.0622135619911621,0.09235175360345556,0.07715881464950332,0.11054925208265381,-0.09099018733273863,-0.10258909900475838,-0.08130075923368653,-0.0013615662707169337,-0.014647587479703439,0.010312597567890653
wands,bge_base,20,hybrid_seven minus reconstructed_raw_seven,0,True,query_macro,308,21299,2026091701,10000,0.019662799587071025,0.007691426817986802,0.03256171792861472,0.020357979435174905,0.008454921654122776,0.033237697550331964,0.0382455967258939,0.023041808583038757,0.05451698281238432,-0.044093168501562564,-0.06098364810906048,-0.028500932903622725,0.005847571775668673,-0.007795849571647334,0.018861152903407223
wands,bge_base,20,hybrid_seven minus reconstructed_raw_seven,0,True,pair_micro,308,21299,2026091701,10000,0.005868820132400582,0.00265022730330313,0.009568925929639347,0.005204805054563258,0.002054634339406962,0.008844186709574474,0.016855251420254472,0.013066076436869172,0.021396644567069918,-0.030987370299075074,-0.03705774392970248,-0.025735585976143893,0.014132118878820597,0.009307437491626163,0.019134685400924473
wands,bge_base,100,hybrid_seven minus reconstructed_raw_seven,0,True,query_macro,308,21299,2026091701,10000,0.04893038272342095,0.032781774529551735,0.0665068028663618,0.041524197617900084,0.025514626734056262,0.05818937508155027,0.07080833093460576,0.052384899666549224,0.09077048276451624,-0.052582680306598566,-0.07049323258309095,-0.035570971089347064,-0.01822565062800718,-0.03496497207232698,-0.001894352758439852
wands,bge_base,100,hybrid_seven minus reconstructed_raw_seven,0,True,pair_micro,308,21299,2026091701,10000,0.020705197427109252,0.011519111000650223,0.031167479682272955,0.02089970689435453,0.011616835602272694,0.0314551196397724,0.04972064416169773,0.03876771077167393,0.062108040779661436,-0.05652847551528241,-0.06538690904165978,-0.04831597750405606,0.006807831353584672,-0.0027632990442343726,0.01566701983192348
esci,minilm,20,hybrid_seven minus reconstructed_raw_seven,0,True,query_macro,499,4434,2026091701,10000,0.03487945539674908,0.015611692694792642,0.05460905783880463,0.03914858551991554,0.02118323956707298,0.05757054521532859,0.043776606048195,0.024525834866072772,0.0634175871849223,-0.007690388306402677,-0.01905037281895064,0.0030582108043023986,-0.03608621774179231,-0.053914511330651026,-0.018282384087210165
esci,minilm,20,hybrid_seven minus reconstructed_raw_seven,0,True,pair_micro,499,4434,2026091701,10000,0.036761389264772217,0.02163991228558212,0.052377700654074114,0.037760164959082416,0.022986064932797798,0.05281412844723753,0.043752819124943616,0.028558155578287996,0.05911357017007658,-0.007893549842129003,-0.01591313013327753,-0.0002232657768582652,-0.03585926928281461,-0.051410149325645305,-0.0204922572107815
