dataset,model,method,K,aggregation,metric,estimate,ci_low,ci_high,bootstrap_seed,bootstrap_draws
wands,minilm,raw_seven,20,query_macro,source_order_recall,0.3080850567626536,0.2710145128159665,0.3467140690584058,2026091701,10000
wands,minilm,raw_seven,20,query_macro,seven_schedule_mean_recall,0.2946999350933629,0.2600133336273995,0.3313139339493019,2026091701,10000
wands,minilm,raw_seven,20,query_macro,persistent_inclusion,0.2095025907899142,0.1757920389428785,0.2450146182295337,2026091701,10000
wands,minilm,raw_seven,20,query_macro,VI,0.1957938178951838,0.1731655743917374,0.2199917864847936,2026091701,10000
wands,minilm,raw_seven,20,query_macro,persistent_omission,0.5947035913149019,0.5563694549059536,0.631945900544285,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C0,0.3080850567626536,0.2710145128159665,0.3467140690584058,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C1,0.2820821467824249,0.2472473051513589,0.3197878387810696,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C2s1,0.2985946393377921,0.2624477481149538,0.3367742876819698,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C2s2,0.2966965872000566,0.2603578455667816,0.3351224099093474,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C2s3,0.2834571741115071,0.2485721289856473,0.3201129760964754,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C2s4,0.297790496412856,0.2613920565823787,0.3356745448485196,2026091701,10000
wands,minilm,raw_seven,20,query_macro,recall_C2s5,0.2961934450462502,0.2600142683607103,0.3336829093442626,2026091701,10000
wands,minilm,raw_seven,20,query_macro,delta_seven_schedule_mean_recall_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,query_macro,delta_persistent_inclusion_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,query_macro,delta_VI_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,query_macro,delta_persistent_omission_vs_raw_seven,0.0,0.0,0.0,2026091701,10000
wands,minilm,raw_seven,20,query_macro,delta_source_recall_vs_raw_C0,0.0,0.0,0.0,2026091701,10000
