query_id,base,severe,n_highest,base_share,severe_share,dataset,model,intervention,target_support,catalog_size,K,event,threshold_multiple
0,10,3,39,0.2564102564102564,0.07692307692307693,wands,minilm,target_only,full,42994,20,crossing,2
1,0,0,8,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
2,21,10,151,0.1390728476821192,0.06622516556291391,wands,minilm,target_only,full,42994,20,crossing,2
3,9,8,55,0.16363636363636364,0.14545454545454545,wands,minilm,target_only,full,42994,20,crossing,2
4,3,3,23,0.13043478260869565,0.13043478260869565,wands,minilm,target_only,full,42994,20,crossing,2
5,22,19,179,0.12290502793296089,0.10614525139664804,wands,minilm,target_only,full,42994,20,crossing,2
6,4,3,43,0.09302325581395349,0.06976744186046512,wands,minilm,target_only,full,42994,20,crossing,2
7,7,7,23,0.30434782608695654,0.30434782608695654,wands,minilm,target_only,full,42994,20,crossing,2
9,21,11,74,0.28378378378378377,0.14864864864864866,wands,minilm,target_only,full,42994,20,crossing,2
10,7,4,21,0.3333333333333333,0.19047619047619047,wands,minilm,target_only,full,42994,20,crossing,2
11,16,4,65,0.24615384615384617,0.06153846153846154,wands,minilm,target_only,full,42994,20,crossing,2
13,9,2,46,0.1956521739130435,0.043478260869565216,wands,minilm,target_only,full,42994,20,crossing,2
14,7,6,20,0.35,0.3,wands,minilm,target_only,full,42994,20,crossing,2
16,1,0,4,0.25,0.0,wands,minilm,target_only,full,42994,20,crossing,2
17,6,4,21,0.2857142857142857,0.19047619047619047,wands,minilm,target_only,full,42994,20,crossing,2
20,0,0,12,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
22,4,4,22,0.18181818181818182,0.18181818181818182,wands,minilm,target_only,full,42994,20,crossing,2
26,44,39,876,0.0502283105022831,0.04452054794520548,wands,minilm,target_only,full,42994,20,crossing,2
27,4,4,100,0.04,0.04,wands,minilm,target_only,full,42994,20,crossing,2
28,19,4,175,0.10857142857142857,0.022857142857142857,wands,minilm,target_only,full,42994,20,crossing,2
31,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
35,3,2,51,0.058823529411764705,0.0392156862745098,wands,minilm,target_only,full,42994,20,crossing,2
36,10,5,37,0.2702702702702703,0.13513513513513514,wands,minilm,target_only,full,42994,20,crossing,2
37,1,1,110,0.00909090909090909,0.00909090909090909,wands,minilm,target_only,full,42994,20,crossing,2
38,0,0,1,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
39,2,1,31,0.06451612903225806,0.03225806451612903,wands,minilm,target_only,full,42994,20,crossing,2
40,12,11,40,0.3,0.275,wands,minilm,target_only,full,42994,20,crossing,2
41,2,0,19,0.10526315789473684,0.0,wands,minilm,target_only,full,42994,20,crossing,2
42,0,0,3,0.0,0.0,wands,minilm,target_only,full,42994,20,crossing,2
