dataset,model,intervention,target_support,catalog_size,K,event,threshold_multiple,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,base_share,base_share_ci_low,base_share_ci_high,severe_share,severe_share_ci_low,severe_share_ci_high,base_pair_count,severe_pair_count,base_queries,conditional_query_macro,conditional_query_denominator,conditional_pair_micro,query_normalized_mass_ratio,conditional_bootstrap_valid_draws,conditional_query_macro_ci_low,conditional_query_macro_ci_high
wands,minilm,target_only,full,42994,20,crossing,2,query_macro,308,21299,2026091701,10000,0.19446508831837642,0.17117692686520236,0.21943483597560456,0.12767138281402057,0.10730598902183022,0.1492791037088438,2655,1766,239,0.6531926462724954,239,0.6651600753295669,0.6565259806685619,10000,0.6098289538036958,0.6956896762761231
wands,minilm,target_only,full,42994,20,crossing,2,pair_micro,308,21299,2026091701,10000,0.12465373961218837,0.1092385781613149,0.14312730608700977,0.08291469083055543,0.07353685181091632,0.09419784053375671,2655,1766,239,0.6531926462724954,239,0.6651600753295669,0.6565259806685619,10000,0.6098289538036958,0.6956896762761231
wands,minilm,target_only,full,42994,20,source_order_loss,2,query_macro,308,21299,2026091701,10000,0.10620936383160035,0.08696466333928558,0.12728588844777328,0.06461041957201835,0.04713455778321268,0.08391815354664557,1166,613,209,0.5366252508632188,209,0.5257289879931389,0.6083307275473473,10000,0.4871415533505979,0.5871778429097853
wands,minilm,target_only,full,42994,20,source_order_loss,2,pair_micro,308,21299,2026091701,10000,0.05474435419503263,0.04675493358180299,0.06444544357706739,0.028780693929292455,0.024577375098576233,0.033886527408444805,1166,613,209,0.5366252508632188,209,0.5257289879931389,0.6083307275473473,10000,0.4871415533505979,0.5871778429097853
wands,minilm,target_only,full,42994,20,crossing,5,query_macro,308,21299,2026091701,10000,0.19446508831837642,0.17117692686520236,0.21943483597560456,0.05253265591232451,0.03804221211603561,0.06879203656382306,2655,717,239,0.3057695345954357,239,0.27005649717514124,0.2701392644129446,10000,0.26166974815366634,0.350140548863479
wands,minilm,target_only,full,42994,20,crossing,5,pair_micro,308,21299,2026091701,10000,0.12465373961218837,0.1092385781613149,0.14312730608700977,0.03366355227944974,0.029194929956023866,0.038682101629670534,2655,717,239,0.3057695345954357,239,0.27005649717514124,0.2701392644129446,10000,0.26166974815366634,0.350140548863479
wands,minilm,target_only,full,42994,20,source_order_loss,5,query_macro,308,21299,2026091701,10000,0.10620936383160035,0.08696466333928558,0.12728588844777328,0.024549497021478617,0.013387200916408605,0.03800775945758974,1166,214,209,0.20053245375508252,209,0.1835334476843911,0.23114249192192632,10000,0.16174635451442512,0.23972510284361528
wands,minilm,target_only,full,42994,20,source_order_loss,5,pair_micro,308,21299,2026091701,10000,0.05474435419503263,0.04675493358180299,0.06444544357706739,0.010047420066669796,0.008197709769743017,0.012207747879779502,1166,214,209,0.20053245375508252,209,0.1835334476843911,0.23114249192192632,10000,0.16174635451442512,0.23972510284361528
wands,minilm,target_only,full,42994,100,crossing,2,query_macro,308,21299,2026091701,10000,0.22454830327952902,0.20152378806904306,0.24814798527555493,0.11154531049537547,0.09469043254338584,0.12954167460866695,5124,2637,231,0.483977786255993,231,0.5146370023419203,0.4967541899282056,10000,0.4387600896523236,0.5296497790500201
wands,minilm,target_only,full,42994,100,crossing,2,pair_micro,308,21299,2026091701,10000,0.24057467486736467,0.22047111706393335,0.2630413193168308,0.12380862951312269,0.11127285502153453,0.13710409594663336,5124,2637,231,0.483977786255993,231,0.5146370023419203,0.4967541899282056,10000,0.4387600896523236,0.5296497790500201
wands,minilm,target_only,full,42994,100,source_order_loss,2,query_macro,308,21299,2026091701,10000,0.13666047970385675,0.11809733347411192,0.15643691427739242,0.053689070749110696,0.042106192416926196,0.06677723720620898,2710,1075,212,0.3861219821063597,212,0.3966789667896679,0.3928646443028365,10000,0.34213464911026026,0.43110051736936933
wands,minilm,target_only,full,42994,100,source_order_loss,2,pair_micro,308,21299,2026091701,10000,0.12723602047044463,0.11361332946603633,0.143354109558105,0.05047185313864501,0.043488984100487446,0.058302030165509604,2710,1075,212,0.3861219821063597,212,0.3966789667896679,0.3928646443028365,10000,0.34213464911026026,0.43110051736936933
wands,minilm,target_only,full,42994,100,crossing,5,query_macro,308,21299,2026091701,10000,0.22454830327952902,0.20152378806904306,0.24814798527555493,0.028324772515597466,0.02146119409992111,0.035722567355772776,5124,696,231,0.14113539640749964,231,0.1358313817330211,0.1261411112972756,10000,0.11216239118880193,0.17235719887366088
wands,minilm,target_only,full,42994,100,crossing,5,pair_micro,308,21299,2026091701,10000,0.24057467486736467,0.22047111706393335,0.2630413193168308,0.03267759049720644,0.02672570731946084,0.03911333796017581,5124,696,231,0.14113539640749964,231,0.1358313817330211,0.1261411112972756,10000,0.11216239118880193,0.17235719887366088
wands,minilm,target_only,full,42994,100,source_order_loss,5,query_macro,308,21299,2026091701,10000,0.13666047970385675,0.11809733347411192,0.15643691427739242,0.01100781598972504,0.007427207024959424,0.015174519665440356,2710,255,212,0.10190946311568207,212,0.0940959409594096,0.08054864152078917,10000,0.07576294677274531,0.1312428996317758
wands,minilm,target_only,full,42994,100,source_order_loss,5,pair_micro,308,21299,2026091701,10000,0.12723602047044463,0.11361332946603633,0.143354109558105,0.011972393070097188,0.009015105849408261,0.015486058860553275,2710,255,212,0.10190946311568207,212,0.0940959409594096,0.08054864152078917,10000,0.07576294677274531,0.1312428996317758
wands,minilm,target_only,fully_fitting,42994,20,crossing,2,query_macro,118,925,2026091701,10000,0.10592003260303642,0.07014955182135496,0.14508965856504083,0.05010336475615489,0.023294937380005543,0.0823743753300585,96,27,43,0.38471760797342186,43,0.28125,0.4730301107811269,10000,0.2521594684385382,0.5250059523809522
wands,minilm,target_only,fully_fitting,42994,20,crossing,2,pair_micro,118,925,2026091701,10000,0.10378378378378378,0.07743286875918376,0.13255416002126527,0.02918918918918919,0.017307432432432435,0.04400440044004401,96,27,43,0.38471760797342186,43,0.28125,0.4730301107811269,10000,0.2521594684385382,0.5250059523809522
wands,minilm,target_only,fully_fitting,42994,20,source_order_loss,2,query_macro,118,925,2026091701,10000,0.05186257596906086,0.028618293768210866,0.07970240933464035,0.025213348942162504,0.0065690478614207435,0.05009439524270033,52,11,29,0.27011494252873564,29,0.21153846153846154,0.48615689581643184,10000,0.12365591397849461,0.4375
wands,minilm,target_only,fully_fitting,42994,20,source_order_loss,2,pair_micro,118,925,2026091701,10000,0.05621621621621622,0.038709476058153114,0.07593758980745281,0.011891891891891892,0.004504377831149485,0.022246973608459047,52,11,29,0.27011494252873564,29,0.21153846153846154,0.48615689581643184,10000,0.12365591397849461,0.4375
wands,minilm,target_only,fully_fitting,42994,20,crossing,5,query_macro,118,925,2026091701,10000,0.10592003260303642,0.07014955182135496,0.14508965856504083,0.005649717514124294,0.0,0.015536723163841807,96,2,43,0.031007751937984496,43,0.020833333333333332,0.053339461622884096,10000,0.0,0.08888888888888889
wands,minilm,target_only,fully_fitting,42994,20,crossing,5,pair_micro,118,925,2026091701,10000,0.10378378378378378,0.07743286875918376,0.13255416002126527,0.002162162162162162,0.0,0.006000060024009603,96,2,43,0.031007751937984496,43,0.020833333333333332,0.053339461622884096,10000,0.0,0.08888888888888889
wands,minilm,target_only,fully_fitting,42994,20,source_order_loss,5,query_macro,118,925,2026091701,10000,0.05186257596906086,0.028618293768210866,0.07970240933464035,0.0014124293785310734,0.0,0.00423728813559322,52,1,29,0.011494252873563218,29,0.019230769230769232,0.027234076829767813,10000,0.0,0.038461538461538464
wands,minilm,target_only,fully_fitting,42994,20,source_order_loss,5,pair_micro,118,925,2026091701,10000,0.05621621621621622,0.038709476058153114,0.07593758980745281,0.001081081081081081,0.0,0.0037879985059188583,52,1,29,0.011494252873563218,29,0.019230769230769232,0.027234076829767813,10000,0.0,0.038461538461538464
wands,minilm,target_only,fully_fitting,42994,100,crossing,2,query_macro,118,925,2026091701,10000,0.1398899997144781,0.09720952072821645,0.18692195489321378,0.03296225493167276,0.01392248160625095,0.05757903244201143,131,22,49,0.22721088435374148,49,0.16793893129770993,0.2356298162767191,10000,0.13041666666666668,0.3306840034965034
wands,minilm,target_only,fully_fitting,42994,100,crossing,2,pair_micro,118,925,2026091701,10000,0.14162162162162162,0.11315219681661498,0.16913466055907914,0.023783783783783784,0.01322470189635513,0.03708694939622612,131,22,49,0.22721088435374148,49,0.16793893129770993,0.2356298162767191,10000,0.13041666666666668,0.3306840034965034
wands,minilm,target_only,fully_fitting,42994,100,source_order_loss,2,query_macro,118,925,2026091701,10000,0.08603024140629445,0.05084497047011984,0.12628622856878255,0.011919895076674738,0.0023002421307506057,0.024652189265536723,71,8,37,0.14144144144144144,37,0.11267605633802817,0.13855470915605975,10000,0.04614942528735633,0.2544469696969696
wands,minilm,target_only,fully_fitting,42994,100,source_order_loss,2,pair_micro,118,925,2026091701,10000,0.07675675675675675,0.05795571295143213,0.09566097296459834,0.008648648648648649,0.0028568717809704528,0.016279361193681875,71,8,37,0.14144144144144144,37,0.11267605633802817,0.13855470915605975,10000,0.04614942528735633,0.2544469696969696
wands,minilm,target_only,fully_fitting,42994,100,crossing,5,query_macro,118,925,2026091701,10000,0.1398899997144781,0.09720952072821645,0.18692195489321378,0.003031898094536267,0.00036845983787767134,0.007320068779169738,131,4,49,0.04251700680272108,49,0.030534351145038167,0.021673444139856387,10000,0.005434782608695652,0.09524350649350642
wands,minilm,target_only,fully_fitting,42994,100,crossing,5,pair_micro,118,925,2026091701,10000,0.14162162162162162,0.11315219681661498,0.16913466055907914,0.004324324324324324,0.000975609756097561,0.009009009009009009,131,4,49,0.04251700680272108,49,0.030534351145038167,0.021673444139856387,10000,0.005434782608695652,0.09524350649350642
wands,minilm,target_only,fully_fitting,42994,100,source_order_loss,5,query_macro,118,925,2026091701,10000,0.08603024140629445,0.05084497047011984,0.12628622856878255,0.0020984665052461663,0.0,0.005891848264729622,71,2,37,0.04054054054054054,37,0.028169014084507043,0.02439219594114298,10000,0.0,0.10714285714285714
wands,minilm,target_only,fully_fitting,42994,100,source_order_loss,5,pair_micro,118,925,2026091701,10000,0.07675675675675675,0.05795571295143213,0.09566097296459834,0.002162162162162162,0.0,0.005599104143337066,71,2,37,0.04054054054054054,37,0.028169014084507043,0.02439219594114298,10000,0.0,0.10714285714285714
wands,bge_base,target_only,full,42994,20,crossing,2,query_macro,308,21299,2026091701,10000,0.10831734636745576,0.09291230202468283,0.12547551318148392,0.02957519508301648,0.023885147437564855,0.03551127123509808,1815,713,209,0.34230922496256977,209,0.3928374655647383,0.27304209413223246,10000,0.29665735896537,0.38893083747986185
