query_id,source_order_recall,seven_schedule_mean_recall,persistent_inclusion,VI,persistent_omission,recall_C0,recall_C1,recall_C2s1,recall_C2s2,recall_C2s3,recall_C2s4,recall_C2s5,delta_seven_schedule_mean_recall_vs_raw_seven,delta_persistent_inclusion_vs_raw_seven,delta_VI_vs_raw_seven,delta_persistent_omission_vs_raw_seven,delta_source_recall_vs_raw_C0,delta_mean_recall_vs_raw_C0,n_highest,dataset,model,K,method,catalog_size,source_ids,view_budget,invariance_basis
0,0.3076923076923077,0.3186813186813187,0.23076923076923078,0.2564102564102564,0.5128205128205128,0.3076923076923077,0.38461538461538464,0.3333333333333333,0.28205128205128205,0.3076923076923077,0.28205128205128205,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.010989010989011005,39,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
2,0.13245033112582782,0.130558183538316,0.07947019867549669,0.13245033112582782,0.7880794701986755,0.13245033112582782,0.13245033112582782,0.13245033112582782,0.12582781456953643,0.13245033112582782,0.13245033112582782,0.12582781456953643,0.0,0.0,0.0,0.0,0.0,-0.0018921475875118277,151,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
3,0.12727272727272726,0.12727272727272726,0.09090909090909091,0.12727272727272726,0.7818181818181819,0.12727272727272726,0.14545454545454545,0.12727272727272726,0.10909090909090909,0.12727272727272726,0.14545454545454545,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,55,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
4,0.08695652173913043,0.08074534161490683,0.0,0.21739130434782608,0.782608695652174,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,-0.0062111801242236,23,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
5,0.05027932960893855,0.05027932960893855,0.0,0.12849162011173185,0.8715083798882681,0.05027932960893855,0.0446927374301676,0.05027932960893855,0.055865921787709494,0.05027932960893855,0.03910614525139665,0.061452513966480445,0.0,0.0,0.0,0.0,0.0,0.0,179,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
6,0.046511627906976744,0.04983388704318937,0.0,0.09302325581395349,0.9069767441860465,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0033222591362126255,43,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
7,0.34782608695652173,0.3105590062111801,0.17391304347826086,0.391304347826087,0.43478260869565216,0.34782608695652173,0.30434782608695654,0.30434782608695654,0.34782608695652173,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,-0.03726708074534163,23,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
9,0.2702702702702703,0.2644787644787645,0.13513513513513514,0.2702702702702703,0.5945945945945946,0.2702702702702703,0.25675675675675674,0.25675675675675674,0.2702702702702703,0.25675675675675674,0.2702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,-0.00579150579150578,74,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
10,0.5238095238095238,0.5306122448979591,0.38095238095238093,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.5238095238095238,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.006802721088435271,21,wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules
