dataset,model,K,method,catalog_size,source_ids,view_budget,invariance_basis,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_recall,source_order_recall_ci_low,source_order_recall_ci_high,seven_schedule_mean_recall,seven_schedule_mean_recall_ci_low,seven_schedule_mean_recall_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high,recall_C0,recall_C0_ci_low,recall_C0_ci_high,recall_C1,recall_C1_ci_low,recall_C1_ci_high,recall_C2s1,recall_C2s1_ci_low,recall_C2s1_ci_high,recall_C2s2,recall_C2s2_ci_low,recall_C2s2_ci_high,recall_C2s3,recall_C2s3_ci_low,recall_C2s3_ci_high,recall_C2s4,recall_C2s4_ci_low,recall_C2s4_ci_high,recall_C2s5,recall_C2s5_ci_low,recall_C2s5_ci_high,delta_seven_schedule_mean_recall_vs_raw_seven,delta_seven_schedule_mean_recall_vs_raw_seven_ci_low,delta_seven_schedule_mean_recall_vs_raw_seven_ci_high,delta_persistent_inclusion_vs_raw_seven,delta_persistent_inclusion_vs_raw_seven_ci_low,delta_persistent_inclusion_vs_raw_seven_ci_high,delta_VI_vs_raw_seven,delta_VI_vs_raw_seven_ci_low,delta_VI_vs_raw_seven_ci_high,delta_persistent_omission_vs_raw_seven,delta_persistent_omission_vs_raw_seven_ci_low,delta_persistent_omission_vs_raw_seven_ci_high,delta_source_recall_vs_raw_C0,delta_source_recall_vs_raw_C0_ci_low,delta_source_recall_vs_raw_C0_ci_high,delta_mean_recall_vs_raw_C0,delta_mean_recall_vs_raw_C0_ci_low,delta_mean_recall_vs_raw_C0_ci_high
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,query_macro,308,21299,2026091701,10000,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.29469993509336295,0.2600133336273995,0.3313139339493019,0.2095025907899142,0.17579203894287856,0.24501461822953371,0.19579381789518388,0.17316557439173746,0.21999178648479367,0.5947035913149019,0.5563694549059536,0.631945900544285,0.30808505676265363,0.2710145128159665,0.34671406905840585,0.2820821467824249,0.24724730515135898,0.3197878387810696,0.2985946393377921,0.2624477481149538,0.3367742876819698,0.29669658720005665,0.2603578455667816,0.3351224099093474,0.2834571741115071,0.2485721289856473,0.3201129760964754,0.297790496412856,0.26139205658237874,0.3356745448485196,0.2961934450462502,0.2600142683607103,0.33368290934426265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013385121669290689,-0.025312792124254208,-0.002232837722846302
wands,minilm,20,raw_seven,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet;phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,7,empirical seven raw schedules,pair_micro,308,21299,2026091701,10000,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10610826799380257,0.08962070691193656,0.1267133792189302,0.05389924409596695,0.043435658219776414,0.0669641360670222,0.12972440020658246,0.11381908568275341,0.14880657102335923,0.8163763556974506,0.7864503928139356,0.8409659899849796,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10465280060096718,0.08822617268459557,0.12491320753985094,0.1058265646274473,0.08905688573837621,0.1265172142805684,0.10653082304333537,0.08989922996445149,0.12742527807297993,0.10601436687168411,0.08946000847369835,0.1264290572824556,0.10643692192121695,0.09000253791101978,0.12682683149888113,0.10657777360439458,0.08986220972343886,0.12713766857109873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006103572937696618,-0.0020322894351679165,0.0006983421958460784
wands,minilm,20,raw_C0,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet,1,single-order reference; seven-order VI not defined,query_macro,308,21299,2026091701,10000,0.30808505676265363,0.2710145128159665,0.34671406905840585,,,,,,,,,,,,,0.30808505676265363,0.2710145128159665,0.34671406905840585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
wands,minilm,20,raw_C0,42994,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet,1,single-order reference; seven-order VI not defined,pair_micro,308,21299,2026091701,10000,0.10671862528757219,0.08996832229908648,0.12742355118701645,,,,,,,,,,,,,0.10671862528757219,0.08996832229908648,0.12742355118701645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
wands,minilm,20,lexical_ascending,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.0,0.0,0.0,0.7127731154062981,0.6751520689537112,0.747711663063111,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,0.2872268845937019,0.2522883369368891,0.32484793104628895,-0.007473050499661035,-0.020463312995579776,0.004764787725532207,0.07772429380378766,0.06390065562611269,0.09361753922800099,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.11806952409139622,0.10075518956845803,0.13734496691894013,-0.020858172168951722,-0.04026575872963174,-0.002213816642597201,-0.020858172168951722,-0.04026575872963174,-0.002213816642597201
wands,minilm,20,lexical_ascending,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",pair_micro,308,21299,2026091701,10000,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.0,0.0,0.0,0.8943142870557304,0.8733665323309296,0.91094543516479,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,0.10568571294426968,0.08905456483520997,0.1266334676690703,-0.00042255504953284166,-0.0020188591320128174,0.0012072235879823068,0.051786468848302736,0.04435046250450112,0.06091460582470529,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.07793793135827973,0.0689455142912246,0.08855739747210709,-0.0010329123433025027,-0.0033113182833438603,0.0011866781956819368,-0.0010329123433025027,-0.0033113182833438603,0.0011866781956819368
wands,minilm,20,lexical_descending,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.0,0.0,0.0,0.7044398967308355,0.6666499631639979,0.7403262769625161,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.0008601681758015582,-0.011248271803948474,0.013008064756320126,0.08605751247925025,0.07027614978996102,0.10415204854945774,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.10973630541593363,0.0941168613898679,0.1273252538058122,-0.012524953493489132,-0.02692149899841894,0.0005992211095816744,-0.012524953493489132,-0.02692149899841894,0.0005992211095816744
wands,minilm,20,lexical_descending,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",pair_micro,308,21299,2026091701,10000,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.0,0.0,0.0,0.8938447814451382,0.8732426175134639,0.9106214746100496,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,0.10615521855486174,0.08937852538995039,0.126757382486536,4.695056105920507e-05,-0.0015051871170433263,0.0016594405048931608,0.05225597445889479,0.04499238580504422,0.06103519792396345,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.07746842574768768,0.06844986244991653,0.08810822755008073,-0.0005634067327104559,-0.002504256499052286,0.001334872454093757,-0.0005634067327104559,-0.002504256499052286,0.001334872454093757
wands,minilm,20,field_priority_type,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.0,0.0,0.0,0.7077905401277624,0.670865379211906,0.7434340418706952,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,-0.002490475221125376,-0.01679421853432458,0.010892638176913482,0.08270686908232332,0.06561269654628964,0.1008622445530254,-0.19579381789518388,-0.21999178648479367,-0.17316557439173746,0.11308694881286058,0.09502722791200019,0.13259869752620967,-0.015875596890416063,-0.03491986501449769,0.0022138878424229603,-0.015875596890416063,-0.03491986501449769,0.0022138878424229603
wands,minilm,20,field_priority_type,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",pair_micro,308,21299,2026091701,10000,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.0,0.0,0.0,0.8935161275177238,0.8729127215817112,0.9101391420748408,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.10648387248227616,0.08986085792515919,0.12708727841828885,0.00037560448847363765,-0.001338288973046817,0.0021078099946858896,0.052584628386309215,0.045173156163020714,0.06160866771125922,-0.12972440020658246,-0.14880657102335923,-0.11381908568275341,0.07713977182027325,0.068136059252548,0.08778782487350058,-0.00023475280529602346,-0.002355142724009198,0.0018287329375490599,-0.00023475280529602346,-0.002355142724009198,0.0018287329375490599
