dataset,model,intervention,target_support,catalog_size,K,event,threshold_multiple,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,base_share,base_share_ci_low,base_share_ci_high,severe_share,severe_share_ci_low,severe_share_ci_high,base_pair_count,severe_pair_count,base_queries,conditional_query_macro,conditional_query_denominator,conditional_pair_micro,query_normalized_mass_ratio,conditional_bootstrap_valid_draws,conditional_query_macro_ci_low,conditional_query_macro_ci_high
wands,minilm,target_only,full,42994,20,crossing,2,query_macro,308,21299,2026091701,10000,0.1944650883183764,0.1711769268652023,0.2194348359756045,0.1276713828140205,0.1073059890218302,0.1492791037088438,2655,1766,239,0.6531926462724954,239,0.6651600753295669,0.6565259806685619,10000,0.6098289538036958,0.6956896762761231
wands,minilm,target_only,full,42994,20,crossing,5,query_macro,308,21299,2026091701,10000,0.1944650883183764,0.1711769268652023,0.2194348359756045,0.0525326559123245,0.0380422121160356,0.068792036563823,2655,717,239,0.3057695345954357,239,0.2700564971751412,0.2701392644129446,10000,0.2616697481536663,0.350140548863479
wands,minilm,target_only,full,42994,100,crossing,2,query_macro,308,21299,2026091701,10000,0.224548303279529,0.201523788069043,0.2481479852755549,0.1115453104953754,0.0946904325433858,0.1295416746086669,5124,2637,231,0.483977786255993,231,0.5146370023419203,0.4967541899282056,10000,0.4387600896523236,0.5296497790500201
wands,minilm,target_only,full,42994,100,crossing,5,query_macro,308,21299,2026091701,10000,0.224548303279529,0.201523788069043,0.2481479852755549,0.0283247725155974,0.0214611940999211,0.0357225673557727,5124,696,231,0.1411353964074996,231,0.1358313817330211,0.1261411112972756,10000,0.1121623911888019,0.1723571988736608
wands,minilm,target_only,fully_fitting,42994,20,crossing,2,query_macro,118,925,2026091701,10000,0.1059200326030364,0.0701495518213549,0.1450896585650408,0.0501033647561548,0.0232949373800055,0.0823743753300585,96,27,43,0.3847176079734218,43,0.28125,0.4730301107811269,10000,0.2521594684385382,0.5250059523809522
wands,minilm,target_only,fully_fitting,42994,20,crossing,5,query_macro,118,925,2026091701,10000,0.1059200326030364,0.0701495518213549,0.1450896585650408,0.0056497175141242,0.0,0.0155367231638418,96,2,43,0.0310077519379844,43,0.0208333333333333,0.053339461622884,10000,0.0,0.0888888888888888
wands,minilm,target_only,fully_fitting,42994,100,crossing,2,query_macro,118,925,2026091701,10000,0.1398899997144781,0.0972095207282164,0.1869219548932137,0.0329622549316727,0.0139224816062509,0.0575790324420114,131,22,49,0.2272108843537414,49,0.1679389312977099,0.2356298162767191,10000,0.1304166666666666,0.3306840034965034
wands,minilm,target_only,fully_fitting,42994,100,crossing,5,query_macro,118,925,2026091701,10000,0.1398899997144781,0.0972095207282164,0.1869219548932137,0.0030318980945362,0.0003684598378776,0.0073200687791697,131,4,49,0.042517006802721,49,0.0305343511450381,0.0216734441398563,10000,0.0054347826086956,0.0952435064935064
wands,bge_base,target_only,full,42994,20,crossing,2,query_macro,308,21299,2026091701,10000,0.1083173463674557,0.0929123020246828,0.1254755131814839,0.0295751950830164,0.0238851474375648,0.035511271235098,1815,713,209,0.3423092249625697,209,0.3928374655647383,0.2730420941322324,10000,0.29665735896537,0.3889308374798618
wands,bge_base,target_only,full,42994,20,crossing,5,query_macro,308,21299,2026091701,10000,0.1083173463674557,0.0929123020246828,0.1254755131814839,0.0043677838788946,0.0027064910975738,0.006274361293051,1815,126,209,0.064954729133138,209,0.0694214876033057,0.0403239557224506,10000,0.0431244420821616,0.0907132951537294
wands,bge_base,target_only,full,42994,100,crossing,2,query_macro,308,21299,2026091701,10000,0.1211189684063842,0.1030122802049943,0.1409384319641987,0.0331705666994477,0.0233331790986473,0.044944595454501,3040,764,192,0.2347481498800993,192,0.2513157894736842,0.2738676454719485,10000,0.1942553650028987,0.2759856927138394
wands,bge_base,target_only,full,42994,100,crossing,5,query_macro,308,21299,2026091701,10000,0.1211189684063842,0.1030122802049943,0.1409384319641987,0.0024159257669326,0.0013416051981802,0.003663842776387,3040,73,192,0.0272444700896023,192,0.0240131578947368,0.0199467168414659,10000,0.0130161982524999,0.0459598809476786
wands,bge_base,target_only,fully_fitting,42994,20,crossing,2,query_macro,239,6797,2026091701,10000,0.071604002889741,0.0577100889209542,0.0873164709217649,0.018768474414181,0.0107025980367934,0.0300830974236917,569,127,119,0.2428421670327256,119,0.2231985940246045,0.2621148770562665,10000,0.1800653038028845,0.3084971290680814
