dataset,model,intervention,target_support,catalog_size,K,variable,rank,query_balanced_ecdf,pair_micro_ecdf,crossing_pairs,crossing_queries,weighting
wands,minilm,target_only,full,42994,20,worst_rank,21,0.0342165452380861,0.0218455743879472,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,22,0.0647374718166639,0.0433145009416195,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,23,0.079988593878853,0.0598870056497175,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,24,0.0969037131314983,0.079472693032015,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,25,0.1345563545583072,0.1043314500941619,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,26,0.1589023955551367,0.1239171374764595,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,27,0.1707891921891371,0.1382297551789077,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,28,0.1853645355233987,0.15969868173258,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,29,0.1942537703249889,0.1713747645951036,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,30,0.2177283761894842,0.1887005649717514,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,31,0.2326857392694908,0.2064030131826742,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,32,0.2468314116060579,0.2218455743879472,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,33,0.2625816478854999,0.2391713747645951,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,34,0.2791261258009664,0.2549905838041431,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,35,0.290735027010745,0.2693032015065913,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,36,0.3056015948555408,0.2866290018832392,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,37,0.3172777974829688,0.3005649717514124,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,38,0.3290599437727337,0.3133709981167608,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,39,0.3376315228948395,0.3205273069679849,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,40,0.3468073537275046,0.3348399246704331,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,41,0.3546561350613307,0.343502824858757,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,42,0.3648841152800489,0.3529190207156308,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,43,0.3730140788814703,0.35969868173258,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,44,0.3853301870332807,0.3725047080979284,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,45,0.4033325935744303,0.3849340866290018,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,46,0.4130106743282167,0.3969868173258004,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,47,0.4226953000467565,0.4109227871939736,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,48,0.4291406316415591,0.4207156308851224,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,49,0.438414258887789,0.4338983050847457,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,50,0.4509403823268411,0.4448210922787194,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,51,0.4563796312046491,0.4527306967984934,2655,239,"equal weight per crossing query, equal products within query"
wands,minilm,target_only,full,42994,20,worst_rank,52,0.471150828750137,0.4651600753295669,2655,239,"equal weight per crossing query, equal products within query"
