dataset,model,intervention,target_support,catalog_size,K,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_inclusion,source_order_inclusion_ci_low,source_order_inclusion_ci_high,mean_schedule_inclusion,mean_schedule_inclusion_ci_low,mean_schedule_inclusion_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high
wands,minilm,catalog_wide,full,42994,20,query_macro,308,21299,2026091701,10000,0.3080850567626535,0.2710145128159665,0.3467140690584058,0.294699935093363,0.2600133336273995,0.3313139339493019,0.2095025907899143,0.1757920389428785,0.2450146182295337,0.1957938178951839,0.1731655743917374,0.2199917864847936,0.594703591314902,0.5563694549059536,0.631945900544285
wands,minilm,catalog_wide,full,42994,50,query_macro,308,21299,2026091701,10000,0.4497743948401152,0.4110322561144169,0.4903315510362069,0.4397343660847395,0.4026087740287995,0.4788130242758588,0.3324744080720235,0.2933323639336748,0.3726668976186678,0.2242232316554256,0.2016427766576344,0.2472186767446881,0.4433023602725511,0.4057959027286688,0.4805937411230289
wands,minilm,catalog_wide,full,42994,100,query_macro,308,21299,2026091701,10000,0.5788332820924587,0.540442339286388,0.6168707106396457,0.5661289419905646,0.5286381486139621,0.6038344332958028,0.4515108535953752,0.4111956688754213,0.4942152820522096,0.2189384745151954,0.1969877618069291,0.2415823002025525,0.3295506718894292,0.2949566720076421,0.3651994945863714
wands,minilm,catalog_wide,full,42994,200,query_macro,308,21299,2026091701,10000,0.6964051576530869,0.6604159416146237,0.7321409737672478,0.6830752863920331,0.6471237228104353,0.7182119032408995,0.582301875388325,0.5419434309990635,0.6227896038121421,0.1988984049576364,0.1769223007586879,0.2211431010319449,0.2187997196540384,0.188477590171234,0.2503611067283693
wands,minilm,catalog_wide,full,42994,500,query_macro,308,21299,2026091701,10000,0.819587604088422,0.7900515342326291,0.8482098997700188,0.8137610447452003,0.7844811162554093,0.8423962751410303,0.7354332414502852,0.7001512113439419,0.7703998903336845,0.1425277590654569,0.1233933825992006,0.1623107992916151,0.1220389994842576,0.0986269837611889,0.1464883310786317
wands,minilm,catalog_wide,full,42994,1000,query_macro,308,21299,2026091701,10000,0.8859650155488222,0.8615988253180953,0.909223407309975,0.8849916732188858,0.8616771803226322,0.9072987615027852,0.831372349151215,0.8025870436880743,0.8594856947122359,0.1008785678911009,0.083747310241641,0.1187887836451358,0.0677490829576836,0.0498709789760628,0.0874943202371662
wands,minilm,catalog_wide,fully_fitting,42994,20,query_macro,118,925,2026091701,10000,0.236864237600848,0.1797818155284399,0.2967442212825675,0.2288751848435392,0.1747447593093353,0.2861082766878072,0.1825378545253861,0.1302623391335973,0.2395884516455117,0.1137534932552148,0.0769951746176001,0.1544931341494777,0.7037086522193989,0.6394873729144736,0.7640974292471592
wands,minilm,catalog_wide,fully_fitting,42994,50,query_macro,118,925,2026091701,10000,0.430529163531429,0.3599637181529806,0.5014217804076189,0.4293278062011838,0.3626987053237318,0.4970160863394752,0.3369761943547447,0.2692579591597809,0.4067667735842969,0.1857569301751815,0.1378426804678109,0.2376737776097364,0.4772668754700737,0.4067752475176776,0.5484084445386296
wands,minilm,catalog_wide,fully_fitting,42994,100,query_macro,118,925,2026091701,10000,0.5784981631600612,0.5066346877850241,0.6497142652072946,0.5804108941951336,0.5106298854991708,0.6470016870659415,0.4938108713603493,0.4199747851546852,0.5659901722064262,0.1562933025999106,0.1137299602243478,0.2016003924789508,0.34989582603974,0.2828294252299406,0.420289049392932
wands,minilm,catalog_wide,fully_fitting,42994,200,query_macro,118,925,2026091701,10000,0.7201044816167532,0.6536213292373713,0.7825741152553212,0.7157373308558627,0.6527988284430243,0.7754546389119603,0.6400936957943076,0.5693711387261196,0.7082234820491496,0.1488131573671764,0.1049837614504723,0.1972416936074577,0.2110931468385157,0.1543673554847933,0.2705121194787523
