dataset,model,encoder_profile,catalog_size,population,K,reference,alternative,comparison_role,rank_origin,intervention,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,199,21,0.0681818181818181,0.1055276381909547,308,199,65,113,0.017111834177296,0.0413555121504927,0.0342236683545921,0.0444792073891272,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5941558441558441,0.698051948051948,0.0422077922077922,0.0974025974025974,0.065,0.1497644927536231,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.554589604119262,0.5154151555954687,0.5947367494149505,0.0393514378718596,0.0329271533784205,0.0464241488792821,0.0635951158450563,0.0510346331014523,0.0782434859594689,-0.0242436779731966,-0.040193221199929,-0.0097843338046198,0.102946553716916,0.0887620285049331,0.1190532045110847,6120,1084,1353,12742
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,193,32,0.1038961038961039,0.1658031088082901,308,193,62,99,0.0135340819867435,0.0251709700684734,0.0270681639734871,0.0457612139953749,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.0714285714285714,0.1396103896103896,0.1161616161616161,0.2205930099312451,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5671963940107287,0.5280735371999068,0.6059072218321542,0.036414688984431,0.0308252125291215,0.042635897713978,0.0480515770661609,0.0390678303543165,0.0584917584539276,-0.0116368880817298,-0.0230473268598821,-0.0012308124746366,0.0844662660505919,0.0732153550408523,0.0967563801632705,6290,999,1183,12827
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,196,30,0.0974025974025974,0.1530612244897959,308,196,71,95,0.0154480602947427,0.0276656497264057,0.0308961205894854,0.0474379569221941,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5811688311688312,0.6883116883116883,0.0649350649350649,0.1331168831168831,0.1044776119402985,0.2057451449479312,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5666156926607956,0.5279020674314153,0.6055829563493164,0.0391670387558398,0.0332056210649148,0.0456893847744087,0.0513846281875028,0.0424211387673253,0.0613747548595886,-0.012217589431663,-0.0233088851377229,-0.0016058999891434,0.0905516669433426,0.079193734242298,0.1026959687211931,6279,1073,1194,12753
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,193,22,0.0714285714285714,0.1139896373056994,308,193,70,101,0.0161485540178369,0.0298575998921237,0.0322971080356738,0.0487193276178193,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6818181818181818,0.0454545454545454,0.1006493506493506,0.0714285714285714,0.1612903225806451,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5651242362181718,0.5269304338762806,0.6040599622067645,0.0405082178267465,0.033952002921643,0.0478045745680422,0.0542172637010334,0.0425029583979436,0.0681259355395272,-0.0137090458742868,-0.0288819310177056,-0.0002625683069936,0.0947254815277799,0.0805619097089048,0.1105873569002484,6331,1053,1142,12773
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s4,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,193,39,0.1266233766233766,0.2020725388601036,308,193,66,88,0.0135402930846982,0.0214050957170077,0.0270805861693965,0.0487494779744106,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.0909090909090909,0.1655844155844155,0.1453464011952709,0.2620320855614973,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5709684794601491,0.5325032169333193,0.6093609962212473,0.0379150320719036,0.0319923769464516,0.0443501299108016,0.0457798347042131,0.0389297403910893,0.0529475926498279,-0.0078648026323095,-0.0161098174482245,0.0005514861398977,0.0836948667761167,0.0734622425385347,0.0940238875303947,6336,1012,1137,12814
wands,minilm,native,42994,primary_existing_evaluation,100,C0,C2s5,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,192,22,0.0714285714285714,0.1145833333333333,308,192,67,103,0.0149976746331192,0.0342560513531919,0.0299953492662385,0.0457327165361755,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5681818181818182,0.6753246753246753,0.0454545454545454,0.1006493506493506,0.0714285714285714,0.1611155913978494,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5595749053723859,0.5212551371702897,0.5987476079020978,0.037864032901207,0.0315236187586215,0.0448721555078335,0.0571224096212796,0.0451745671249996,0.0710458282716883,-0.0192583767200726,-0.0345024807263921,-0.0055517231348972,0.0949864425224867,0.0807169228038403,0.1105048632857708,6315,1024,1158,12802
wands,bge_base,native,42994,primary_existing_evaluation,100,C0,C1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,168,25,0.0811688311688311,0.1488095238095238,308,168,70,73,0.018056925792419,0.019765815916671,0.036113851584838,0.029216654377376,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.4901785714285715,0.6006493506493507,0.0519480519480519,0.1136363636363636,0.0969696969696969,0.2058823529411764,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6300003161905716,0.5922451122653409,0.6679545397701461,0.032665252981107,0.0234172607724548,0.0442886126359096,0.034374143105359,0.0251017793598838,0.0459691260539066,-0.001708890124252,-0.016222137442662,0.0129858597711504,0.067039396086466,0.0532211973928855,0.0832080712380506,7521,738,791,12249
wands,bge_base,native,42994,primary_existing_evaluation,100,C0,C2s1,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,159,30,0.0974025974025974,0.1886792452830188,308,159,63,66,0.0202021647413631,0.0102449071369218,0.0204898142738436,0.0257429299192902,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.461038961038961,0.5714285714285714,0.0649350649350649,0.1331168831168831,0.1282051282051282,0.251613971373638,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.641666463919265,0.6045389355204992,0.6790508774245168,0.0330736297010082,0.0228465582343724,0.0458534285543976,0.0231163720965669,0.0184415094789092,0.0286965707678095,0.0099572576044413,-0.0016133804645765,0.0234633356074678,0.0561900017975751,0.0444443108979495,0.0701966196095173,7656,655,656,12332
wands,bge_base,native,42994,primary_existing_evaluation,100,C0,C2s2,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,163,31,0.1006493506493506,0.1901840490797546,308,163,72,60,0.0152420541986736,0.0103264124516725,0.0206528249033451,0.0242481006085953,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.474025974025974,0.5844155844155844,0.0681818181818181,0.1363636363636363,0.1309523809523809,0.2516129032258064,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6366248480618246,0.5985570419301706,0.6746314757783545,0.0273661045029712,0.019878686238177,0.037050077620252,0.0224504627559702,0.0173224591383317,0.0286124506468006,0.004915641747001,-0.0044166190587345,0.0156601050463085,0.0498165672589415,0.0401965581027398,0.0610940131840446,7695,636,617,12351
wands,bge_base,native,42994,primary_existing_evaluation,100,C0,C2s3,primary_C0_relative,inherited complete-catalog exact ranks,catalog_wide,308,21299,155,40,0.1298701298701298,0.2580645161290322,308,155,63,52,0.0143037877928557,0.0134545721982985,0.026909144396597,0.0271536630635796,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.448051948051948,0.5584415584415584,0.0941558441558441,0.1655844155844155,0.1888078902229845,0.3288612681031437,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6325584219093809,0.5942859813493515,0.6709048303171904,0.0278806193246455,0.0199166047730384,0.0383049781012966,0.0270314037300883,0.0198388659819192,0.0361613400255061,0.0008492155945571,-0.0107378961825527,0.0131273647905515,0.0549120230547339,0.0431769430587308,0.0685497434060854,7659,650,653,12337
