dataset,model,K,method,catalog_size,source_ids,view_budget,invariance_basis,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_recall,source_order_recall_ci_low,source_order_recall_ci_high,seven_schedule_mean_recall,seven_schedule_mean_recall_ci_low,seven_schedule_mean_recall_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high,recall_C0,recall_C0_ci_low,recall_C0_ci_high,recall_C1,recall_C1_ci_low,recall_C1_ci_high,recall_C2s1,recall_C2s1_ci_low,recall_C2s1_ci_high,recall_C2s2,recall_C2s2_ci_low,recall_C2s2_ci_high,recall_C2s3,recall_C2s3_ci_low,recall_C2s3_ci_high,recall_C2s4,recall_C2s4_ci_low,recall_C2s4_ci_high,recall_C2s5,recall_C2s5_ci_low,recall_C2s5_ci_high,delta_seven_schedule_mean_recall_vs_raw_seven,delta_seven_schedule_mean_recall_vs_raw_seven_ci_low,delta_seven_schedule_mean_recall_vs_raw_seven_ci_high,delta_persistent_inclusion_vs_raw_seven,delta_persistent_inclusion_vs_raw_seven_ci_low,delta_persistent_inclusion_vs_raw_seven_ci_high,delta_VI_vs_raw_seven,delta_VI_vs_raw_seven_ci_low,delta_VI_vs_raw_seven_ci_high,delta_persistent_omission_vs_raw_seven,delta_persistent_omission_vs_raw_seven_ci_low,delta_persistent_omission_vs_raw_seven_ci_high,delta_source_recall_vs_raw_C0,delta_source_recall_vs_raw_C0_ci_low,delta_source_recall_vs_raw_C0_ci_high,delta_mean_recall_vs_raw_C0,delta_mean_recall_vs_raw_C0_ci_low,delta_mean_recall_vs_raw_C0_ci_high,catalog_size_membership,source_ids_membership,view_budget_membership,invariance_basis_membership,reference,alternative_schedule,aggregation_membership,eligible_queries_membership,highest_label_pairs_membership,bootstrap_seed_membership,bootstrap_draws_membership,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,newly_included_fraction,newly_included_fraction_ci_low,newly_included_fraction_ci_high,newly_omitted_fraction,newly_omitted_fraction_ci_low,newly_omitted_fraction_ci_high,absent_in_both_fraction,absent_in_both_fraction_ci_low,absent_in_both_fraction_ci_high,delta_recall,delta_recall_ci_low,delta_recall_ci_high,retained_count,newly_included_count,newly_omitted_count,absent_in_both_count,exact_cancellation_queries,all_query_denominator,changed_query_denominator,cancellation_all_fraction,cancellation_changed_fraction
wands,minilm,20,lexical_ascending,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.0,0.0,0.0,0.7127731154062981,0.6751520689537112,0.747711663063111,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.2872268845937019,0.2522883369368891,0.3248479310462889,-0.007473050499661,-0.0204633129955797,0.0047647877255322,0.0777242938037876,0.0639006556261126,0.0936175392280009,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,0.1180695240913962,0.100755189568458,0.1373449669189401,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.2500394103794631,0.2154188547724818,0.2866408820780238,0.0371874742142387,0.0285628768504452,0.0479731572318441,0.0580456463831904,0.0431592370089971,0.0747573130233832,0.6547274690231076,0.6151989945947794,0.692130312588055,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,1693,558,580,18468,65,308,205,0.211038961038961,0.3170731707317073
wands,minilm,20,lexical_descending,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.0,0.0,0.0,0.7044398967308355,0.6666499631639979,0.7403262769625161,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.0008601681758015,-0.0112482718039484,0.0130080647563201,0.0860575124792502,0.070276149789961,0.1041520485494577,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,0.1097363054159336,0.0941168613898679,0.1273252538058122,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.2610909125449271,0.2252633310808239,0.298780828202279,0.0344691907242373,0.0275614746324505,0.0428320923098986,0.0469941442177264,0.0362755249532606,0.0596718785878247,0.657445752513109,0.6186389345361194,0.6947126898440049,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,1662,599,611,18427,61,308,199,0.198051948051948,0.3065326633165829
wands,minilm,20,field_priority_type,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.0,0.0,0.0,0.7077905401277624,0.670865379211906,0.7434340418706952,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,0.2922094598722375,0.2565659581293048,0.329134620788094,-0.0024904752211253,-0.0167942185343245,0.0108926381769134,0.0827068690823233,0.0656126965462896,0.1008622445530254,-0.1957938178951838,-0.2199917864847936,-0.1731655743917374,0.1130869488128605,0.0950272279120001,0.1325986975262096,-0.015875596890416,-0.0349198650144976,0.0022138878424229,-0.015875596890416,-0.0349198650144976,0.0022138878424229,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.2540610130843431,0.2194738189637747,0.2910434270562608,0.0381484467878944,0.0297593373168681,0.0486794017626313,0.0540240436783105,0.0394531785081007,0.0709793435301188,0.653766496449452,0.6148671850886391,0.6908683136342697,-0.015875596890416,-0.0349198650144976,0.0022138878424229,1702,566,571,18460,50,308,201,0.1623376623376623,0.2487562189054726
wands,minilm,100,lexical_ascending,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.0,0.0,0.0,0.4395093363819896,0.4004821962666487,0.4782157993952101,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,0.5604906636180105,0.52178420060479,0.5995178037333511,-0.005638278372554,-0.0151558399147854,0.0031244994237153,0.108979810022635,0.0947884462598451,0.124605569897335,-0.2189384745151953,-0.2415823002025525,-0.1969877618069291,0.1099586644925603,0.0951049942900034,0.1257778901010048,-0.0183426184744481,-0.0316822786209114,-0.0064336129137512,-0.0183426184744481,-0.0316822786209114,-0.0064336129137512,42994,phase4/results/wands/minilm_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.5253072256737804,0.4851251357269022,0.56559247109833,0.0351834379442299,0.0297125359450441,0.0408983526053206,0.0535260564186781,0.042747097195866,0.0659115207799617,0.3859832799633114,0.349342524466611,0.4233900338191939,-0.0183426184744481,-0.0316822786209114,-0.0064336129137512,6245,1007,1228,12819,23,308,193,0.0746753246753246,0.1191709844559585
wands,minilm,100,lexical_descending,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.0,0.0,0.0,0.4383843543794032,0.3992346772096641,0.4779025924403739,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,0.5616156456205967,0.5220974075596262,0.600765322790336,-0.0045132963699678,-0.0136380197010765,0.004262510230244,0.1101047920252212,0.0945094097684416,0.1269396426019577,-0.2189384745151953,-0.2415823002025525,-0.1969877618069291,0.1088336824899741,0.0948910619562882,0.123811352297029,-0.0172176364718618,-0.0297194147258502,-0.005846446965918,-0.0172176364718618,-0.0297194147258502,-0.005846446965918,42994,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.5222994273022115,0.4820290434956626,0.5628827311804245,0.0393162183183852,0.0332766782625266,0.0458506835988738,0.0565338547902471,0.0464798201126711,0.0681709804621492,0.3818504995891561,0.345156462637569,0.4189569237891076,-0.0172176364718618,-0.0297194147258502,-0.005846446965918,6282,1055,1191,12771,20,308,199,0.0649350649350649,0.100502512562814
wands,minilm,100,field_priority_type,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.0,0.0,0.0,0.4281319519131602,0.3892745237186411,0.4666673773333044,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.0057391060962752,-0.0059171806106553,0.0176824974677854,0.1203571944914643,0.1048779247123261,0.1372590600833319,-0.2189384745151953,-0.2415823002025525,-0.1969877618069291,0.098581280023731,0.0826599388642393,0.1149322557500572,-0.0069652340056188,-0.0212378759675733,0.0067678678000972,-0.0069652340056188,-0.0212378759675733,0.0067678678000972,42994,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.5294210367170041,0.4889065862739529,0.5697873105973988,0.0424470113698355,0.0341059093381536,0.0523504917791443,0.0494122453754544,0.0394408798027801,0.0611033618504869,0.3787197065377058,0.3420037803754951,0.4159860892382324,-0.0069652340056188,-0.0212378759675733,0.0067678678000972,6302,1070,1171,12756,25,308,192,0.0811688311688311,0.1302083333333333
wands,bge_base,20,lexical_ascending,42994,phase4/results/wands/bge_base_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.0,0.0,0.0,0.6392757618978646,0.5991667250321389,0.6783710877170465,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.0003443982200773,-0.0045590808772785,0.0052847582682204,0.0560008371044435,0.0448745977743458,0.0687109095709301,-0.1193180734269661,-0.1375362894135059,-0.1026413145300908,0.0633172363225226,0.0526127308531634,0.0753359641653239,-0.0003216554435215,-0.0053004720631126,0.0044888766414196,-0.0003216554435215,-0.0053004720631126,0.0044888766414196,42994,phase4/results/wands/bge_base_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.3397582543916166,0.3006492606960738,0.3802676117203283,0.0209659837105186,0.0171236992141323,0.025191941620248,0.0212876391540401,0.0172497442247925,0.0258424190497568,0.6179881227438245,0.5782884518213165,0.6568838159678009,-0.0003216554435215,-0.0053004720631126,0.0044888766414196,2196,393,411,18299,71,308,183,0.2305194805194805,0.3879781420765027
wands,bge_base,20,lexical_descending,42994,revision_evidence_20260917/experiments/wands_bge_base_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.0,0.0,0.0,0.6372445500112612,0.5965302873741524,0.6760503699217226,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.3627554499887388,0.3239496300782773,0.4034697126258476,0.0023756101066808,-0.0049882396524836,0.0108743761408572,0.0580320489910469,0.0462358464729636,0.072014306642247,-0.1193180734269661,-0.1375362894135059,-0.1026413145300908,0.0612860244359191,0.051051828527409,0.0729533288775379,0.0017095564430819,-0.0072385912411107,0.0116487957972624,0.0017095564430819,-0.0072385912411107,0.0116487957972624,42994,revision_evidence_20260917/experiments/wands_bge_base_lexical_descending_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.3384695722271795,0.2998565593055582,0.3788823058101754,0.0242858777615592,0.0180543019359748,0.0330538326067951,0.0225763213184773,0.0170973005809253,0.0293552716462375,0.6146682286927838,0.5745260700595851,0.6533783161100524,0.0017095564430819,-0.0072385912411107,0.0116487957972624,2234,390,373,18302,72,308,184,0.2337662337662337,0.391304347826087
wands,bge_base,20,field_priority_type,42994,revision_evidence_20260917/experiments/wands_bge_base_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.0,0.0,0.0,0.6351680528698592,0.5947951256373255,0.6740531915622037,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.3648319471301408,0.3259468084377962,0.4052048743626743,0.0044521072480828,3.354362643968222e-05,0.0093230630803877,0.060108546132449,0.0485211501996867,0.0733985449365171,-0.1193180734269661,-0.1375362894135059,-0.1026413145300908,0.0592095272945171,0.0493868576018164,0.0706130145268979,0.0037860535844839,-0.0008401044890339,0.00887499540704,0.0037860535844839,-0.0008401044890339,0.00887499540704,42994,revision_evidence_20260917/experiments/wands_bge_base_field_priority_type_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.3411604371558493,0.3020959687437019,0.3814755216803936,0.0236715099742914,0.0192037980201288,0.0287733787560102,0.0198854563898074,0.0165099240968378,0.0235942690920674,0.6152825964800517,0.5754432342599965,0.654141886167007,0.0037860535844839,-0.0008401044890339,0.00887499540704,2195,424,412,18268,69,308,185,0.224025974025974,0.372972972972973
wands,bge_base,100,lexical_ascending,42994,phase4/results/wands/bge_base_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",query_macro,308,21299,2026091701,10000,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.0,0.0,0.0,0.3676311858642634,0.3296946258930365,0.4059256565464581,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.6323688141357365,0.5940743434535417,0.6703053741069633,-0.0038337545756315,-0.0139645663190139,0.0055941063202031,0.0605660680194106,0.0486752434898829,0.074705684505079,-0.1230487480542734,-0.1429622483562622,-0.1048963900481421,0.0624826800348628,0.0498965771274373,0.0768413678426767,0.0006596078209128,-0.0147353665892108,0.016460948252664,0.0006596078209128,-0.0147353665892108,0.016460948252664,42994,phase4/results/wands/bge_base_canonical_raw_pairs.parquet,1,"structural; identical serialized input, one materialized index",raw_C0,C0,query_macro,308,21299,2026091701,10000,0.6003760619297542,0.5604999250271369,0.6403428858419878,0.0319927522059823,0.0219952029094854,0.0448534104976944,0.0313331443850694,0.0218972767489783,0.0429891507746528,0.3362980414791939,0.2999767443475757,0.3728113531142578,0.0006596078209128,-0.0147353665892108,0.016460948252664,7641,640,671,12347,23,308,159,0.0746753246753246,0.1446540880503144
