dataset,model,intervention,target_support,catalog_size,K,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_inclusion,source_order_inclusion_ci_low,source_order_inclusion_ci_high,mean_schedule_inclusion,mean_schedule_inclusion_ci_low,mean_schedule_inclusion_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high
wands,minilm,catalog_wide,full,42994,20,query_macro,308,21299,2026091701,10000,0.3080850567626535,0.2710145128159665,0.34671406905840585,0.294699935093363,0.2600133336273995,0.3313139339493019,0.2095025907899143,0.17579203894287856,0.24501461822953371,0.19579381789518394,0.17316557439173746,0.21999178648479367,0.594703591314902,0.5563694549059536,0.631945900544285
wands,minilm,catalog_wide,full,42994,20,pair_micro,308,21299,2026091701,10000,0.10671862528757219,0.08996832229908648,0.12742355118701645,0.10610826799380248,0.08962070691193656,0.1267133792189302,0.05389924409596695,0.043435658219776414,0.0669641360670222,0.12972440020658246,0.11381908568275341,0.14880657102335923,0.8163763556974506,0.7864503928139356,0.8409659899849796
wands,minilm,catalog_wide,full,42994,50,query_macro,308,21299,2026091701,10000,0.4497743948401152,0.41103225611441696,0.4903315510362069,0.43973436608473954,0.4026087740287995,0.47881302427585887,0.33247440807202355,0.29333236393367484,0.3726668976186678,0.22422323165542565,0.20164277665763447,0.24721867674468817,0.44330236027255115,0.4057959027286688,0.4805937411230289
wands,minilm,catalog_wide,full,42994,50,pair_micro,308,21299,2026091701,10000,0.22212310437109722,0.18944261086131786,0.2620611890506425,0.2203054469358051,0.18775533559511365,0.2598808865514878,0.13291703835860838,0.10844532920674484,0.1634638698802065,0.20118315413869195,0.18117534162709537,0.22468588383106955,0.6658998075026996,0.6174423707049477,0.7069713344678568
wands,minilm,catalog_wide,full,42994,100,query_macro,308,21299,2026091701,10000,0.5788332820924587,0.540442339286388,0.6168707106396457,0.5661289419905646,0.5286381486139621,0.6038344332958028,0.45151085359537524,0.4111956688754213,0.4942152820522096,0.2189384745151954,0.19698776180692912,0.24158230020255253,0.3295506718894292,0.2949566720076421,0.3651994945863714
wands,minilm,catalog_wide,full,42994,100,pair_micro,308,21299,2026091701,10000,0.3508615427954364,0.3036609701883993,0.40645022360044597,0.34467748318163827,0.297987914751679,0.39914724431515247,0.2307620076059909,0.19173985725829842,0.27786701483030013,0.24381426358044977,0.22383532304842324,0.2663715312816719,0.5254237288135594,0.46594437209675554,0.5771802081368834
wands,minilm,catalog_wide,full,42994,200,query_macro,308,21299,2026091701,10000,0.6964051576530869,0.6604159416146237,0.7321409737672478,0.6830752863920331,0.6471237228104353,0.7182119032408995,0.582301875388325,0.5419434309990635,0.6227896038121421,0.19889840495763647,0.17692230075868798,0.22114310103194498,0.21879971965403844,0.18847759017123406,0.25036110672836936
wands,minilm,catalog_wide,full,42994,200,pair_micro,308,21299,2026091701,10000,0.5041551246537396,0.44528004201947463,0.5721787357680856,0.49510708081533034,0.4378633572901606,0.5619282086886398,0.3717075919057233,0.31535953302112235,0.43829537938117935,0.256256162261139,0.23833758883086584,0.2733975101753121,0.3720362458331377,0.31066488845481305,0.4250397134395157
wands,minilm,catalog_wide,full,42994,500,query_macro,308,21299,2026091701,10000,0.819587604088422,0.7900515342326291,0.8482098997700188,0.8137610447452003,0.7844811162554093,0.8423962751410303,0.7354332414502852,0.7001512113439419,0.7703998903336845,0.14252775906545692,0.12339338259920064,0.1623107992916151,0.12203899948425766,0.09862698376118895,0.14648833107863177
wands,minilm,catalog_wide,full,42994,500,pair_micro,308,21299,2026091701,10000,0.6965585238743603,0.6431457538319161,0.7561107538406471,0.6875708450430271,0.6353259372726298,0.7466302817727379,0.5655664585191793,0.5033038833259038,0.6376537746853875,0.2386966524249965,0.20367780711907893,0.269092849158334,0.1957368890558242,0.15355995359716643,0.23542647331375705
wands,minilm,catalog_wide,full,42994,1000,query_macro,308,21299,2026091701,10000,0.8859650155488222,0.8615988253180953,0.909223407309975,0.8849916732188858,0.8616771803226322,0.9072987615027851,0.831372349151215,0.8025870436880743,0.8594856947122359,0.10087856789110099,0.08374731024164107,0.11878878364513587,0.06774908295768364,0.04987097897606282,0.08749432023716626
wands,minilm,catalog_wide,full,42994,1000,pair_micro,308,21299,2026091701,10000,0.8414479553030658,0.7986223017413284,0.8843025281908804,0.8324401548027073,0.7891742142862179,0.875440959580724,0.7371238086295131,0.679382895019618,0.796050414745924,0.17367012535799803,0.13831180058643006,0.20654007394457727,0.08920606601248884,0.061597285277770454,0.11828754178416251
wands,minilm,catalog_wide,fully_fitting,42994,20,query_macro,118,925,2026091701,10000,0.236864237600848,0.1797818155284399,0.2967442212825675,0.2288751848435392,0.17474475930933536,0.2861082766878072,0.1825378545253861,0.13026233913359733,0.23958845164551176,0.1137534932552148,0.07699517461760015,0.15449313414947777,0.7037086522193989,0.6394873729144736,0.7640974292471592
wands,minilm,catalog_wide,fully_fitting,42994,20,pair_micro,118,925,2026091701,10000,0.20972972972972972,0.16683698703939406,0.25749646439600854,0.20571428571428574,0.16294403439744365,0.2527648763336701,0.15243243243243243,0.1185720625176523,0.19035283572359843,0.11351351351351352,0.08716065029124197,0.14285714285714285,0.7340540540540541,0.6790102811841943,0.7834056784625644
wands,minilm,catalog_wide,fully_fitting,42994,50,query_macro,118,925,2026091701,10000,0.430529163531429,0.35996371815298067,0.5014217804076189,0.4293278062011838,0.3626987053237318,0.4970160863394752,0.3369761943547447,0.26925795915978096,0.40676677358429697,0.18575693017518158,0.13784268046781095,0.2376737776097364,0.47726687547007374,0.40677524751767763,0.5484084445386296
wands,minilm,catalog_wide,fully_fitting,42994,50,pair_micro,118,925,2026091701,10000,0.3956756756756757,0.32781713292018505,0.4645341631426366,0.3987644787644787,0.33293681278692844,0.46576592213314816,0.32216216216216215,0.2582470750118855,0.3885715885458327,0.1654054054054054,0.13953488372093023,0.19217596537985537,0.5124324324324324,0.44145326349229447,0.5828522782029072
wands,minilm,catalog_wide,fully_fitting,42994,100,query_macro,118,925,2026091701,10000,0.5784981631600612,0.5066346877850241,0.6497142652072946,0.5804108941951336,0.5106298854991708,0.6470016870659415,0.49381087136034935,0.4199747851546852,0.5659901722064262,0.15629330259991064,0.11372996022434782,0.2016003924789508,0.34989582603974007,0.28282942522994065,0.42028904939293205
wands,minilm,catalog_wide,fully_fitting,42994,100,pair_micro,118,925,2026091701,10000,0.5740540540540541,0.5014134961016885,0.6439079822616407,0.5768339768339769,0.5015824473681034,0.6491027274844239,0.4908108108108108,0.4155814369117122,0.5654871635541692,0.16,0.12925134036665514,0.19041803614974345,0.3491891891891892,0.2785514577133803,0.4232577519379845
wands,minilm,catalog_wide,fully_fitting,42994,200,query_macro,118,925,2026091701,10000,0.7201044816167532,0.6536213292373713,0.7825741152553212,0.7157373308558627,0.6527988284430243,0.7754546389119603,0.6400936957943076,0.5693711387261196,0.7082234820491496,0.14881315736717649,0.10498376145047233,0.1972416936074577,0.2110931468385157,0.1543673554847933,0.2705121194787523
wands,minilm,catalog_wide,fully_fitting,42994,200,pair_micro,118,925,2026091701,10000,0.7351351351351352,0.6660548533166931,0.7936018229563884,0.7320463320463323,0.6624448607879746,0.7913294960636379,0.6681081081081081,0.5929144951957951,0.7348312776170645,0.1318918918918919,0.09633495845141457,0.17237910922198235,0.2,0.1438044993354728,0.26560652010790914
wands,minilm,catalog_wide,fully_fitting,42994,500,query_macro,118,925,2026091701,10000,0.8336205349114149,0.7791186281887873,0.8842673394195076,0.8359752213796059,0.782234986808429,0.8856818570665423,0.8049112641432475,0.746986333442266,0.8584799944247918,0.06112357343044966,0.03829174553705562,0.08856722289302874,0.1339651624263026,0.08860861482412731,0.18375963557308927
wands,minilm,catalog_wide,fully_fitting,42994,500,pair_micro,118,925,2026091701,10000,0.8540540540540541,0.7950902305700092,0.9015714593791558,0.8594594594594592,0.8017763219744388,0.9057473711376828,0.8237837837837838,0.7586591592559808,0.8773963127845267,0.06378378378378378,0.04289087887127794,0.088528855217235,0.11243243243243244,0.07305491138913292,0.16161616161616163
