dataset,model,intervention,aggregation,metric,inherited,derived,C0_Recall
wands,minilm,catalog_wide,query_macro,VI@20,0.1916761044628586,0.1916761044628586,
wands,minilm,catalog_wide,pair_micro,VI@20,0.1326266195524146,0.1326266195524146,
wands,bge_base,catalog_wide,query_macro,VI@20,0.1205155301548153,0.1205155301548153,
wands,bge_base,catalog_wide,pair_micro,VI@20,0.0940714566156262,0.0940714566156262,
wands,gte_modernbert,catalog_wide,query_macro,VI@20,0.1443400679482196,0.1443400679482196,
wands,gte_modernbert,catalog_wide,pair_micro,VI@20,0.1133097762073027,0.1133097762073027,
esci,minilm,catalog_wide,query_macro,VI@20,0.0403733173038269,0.0403733173038269,
esci,minilm,catalog_wide,pair_micro,VI@20,0.0466847090663058,0.0466847090663058,
esci,bge_base,catalog_wide,query_macro,VI@20,0.0366180616955664,0.0366180616955664,
esci,bge_base,catalog_wide,pair_micro,VI@20,0.0442038791159224,0.0442038791159224,
esci,gte_modernbert,catalog_wide,query_macro,VI@20,0.0690951098621512,0.0690951098621512,
esci,gte_modernbert,catalog_wide,pair_micro,VI@20,0.0825439783491204,0.0825439783491204,
wands,minilm,target_only,query_macro,VI@20,0.1895857116708691,0.1895857116708691,
wands,minilm,target_only,pair_micro,VI@20,0.1271692186886533,0.1271692186886533,
wands,bge_base,target_only,query_macro,VI@20,0.1136369920238539,0.1136369920238539,
wands,bge_base,target_only,pair_micro,VI@20,0.0884177463682764,0.0884177463682764,
wands,gte_modernbert,target_only,query_macro,VI@20,0.1460393554543836,0.1460393554543836,
wands,gte_modernbert,target_only,pair_micro,VI@20,0.1138594424813506,0.1138594424813506,
esci,minilm,target_only,query_macro,VI@20,0.0290919832935762,0.0290919832935762,
esci,minilm,target_only,pair_micro,VI@20,0.0311231393775372,0.0311231393775372,
esci,bge_base,target_only,query_macro,VI@20,0.0242363897418906,0.0242363897418906,
esci,bge_base,target_only,pair_micro,VI@20,0.031574199368516,0.031574199368516,
esci,gte_modernbert,target_only,query_macro,VI@20,0.058833297431182,0.058833297431182,
esci,gte_modernbert,target_only,pair_micro,VI@20,0.0667568786648624,0.0667568786648624,
wands,bge_base,catalog_wide,query_macro,"PhaseVI Original Recall@20 = mean-over-seven, not C0",0.360379839882058,0.3603798398820579,0.3610458935456568
wands,bge_base,catalog_wide,query_macro,"PhaseVI Original Recall@100 = mean-over-seven, not C0",0.6362025687113682,0.6362025687113682,0.6317092063148236
wands,bge_base,catalog_wide,query_macro,PhaseVI Robust@100 = Always,0.5718027461163259,0.5718027461163259,
wands,bge_base,catalog_wide,query_macro,PhaseVI VI@100 = VI,0.1230487480542735,0.1230487480542734,
wands,bge_base,catalog_wide,query_macro,PhaseVI Never@100 = Never,0.3051485058294007,0.3051485058294007,
wands,bge_base,target_only,query_macro,"PhaseVI Original Inclusion@20, separate target indexes",0.3563693096715543,0.3563693096715543,
wands,bge_base,target_only,query_macro,"PhaseVI Original Inclusion@100, separate target indexes",0.6320576790684961,0.6320576790684961,
