dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,aggregation,eligible_queries,highest_relevance_pairs,raw_mean_schedule_recall,raw_mean_schedule_recall_ci_low,raw_mean_schedule_recall_ci_high,canonical_recall,canonical_recall_ci_low,canonical_recall_ci_high,delta_vs_mean_schedules,delta_vs_mean_schedules_ci_low,delta_vs_mean_schedules_ci_high
wands,minilm,native,historical_full,20,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.3010888168541307,0.26929433660804436,0.3339300679474461,0.29539370479850435,0.2630531489981345,0.3288628475048837,-0.005695112055626418,-0.016574378896012872,0.004422714009950032
wands,minilm,native,historical_full,20,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.10936115317740758,0.09443371193904271,0.1272923973663832,0.10957989791912054,0.09437259302477148,0.12772414428930323,0.00021874474171294057,-0.001321290833947287,0.001828631585989039
wands,minilm,native,historical_full,100,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.5669589235873604,0.5323962560281355,0.6001819787093572,0.5571090923892187,0.5222352800486351,0.591664923394906,-0.009849831198141762,-0.018713853749797706,-0.0014597978708841013
wands,minilm,native,historical_full,100,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.35186493914409106,0.31064150938457735,0.3984180453429097,0.34727129956811936,0.3065611271237032,0.3935384817527407,-0.004593639575971728,-0.008125051819708639,-0.0011804731071119825
wands,minilm,native,primary_existing_evaluation,20,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.29469993509336295,0.2600133336273994,0.33131393394930186,0.2872268845937019,0.2522883369368891,0.32484793104628895,-0.007473050499661035,-0.020463312995579772,0.004764787725532206
wands,minilm,native,primary_existing_evaluation,20,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.10610826799380253,0.08962070691193659,0.1267133792189302,0.10568571294426968,0.08905456483520997,0.1266334676690703,-0.0004225550495328414,-0.002018859132012817,0.001207223587982306
wands,minilm,native,primary_existing_evaluation,100,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.5661289419905646,0.5286381486139621,0.6038344332958028,0.5604906636180105,0.5217842006047898,0.5995178037333512,-0.005638278372554059,-0.015155839914785488,0.003124499423715368
wands,minilm,native,primary_existing_evaluation,100,raw_mean_over_seven_schedules,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.34467748318163827,0.2979879147516791,0.3991472443151524,0.34048546880135216,0.2944209288575042,0.3949164573681819,-0.004192014380286128,-0.008316436307911396,-0.0004000400502328359
wands,minilm,native,historical_full,20,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3010888168541307,0.26929433660804436,0.3339300679474461,0.2998283347173023,0.26676228204177876,0.3341777979346524,-0.0012604821368284616,-0.011827265307384769,0.008893275262927422
wands,minilm,native,historical_full,20,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.10936115317740758,0.09443371193904271,0.1272923973663832,0.10899096976835493,0.09413057910855369,0.1270614407534436,-0.00037018340905266604,-0.0019861600483894065,0.001284966612494529
wands,minilm,native,historical_full,100,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.5669589235873604,0.5323962560281355,0.6001819787093572,0.560904743068586,0.5252698315097082,0.5955527570972704,-0.006054180518774484,-0.014310978042854873,0.0019816589905089946
wands,minilm,native,historical_full,100,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.35186493914409106,0.31064150938457735,0.3984180453429097,0.3519827247742442,0.31051244310245774,0.3989693918642526,0.00011778563015312635,-0.0037289414052926956,0.003953696302035243
wands,minilm,native,primary_existing_evaluation,20,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.29469993509336295,0.2600133336273994,0.33131393394930186,0.2955601032691645,0.2596737230374838,0.33335003683600206,0.0008601681758015582,-0.01124827180394848,0.013008064756320126
wands,minilm,native,primary_existing_evaluation,20,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.10610826799380253,0.08962070691193659,0.1267133792189302,0.10615521855486174,0.08937852538995039,0.126757382486536,4.695056105920544e-05,-0.0015051871170433256,0.0016594405048931608
wands,minilm,native,primary_existing_evaluation,100,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,308,21299,0.5661289419905646,0.5286381486139621,0.6038344332958028,0.5616156456205967,0.5220974075596261,0.6007653227903359,-0.004513296369967802,-0.013638019701076557,0.004262510230244013
wands,minilm,native,primary_existing_evaluation,100,raw_mean_over_seven_schedules,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,308,21299,0.34467748318163827,0.2979879147516791,0.3991472443151524,0.3444762664913846,0.2976426598713354,0.3999044563141958,-0.00020121669025373152,-0.004511281771440869,0.004002729108776414
wands,minilm,native,historical_full,20,raw_mean_over_seven_schedules,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.3010888168541307,0.26929433660804436,0.3339300679474461,0.3001700821346212,0.2672939322896897,0.33423557730596604,-0.0009187347195095004,-0.01311120074923338,0.010704914834043072
