query_id,Always,VI,Never,mean_schedule_inclusion,C0_inclusion,dataset,model,encoder_profile,population,target_support,K,intervention,competitors,catalog_size,eligible_queries,highest_relevance_pairs,bootstrap_draws,bootstrap_seed,relevant_count
0,0.23076923076923078,0.2564102564102564,0.5128205128205128,0.3186813186813187,0.3076923076923077,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,39
1,0.0,0.0,1.0,0.0,0.0,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,8
2,0.07947019867549669,0.13245033112582782,0.7880794701986755,0.130558183538316,0.13245033112582782,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,151
3,0.09090909090909091,0.12727272727272726,0.7818181818181819,0.12727272727272726,0.12727272727272726,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,55
4,0.0,0.21739130434782608,0.782608695652174,0.08074534161490683,0.08695652173913043,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,23
5,0.0,0.12849162011173185,0.8715083798882681,0.05027932960893855,0.05027932960893855,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,179
6,0.0,0.09302325581395349,0.9069767441860465,0.04983388704318937,0.046511627906976744,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,43
7,0.17391304347826086,0.391304347826087,0.43478260869565216,0.3105590062111801,0.34782608695652173,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,23
8,0.16,0.28,0.56,0.2571428571428572,0.28,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,25
9,0.13513513513513514,0.2702702702702703,0.5945945945945946,0.2644787644787645,0.2702702702702703,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,74
10,0.38095238095238093,0.2857142857142857,0.3333333333333333,0.5306122448979591,0.5238095238095238,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,21
11,0.15384615384615385,0.3230769230769231,0.5230769230769231,0.2967032967032967,0.2923076923076923,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,65
12,0.3333333333333333,0.25925925925925924,0.4074074074074074,0.4497354497354497,0.4444444444444444,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,27
13,0.21739130434782608,0.2391304347826087,0.5434782608695652,0.3136645962732919,0.30434782608695654,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,46
14,0.25,0.3,0.45,0.38571428571428573,0.3,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,20
15,0.5,0.0,0.5,0.5,0.5,wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,2
