dataset,model,encoder_profile,population,target_support,K,intervention,competitors,catalog_size,eligible_queries,highest_relevance_pairs,bootstrap_draws,bootstrap_seed,aggregation,Always,Always_ci_low,Always_ci_high,VI,VI_ci_low,VI_ci_high,Never,Never_ci_low,Never_ci_high,mean_over_seven_schedules_Recall,mean_over_seven_schedules_Recall_ci_low,mean_over_seven_schedules_Recall_ci_high,C0_Recall,C0_Recall_ci_low,C0_Recall_ci_high,mean_schedule_inclusion,mean_schedule_inclusion_ci_low,mean_schedule_inclusion_ci_high,C0_inclusion,C0_inclusion_ci_low,C0_inclusion_ci_high
wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,query_macro,0.21702866936398443,0.18502146284246873,0.24924747186736354,0.1916761044628586,0.17132970047678764,0.21356025767731476,0.5912952261731569,0.5571529884875116,0.6250864279289615,0.3010888168541307,0.26929433660804436,0.3339300679474461,0.3116087338512682,0.27801072857391435,0.34597856531869,,,,,,
wands,minilm,native,historical_full,full,20,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,pair_micro,0.0558303886925795,0.04637639843086556,0.06736251316132187,0.13262661955241462,0.11850209103056687,0.1489407928243423,0.8115429917550059,0.7856758837122315,0.8335548615851766,0.10936115317740758,0.09443371193904271,0.1272923973663832,0.10954063604240283,0.09445795073762142,0.12773006123777084,,,,,,
wands,minilm,native,historical_full,full,100,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,query_macro,0.4523570107912336,0.4154122237282146,0.4897314694755705,0.2240444354040131,0.20454633527354982,0.2442135541638966,0.3235985538047534,0.2928283793314361,0.3555039070322055,0.5669589235873604,0.5323962560281355,0.6001819787093572,0.5785295101514185,0.5435490722417283,0.6123550825194395,,,,,,
wands,minilm,native,historical_full,full,100,catalog_wide,same raw schedule as target,42994,379,25470,10000,2026091701,pair_micro,0.23576756968983117,0.2010405307619817,0.27656699664853895,0.249195131527287,0.23101185673120786,0.26908535092027464,0.5150372987828818,0.4640881881668618,0.560765969299656,0.35186493914409106,0.31064150938457735,0.3984180453429097,0.3583431488025128,0.31636439707496616,0.405800629162043,,,,,,
wands,minilm,native,historical_full,fully_fitting,20,catalog_wide,same raw schedule as target,42994,149,1402,10000,2026091701,query_macro,0.17085710986427866,0.12694655811701608,0.21897606618493912,0.11833360147966328,0.08477529693047181,0.15396902415098435,0.7108092886560581,0.6551533102778127,0.7638051292450316,0.21799709869515677,0.1724750037172022,0.26648308949964994,0.2238695507837208,0.17616785974343097,0.27487070079448106,,,,,,
wands,minilm,native,historical_full,fully_fitting,20,catalog_wide,same raw schedule as target,42994,149,1402,10000,2026091701,pair_micro,0.1340941512125535,0.10875604366336647,0.1648438081864449,0.11269614835948645,0.09186227060830422,0.13783468771162158,0.7532097004279601,0.7088411399022734,0.7896054916627034,0.18269818626452006,0.15163312069399168,0.22073467195174037,0.1861626248216833,0.15358861798530146,0.2261024047764406,,,,,,
wands,minilm,native,historical_full,fully_fitting,100,catalog_wide,same raw schedule as target,42994,149,1402,10000,2026091701,query_macro,0.4716837295180252,0.4095169699741578,0.535171581673155,0.16235533325946236,0.12400311553017825,0.20210666368856123,0.36596093722251244,0.30652325195410807,0.4274999770295891,0.5618920176398101,0.5009208418189544,0.621158869804706,0.5633131161825168,0.4995888168267191,0.6261219781235857,,,,,,
wands,minilm,native,historical_full,fully_fitting,100,catalog_wide,same raw schedule as target,42994,149,1402,10000,2026091701,pair_micro,0.4557774607703281,0.4001390846140473,0.5168896625283331,0.19472182596291013,0.1546960158413622,0.2335771212904956,0.34950071326676174,0.29172746740075667,0.4151925697400251,0.5583859792133686,0.49632984730680246,0.6163650401407971,0.5649072753209701,0.5054555894737153,0.6199738994098198,,,,,,
wands,minilm,native,primary_existing_evaluation,full,20,catalog_wide,same raw schedule as target,42994,308,21299,10000,2026091701,query_macro,0.2095025907899142,0.17579203894287856,0.24501461822953377,0.19579381789518388,0.17316557439173744,0.21999178648479367,0.5947035913149019,0.5563694549059538,0.6319459005442851,0.29469993509336295,0.2600133336273994,0.33131393394930186,0.30808505676265363,0.2710145128159665,0.34671406905840585,,,,,,
wands,minilm,native,primary_existing_evaluation,full,20,catalog_wide,same raw schedule as target,42994,308,21299,10000,2026091701,pair_micro,0.05389924409596695,0.043435658219776414,0.0669641360670222,0.12972440020658246,0.11381908568275341,0.14880657102335923,0.8163763556974506,0.7864503928139356,0.8409659899849796,0.10610826799380253,0.08962070691193659,0.1267133792189302,0.10671862528757219,0.08996832229908648,0.12742355118701645,,,,,,
