dataset,product_id,attribute_count,duplicate_entry_occurrences,distinct_serializations_seven,raw_seven_exact,all_three_canonical_rules_invariant
wands,0,90,0,7,True,True
wands,1,28,0,7,True,True
wands,2,38,0,7,True,True
wands,3,12,0,7,True,True
wands,4,47,0,7,True,True
wands,5,49,0,7,True,True
wands,6,48,0,7,True,True
wands,7,49,0,7,True,True
wands,8,19,0,7,True,True
wands,9,74,0,7,True,True
wands,10,62,0,7,True,True
wands,11,56,0,7,True,True
wands,12,30,0,7,True,True
wands,13,74,0,7,True,True
wands,14,32,0,7,True,True
wands,15,60,0,7,True,True
wands,16,31,0,7,True,True
wands,17,27,0,7,True,True
wands,18,41,0,7,True,True
wands,19,43,0,7,True,True
wands,20,41,0,7,True,True
wands,21,34,0,7,True,True
wands,22,33,0,7,True,True
wands,23,34,0,7,True,True
wands,24,37,0,7,True,True
wands,25,22,0,7,True,True
wands,26,58,0,7,True,True
wands,27,70,0,7,True,True
wands,28,15,0,7,True,True
wands,29,19,0,7,True,True
wands,30,57,0,7,True,True
wands,31,39,0,7,True,True
wands,32,35,0,7,True,True
wands,33,66,0,7,True,True
wands,34,56,0,7,True,True
wands,35,72,0,7,True,True
wands,36,69,0,7,True,True
wands,37,52,0,7,True,True
wands,38,21,0,7,True,True
wands,39,38,0,7,True,True
wands,40,79,0,7,True,True
wands,41,58,0,7,True,True
wands,42,32,0,7,True,True
wands,43,15,0,7,True,True
wands,44,39,0,7,True,True
wands,45,37,0,7,True,True
wands,46,37,0,7,True,True
wands,47,38,0,7,True,True
wands,48,18,0,7,True,True
wands,49,22,0,7,True,True
wands,50,41,0,7,True,True
wands,51,45,0,7,True,True
wands,52,86,0,7,True,True
wands,53,71,0,7,True,True
wands,54,71,0,7,True,True
wands,55,70,0,7,True,True
wands,56,77,0,7,True,True
wands,57,77,0,7,True,True
wands,58,29,0,7,True,True
wands,59,77,0,7,True,True
wands,60,66,0,7,True,True
wands,61,57,0,7,True,True
wands,62,46,0,7,True,True
wands,63,59,0,7,True,True
wands,64,46,0,7,True,True
wands,65,76,0,7,True,True
wands,66,68,0,7,True,True
wands,67,30,0,7,True,True
wands,68,23,0,7,True,True
wands,69,78,0,7,True,True
wands,70,32,0,7,True,True
wands,71,89,0,7,True,True
wands,72,101,0,7,True,True
wands,73,101,0,7,True,True
wands,74,109,0,7,True,True
wands,75,108,0,7,True,True
wands,76,73,0,7,True,True
wands,77,108,0,7,True,True
wands,78,75,0,7,True,True
wands,79,80,0,7,True,True
wands,80,61,0,7,True,True
wands,81,54,0,7,True,True
wands,82,45,0,7,True,True
wands,83,37,0,7,True,True
wands,84,41,0,7,True,True
wands,85,39,0,7,True,True
wands,86,44,0,7,True,True
wands,87,60,0,7,True,True
wands,88,52,0,7,True,True
wands,89,53,0,7,True,True
wands,90,57,0,7,True,True
wands,91,57,0,7,True,True
wands,92,59,0,7,True,True
wands,93,60,0,7,True,True
wands,94,49,0,7,True,True
wands,95,102,0,7,True,True
wands,96,40,0,7,True,True
wands,97,35,0,7,True,True
wands,98,28,0,7,True,True
wands,99,46,0,7,True,True
wands,100,44,0,7,True,True
wands,101,95,0,7,True,True
wands,102,64,0,7,True,True
wands,103,58,0,7,True,True
wands,104,43,0,7,True,True
wands,105,42,0,7,True,True
wands,106,24,0,7,True,True
wands,107,44,0,7,True,True
wands,108,54,0,7,True,True
wands,109,45,0,7,True,True
wands,110,41,0,7,True,True
wands,111,58,0,7,True,True
wands,112,58,0,7,True,True
wands,113,46,0,7,True,True
wands,114,82,0,7,True,True
wands,115,29,0,7,True,True
wands,116,66,0,7,True,True
wands,117,22,0,7,True,True
wands,118,58,0,7,True,True
wands,119,68,0,7,True,True
wands,120,27,0,7,True,True
wands,121,82,0,7,True,True
wands,122,60,0,7,True,True
wands,123,59,0,7,True,True
wands,124,65,0,7,True,True
wands,125,57,0,7,True,True
wands,126,62,0,7,True,True
wands,127,27,0,7,True,True
wands,128,58,0,7,True,True
wands,129,63,0,7,True,True
wands,130,57,0,7,True,True
wands,131,77,0,7,True,True
wands,132,63,0,7,True,True
wands,133,78,0,7,True,True
wands,134,77,0,7,True,True
wands,135,100,0,7,True,True
wands,136,77,0,7,True,True
wands,137,74,0,7,True,True
wands,138,71,0,7,True,True
wands,139,64,0,7,True,True
wands,140,68,0,7,True,True
wands,141,61,0,7,True,True
wands,142,77,0,7,True,True
wands,143,82,0,7,True,True
wands,144,82,0,7,True,True
wands,145,82,0,7,True,True
wands,146,79,0,7,True,True
wands,147,82,0,7,True,True
wands,148,82,0,7,True,True
wands,149,82,0,7,True,True
wands,150,82,0,7,True,True
wands,151,81,0,7,True,True
wands,152,78,0,7,True,True
wands,153,81,0,7,True,True
wands,154,75,0,7,True,True
wands,155,75,0,7,True,True
wands,156,80,0,7,True,True
wands,157,79,0,7,True,True
wands,158,80,0,7,True,True
wands,159,80,0,7,True,True
wands,160,78,0,7,True,True
wands,161,77,0,7,True,True
wands,162,75,0,7,True,True
wands,163,74,0,7,True,True
wands,164,74,0,7,True,True
wands,165,77,0,7,True,True
wands,166,63,0,7,True,True
wands,167,64,0,7,True,True
wands,168,63,0,7,True,True
wands,169,74,0,7,True,True
wands,170,63,0,7,True,True
wands,171,83,0,7,True,True
wands,172,83,0,7,True,True
wands,173,81,0,7,True,True
wands,174,82,0,7,True,True
wands,175,84,0,7,True,True
wands,176,83,0,7,True,True
wands,177,82,0,7,True,True
wands,178,82,0,7,True,True
wands,179,60,0,7,True,True
